system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
cstr,11,High,GWO,250,30,4.460742788814365e-06,1.024758514128754e-06,3.107965555293468e-05,0.8666666666666667,9.67156872502678e-05,3.210072492947802,True
cstr,11,High,GWO,500,30,3.041161656947011e-07,3.870680856388198e-08,1.4929729934554103e-06,1.0,2.5231385335035272e-05,6.7223404766991735,True
cstr,11,High,GWO,1000,30,7.769365695242669e-08,1.6975255534568134e-08,2.2664526283522335e-07,1.0,1.2762751397648459e-05,13.518299994757399,True
cstr,11,High,GWO,2000,30,1.2657684511641065e-08,2.339329230327536e-09,6.03020238743035e-08,1.0,5.142714371977886e-06,27.400632010539994,True
cstr,11,High,GWO,5000,30,9.793579835992716e-10,3.152941796535913e-10,3.0733100508939515e-09,1.0,1.4319917832732176e-06,68.06634651729837,True
cstr,11,High,PSO,250,30,7.631791866885562e-05,6.426181022867183e-06,0.0012986950589976565,0.5,0.00038695206201554144,1.1939290270674974,True
cstr,11,High,PSO,500,30,8.231079151599374e-09,1.4692541350225241e-09,2.0340830880760663e-07,1.0,4.154389454214674e-06,2.308553986949846,True
cstr,11,High,PSO,1000,30,1.7208456881689926e-15,1.1102230246251565e-16,8.318346012003985e-14,1.0,1.7305077301688065e-09,4.509959486313164,True
cstr,11,High,PSO,2000,30,1.1102230246251565e-16,2.7755575615628914e-17,1.1102230246251565e-16,1.0,1.2317839109821094e-10,8.903956011636183,True
cstr,11,High,PSO,5000,30,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,1.0,1.0205996464618394e-10,21.979603508953005,True
cstr,11,High,SGO,250,30,0.36438534794252575,0.21514628943284775,0.48692245478660656,0.0,0.3341468919993501,2.8160359943285584,True
cstr,11,High,SGO,500,30,0.028071536391154006,0.0045325671074713525,0.1375437482612104,0.06666666666666667,0.021473480713902874,5.832590512000024,True
cstr,11,High,SGO,1000,30,0.00026830443548281346,8.570249496475668e-05,0.0017782027920387744,0.26666666666666666,0.0007500993438155495,11.712214502040297,True
cstr,11,High,SGO,2000,30,2.985169206504157e-05,1.0340709601430742e-05,0.00010414021091767478,0.7,0.0002502140524193834,23.74783848063089,True
cstr,11,High,SGO,5000,30,2.9248602867459894e-06,2.6362788241307555e-07,1.4507637637328763e-05,1.0,7.776961970577811e-05,59.69053102307953,True
cstr,11,High,WOA,250,30,0.79388492609345,0.12935191211686412,0.8204113599817884,0.2,0.9741345888338946,1.9796759879682213,True
cstr,11,High,WOA,500,30,0.7168688251971533,1.6926506468672997e-07,0.8215745766202722,0.3333333333333333,0.8709630853560284,4.018070496385917,True
cstr,11,High,WOA,1000,30,2.2692625556430812e-10,8.507361481946418e-12,0.8179435385894585,0.6666666666666666,6.513755997430981e-07,7.921773998532444,True
cstr,11,High,WOA,2000,30,1.9768076064963225e-12,1.1565748359032568e-13,1.355462964092169e-10,0.7666666666666667,6.422818188758783e-08,15.862175496295094,True
cstr,11,High,WOA,5000,30,7.327471962526033e-15,1.5265566588595902e-15,5.789813073420191e-14,0.8666666666666667,3.868116285610235e-09,39.40297948429361,True
cstr,15,High,GWO,250,30,6.922284311481827e-05,3.2468383125844325e-05,0.00013839257110409738,0.6333333333333333,0.019150047431121732,3.27724200906232,True
cstr,15,High,GWO,500,30,1.620408583656932e-05,6.046261953664492e-06,4.212093272172937e-05,1.0,0.010061425999095744,6.609198026126251,True
cstr,15,High,GWO,1000,30,4.802286851415816e-06,1.5817749325214292e-06,9.384926356133597e-06,1.0,0.004887168875890277,13.41900901752524,True
cstr,15,High,GWO,2000,30,1.299308181674369e-06,5.307265118908999e-07,1.869977772222392e-06,1.0,0.0016301199105754585,26.77935699466616,True
cstr,15,High,GWO,5000,30,1.6572706660819558e-07,9.483383638445031e-08,4.2247636422923507e-07,1.0,0.001184709921630826,67.27371650049463,True
cstr,15,High,PSO,250,30,0.0023419782962990944,0.0005706110899313423,0.008406458874164297,0.0,0.13403639762487668,1.1777889740187675,True
cstr,15,High,PSO,500,30,3.2894366497324135e-05,3.2670241519195536e-06,0.00017348158011259301,0.7,0.016366415579748706,2.282787987496704,True
cstr,15,High,PSO,1000,30,3.5766525036812213e-08,1.9444890524134006e-09,1.107101301861882e-05,0.7666666666666667,0.0006265833121732881,4.448998981388286,True
cstr,15,High,PSO,2000,30,1.0345890810725678e-14,2.914335439641036e-16,0.00019053261912212183,0.6333333333333333,2.5947624124918774e-07,8.987710520159453,True
cstr,15,High,PSO,5000,30,9.020562075079397e-17,7.806255641895632e-17,1.0234868508263162e-16,0.8,1.0270391407760292e-08,21.909035480348393,True
cstr,15,High,SGO,250,30,0.03440355819689403,0.01589234422969485,0.042878275656093146,0.0,0.6580296719135306,2.7524864999577403,True
cstr,15,High,SGO,500,30,0.00963296739319227,0.002973651264909489,0.018099723825698445,0.0,0.35659963111232273,5.7917255035135895,True
cstr,15,High,SGO,1000,30,0.00011927302057421207,4.218758543747189e-05,0.00027565880482572497,0.43333333333333335,0.02986115715457595,11.62257746909745,True
cstr,15,High,SGO,2000,30,6.527026234860733e-06,1.6334523246126775e-06,1.521900979160884e-05,0.9666666666666667,0.00756622470426994,23.473979497794062,True
cstr,15,High,SGO,5000,30,1.335252120208269e-06,5.905455970588169e-07,3.493694178400772e-06,1.0,0.0034750236997548815,58.37346299085766,True
cstr,15,High,WOA,250,30,0.05318655006076071,0.04977920788344146,0.05330453672283979,0.0,0.9446524679172795,1.9479184702504426,True
cstr,15,High,WOA,500,30,0.053172349242079586,0.037585438484351,0.05333115000592438,0.03333333333333333,0.9445282509140283,3.9466835150960833,True
cstr,15,High,WOA,1000,30,0.05319549863570113,0.013162932987908361,0.05336346505014022,0.03333333333333333,0.9447302804749629,7.895708491560072,True
cstr,15,High,WOA,2000,30,0.008394114884303711,0.003842784451666673,0.053212788678046165,0.13333333333333333,0.36840296490170493,15.798729989910498,True
cstr,15,High,WOA,5000,30,0.00017285515535254287,3.6566587745767015e-05,0.0008843961892878727,0.43333333333333335,0.05291578982795878,39.470788498874754,True
flight,6,High,GWO,250,30,0.0005659449611097652,0.00020620359906476136,0.0008478063717109204,0.1,0.12181008119229494,3.1269320170395076,True
flight,6,High,GWO,500,30,0.0002055396338165126,0.00012342003488029105,0.00043734657704988706,0.23333333333333334,0.09109875308897492,6.534151005325839,True
flight,6,High,GWO,1000,30,4.753527807769433e-05,1.9323508878130055e-05,9.00119399832803e-05,0.8,0.03899415466742141,13.30373651580885,True
flight,6,High,GWO,2000,30,9.316375864311468e-06,5.702617076857848e-06,1.7382247277416002e-05,1.0,0.01697127726833937,26.99608850525692,True
flight,6,High,GWO,5000,30,1.4957751495003204e-06,7.010049527102191e-07,2.5236233785058648e-06,1.0,0.007965990458995074,68.44860900309868,True
