system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
pendcart,1,1,initial_transient,4,SGO,20,0,15100000,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.311380009166896
pendcart,1,1,initial_transient,4,SGO,20,1,15100001,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.110440004151314
pendcart,1,1,initial_transient,4,SGO,20,2,15100002,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.433959987945855
pendcart,1,1,initial_transient,4,SGO,20,3,15100003,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,38.89560600509867
pendcart,1,1,initial_transient,4,SGO,20,4,15100004,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,38.67591201560572
pendcart,1,1,initial_transient,4,SGO,20,5,15100005,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,38.862004003021866
pendcart,1,1,initial_transient,4,SGO,20,6,15100006,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.95850699720904
pendcart,1,1,initial_transient,4,SGO,20,7,15100007,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,40.12440098449588
pendcart,1,1,initial_transient,4,SGO,20,8,15100008,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.238864032085985
pendcart,1,1,initial_transient,4,SGO,20,9,15100009,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.32908101705834
pendcart,1,1,initial_transient,4,SGO,20,10,15100010,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.45357399061322
pendcart,1,1,initial_transient,4,SGO,20,11,15100011,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.65417202562094
pendcart,1,1,initial_transient,4,SGO,20,12,15100012,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,41.18173697497696
pendcart,1,1,initial_transient,4,SGO,20,13,15100013,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,41.09878197778016
pendcart,1,1,initial_transient,4,SGO,20,14,15100014,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,40.09814700111747
pendcart,1,1,initial_transient,4,SGO,20,15,15100015,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,47.26419702637941
pendcart,1,1,initial_transient,4,SGO,20,16,15100016,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.763984037563205
pendcart,1,1,initial_transient,4,SGO,20,17,15100017,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.090539037715644
pendcart,1,1,initial_transient,4,SGO,20,18,15100018,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.40489795058966
pendcart,1,1,initial_transient,4,SGO,20,19,15100019,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,39.24015897791833
pendcart,1,1,initial_transient,4,GWO,20,0,15101000,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.92799699213356
pendcart,1,1,initial_transient,4,GWO,20,1,15101001,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.44712096825242
pendcart,1,1,initial_transient,4,GWO,20,2,15101002,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.661795012652874
pendcart,1,1,initial_transient,4,GWO,20,3,15101003,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.210345009341836
pendcart,1,1,initial_transient,4,GWO,20,4,15101004,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,35.55444104131311
pendcart,1,1,initial_transient,4,GWO,20,5,15101005,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,35.105212999042124
pendcart,1,1,initial_transient,4,GWO,20,6,15101006,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,36.289795010816306
pendcart,1,1,initial_transient,4,GWO,20,7,15101007,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.55211402615532
pendcart,1,1,initial_transient,4,GWO,20,8,15101008,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.575817990116775
pendcart,1,1,initial_transient,4,GWO,20,9,15101009,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.02226703474298
pendcart,1,1,initial_transient,4,GWO,20,10,15101010,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.344976011198014
pendcart,1,1,initial_transient,4,GWO,20,11,15101011,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.35361199080944
pendcart,1,1,initial_transient,4,GWO,20,12,15101012,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.584111999720335
pendcart,1,1,initial_transient,4,GWO,20,13,15101013,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.970709995832294
pendcart,1,1,initial_transient,4,GWO,20,14,15101014,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,34.245280956383795
pendcart,1,1,initial_transient,4,GWO,20,15,15101015,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.69583102175966
pendcart,1,1,initial_transient,4,GWO,20,16,15101016,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.64510502433404
pendcart,1,1,initial_transient,4,GWO,20,17,15101017,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.709018025547266
pendcart,1,1,initial_transient,4,GWO,20,18,15101018,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.58791203936562
pendcart,1,1,initial_transient,4,GWO,20,19,15101019,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,33.798326971009374
pendcart,1,1,initial_transient,4,PSO,30,0,15102000,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.386973993387073
pendcart,1,1,initial_transient,4,PSO,30,1,15102001,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.481473956257105
pendcart,1,1,initial_transient,4,PSO,30,2,15102002,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.50385398697108
pendcart,1,1,initial_transient,4,PSO,30,3,15102003,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.07472103368491
pendcart,1,1,initial_transient,4,PSO,30,4,15102004,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,23.942749947309494
pendcart,1,1,initial_transient,4,PSO,30,5,15102005,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.310769978910685
pendcart,1,1,initial_transient,4,PSO,30,6,15102006,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.838094017468393
pendcart,1,1,initial_transient,4,PSO,30,7,15102007,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,25.002712034620345
pendcart,1,1,initial_transient,4,PSO,30,8,15102008,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.533213989343494
pendcart,1,1,initial_transient,4,PSO,30,9,15102009,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.579396995250136
pendcart,1,1,initial_transient,4,PSO,30,10,15102010,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.827816989272833
pendcart,1,1,initial_transient,4,PSO,30,11,15102011,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.660015013068914
pendcart,1,1,initial_transient,4,PSO,30,12,15102012,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.542836006730795
pendcart,1,1,initial_transient,4,PSO,30,13,15102013,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.233623989857733
pendcart,1,1,initial_transient,4,PSO,30,14,15102014,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.42209899891168
pendcart,1,1,initial_transient,4,PSO,30,15,15102015,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.16351600550115
pendcart,1,1,initial_transient,4,PSO,30,16,15102016,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.55226198071614
pendcart,1,1,initial_transient,4,PSO,30,17,15102017,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.27591400919482
pendcart,1,1,initial_transient,4,PSO,30,18,15102018,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.260070000309497
pendcart,1,1,initial_transient,4,PSO,30,19,15102019,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,24.553733004722744
pendcart,1,1,initial_transient,4,WOA,8,0,15103000,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.28425799170509
pendcart,1,1,initial_transient,4,WOA,8,1,15103001,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.785683997441083
pendcart,1,1,initial_transient,4,WOA,8,2,15103002,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.418250979389995
pendcart,1,1,initial_transient,4,WOA,8,3,15103003,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.12959604570642
pendcart,1,1,initial_transient,4,WOA,8,4,15103004,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.306882028933614
pendcart,1,1,initial_transient,4,WOA,8,5,15103005,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.53791301883757
pendcart,1,1,initial_transient,4,WOA,8,6,15103006,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.831005006097257
pendcart,1,1,initial_transient,4,WOA,8,7,15103007,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.87014302238822
pendcart,1,1,initial_transient,4,WOA,8,8,15103008,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.09419996710494
pendcart,1,1,initial_transient,4,WOA,8,9,15103009,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.41783397970721
pendcart,1,1,initial_transient,4,WOA,8,10,15103010,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.33229502802715
pendcart,1,1,initial_transient,4,WOA,8,11,15103011,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,31.717291043605655
pendcart,1,1,initial_transient,4,WOA,8,12,15103012,-3.293481890358483,-3.293481890358483,0.0,True,0.0,0.253939042026306,0.253939042026306,1.0,1,1000,True,32.23549196263775
