system,alg,start,n_instances,spearman_drift_vs_gap,p_drift_vs_gap,spearman_drift_vs_conv,p_drift_vs_conv,spearman_drift_vs_ctrl,p_drift_vs_ctrl,spearman_drift_vs_incumbent,p_drift_vs_incumbent,spearman_drift_vs_time,p_drift_vs_time
cstr,GWO,cold,41,0.5457554776726093,0.000223763436162527,,,0.5243259728829106,0.0004335058067152247,,,0.010278745644599305,0.9491435593558076
cstr,GWO,optimizer_warm,41,0.5724116909476002,9.211939931160433e-05,,,0.557428459956429,0.00015311779620771036,0.2538981798168032,0.10919139745058007,0.21480836236933804,0.1774288140059288
cstr,GWO,reference_warm,41,0.7779955580357659,2.1561669381080287e-09,,,0.7675421410651813,4.773464160823603e-09,-0.6738068871130545,1.3745074310654743e-06,0.17613240418118473,0.27065324567543997
cstr,PSO,cold,41,-0.5093427418917393,0.0006710986212201486,-0.24053511772118197,0.1298013814365046,-0.49279149835498026,0.0010631323496370158,-0.6726897623732969,1.4524420323572972e-06,-0.026132404181184673,0.8711626190333281
cstr,PSO,optimizer_warm,41,-0.38581819802266354,0.012726137890829516,-0.2342285414271864,0.14047998532641975,-0.3967942858417774,0.010212268175891758,-0.5826933842702104,6.40649786142896e-05,0.27073170731707324,0.08688636294068376
cstr,PSO,reference_warm,41,0.3875239647608164,0.012303996593124991,-0.24053511772118197,0.1298013814365046,-0.10758308298893417,0.5031691536303134,-0.7237647325208921,8.935562774335318e-08,0.3090592334494774,0.04927809129043278
cstr,SGO,cold,41,0.5288557869034974,0.0003783295688795074,-0.7108113190892683,1.9164799585684856e-07,0.5351278370858483,0.0003123359531524127,-0.7531446678801508,1.3368041481077095e-08,0.01358885017421603,0.932798788842143
cstr,SGO,optimizer_warm,41,0.6168387130725852,1.747967743378448e-05,-0.7364744421060669,4.050472158433681e-08,0.45202317216969984,0.0030079403238991373,-0.5640220950913832,0.00012280598432428655,0.2165505226480837,0.17385556929512389
cstr,SGO,reference_warm,41,0.8320048790504535,1.5821881214392617e-11,-0.6829477381582808,8.674829018238983e-07,0.7980312738960533,4.1432179771361414e-10,-0.6771644583347048,1.1628966945759394e-06,0.18867595818815336,0.23744338521096442
cstr,WOA,cold,41,0.5041160334064471,0.0007779842194027732,-0.7288798365208751,6.533202562630332e-08,-0.17326538628744134,0.27865326374000743,0.040089186286863664,0.8034709382484257,0.10940766550522651,0.49591286720413325
cstr,WOA,optimizer_warm,41,0.37118341426384494,0.016881099140535274,-0.3989485047468898,0.009772327618618992,-0.28232937001387504,0.07370090121496804,0.2538981798168032,0.10919139745058007,0.17630662020905927,0.2701720467691845
cstr,WOA,reference_warm,41,0.7617927617313598,7.263803211364508e-09,-0.40728374533303685,0.00821950279547042,0.7098741241107891,2.022030440116754e-07,-0.6738068871130545,1.3745074310654743e-06,0.19337979094076657,0.22573567275228676
flight,GWO,cold,41,0.8756097560975611,6.803877925510323e-14,-0.5028134307444909,0.0008068789836842969,0.8848432055749131,1.647708233588943e-14,,,-0.46184668989547045,0.0023681607571526203
flight,GWO,optimizer_warm,41,0.862020905923345,4.524516425170054e-13,-0.5037329310750204,0.0007863850204391749,0.8658536585365855,2.7077516054280163e-13,-0.28466160606087504,0.0712500610394266,-0.27160278745644606,0.08583654627872721
flight,GWO,reference_warm,41,0.8505226480836239,1.933902637163203e-12,-0.5036981128146061,0.0007871525210842578,0.8625435540069688,4.222433529676609e-13,-0.24032906085467315,0.13014042732795572,-0.09947735191637633,0.5360445646255402
flight,PSO,cold,41,0.30557491289198613,0.05203083528757361,-0.43566426205236874,0.004412041044233477,0.3437282229965158,0.027778547480526182,-0.8526015492112298,1.5008698071670954e-12,0.19006968641114985,0.23393229580439864
flight,PSO,optimizer_warm,41,0.4790940766550524,0.0015294595552423752,-0.48794555715328475,0.0012111961385623095,0.4947735191637631,0.00100736419429568,-0.9262402856645113,4.069036473097302e-18,-0.05017421602787458,0.7553957784220294
flight,PSO,reference_warm,41,0.6409407665505228,6.349759547206071e-06,-0.48936796996111037,0.001165946686586928,0.6397212543554008,6.697577753247242e-06,-0.9467299710351107,8.59130489201825e-21,-0.02038327526132405,0.8993413758899734
flight,SGO,cold,41,0.9437282229965159,2.435262147569083e-20,-0.8683627740069215,1.9182679828257945e-13,0.9472125435540072,7.225716320054773e-21,,,0.042682926829268296,0.7910304400286465
flight,SGO,optimizer_warm,41,0.9559233449477353,2.3207910275810523e-22,-0.8004229197831293,3.3612915522455805e-10,0.9609756097560977,2.260998805364059e-23,-0.1826966093549405,0.2529115010546745,0.17839721254355406,0.2644416376813257
flight,SGO,reference_warm,41,0.9337979094076657,5.294725081783324e-19,-0.8132002379364008,1.0463661322964873e-10,0.9578397212543557,9.923275261850887e-23,-0.3520393560528525,0.023992965891177477,0.061324041811846704,0.7032915748878132
flight,WOA,cold,41,0.5425087108013938,0.000248055339944458,-0.717308896341304,1.3138587804387211e-07,0.5437282229965158,0.00023866573543910138,,,-0.13031358885017422,0.4167451694901609
flight,WOA,optimizer_warm,41,0.6277003484320559,1.1192675713651073e-05,-0.48756769576419096,0.0012234754771652623,0.6447735191637631,5.361732992880861e-06,,,0.06445993031358886,0.6888637399565067
flight,WOA,reference_warm,41,0.6235191637630664,1.3314487095542774e-05,-0.4854557033976163,0.0012941640133483736,0.6301393728222998,1.010287614878326e-05,,,-0.05069686411149827,0.752927271713994
hvac,GWO,cold,32,0.9211732355637031,7.881913261942413e-14,-0.6566404403906999,4.4736021880095805e-05,0.9406049495875345,1.2879912401432785e-15,,,-0.13142700082693462,0.4733720640222811
hvac,GWO,optimizer_warm,32,0.9578368469294226,8.470321234908291e-18,-0.621904836783313,0.00014486994506583204,0.9714023831347389,2.742402942485911e-20,-0.7576461158510703,5.145639244118513e-07,0.0874346992949063,0.6341883042898958
hvac,GWO,reference_warm,32,0.992300641613199,8.913487879124719e-29,,,0.999633363886343,1.3730757894009495e-48,-0.648837392909634,5.899783181888579e-05,0.23682522324741914,0.19187844183909397
hvac,PSO,cold,32,-0.0071494042163153075,0.9690223474187165,-0.2820848518354356,0.11777450195889501,0.32355637030247486,0.07085072568465568,,,0.2359087169655019,0.19365454143255895
hvac,PSO,optimizer_warm,32,0.7576535288725941,5.143558890039794e-07,,,0.9428047662694777,7.421518046582823e-16,-0.5929279874657764,0.0003487053071290079,0.29163229890607106,0.10533716854513335
hvac,PSO,reference_warm,32,0.8001833180568287,3.876714590328405e-08,,,0.9703024747937674,4.795253580640237e-20,-0.6277079011224478,0.00012022224090491337,0.34625607330833963,0.052219375331400274
hvac,SGO,cold,32,0.7910174152153988,7.111021200209562e-08,-0.7737450330251852,2.0644873148160965e-07,0.960403299725023,3.3592195151768564e-18,,,0.03244432237987089,0.8600763640509902
hvac,SGO,optimizer_warm,32,0.9450045829514209,4.1823686818085435e-16,-0.7588789479251694,4.810028589980977e-07,0.9853345554537123,1.341853665774957e-24,-0.7337895379092139,1.7641265607429235e-06,-0.022546054535164516,0.9025182345836685
hvac,SGO,reference_warm,32,0.992300641613199,8.913487879124719e-29,,,0.999633363886343,1.3730757894009495e-48,-0.20625965896681384,0.25738629762156534,-0.17395289230789535,0.34101484222235656
hvac,WOA,cold,32,0.7462878093492209,9.407637129325193e-07,-0.7833438978878506,1.1553518791302916e-07,0.7649862511457379,3.423415675205287e-07,,,-0.17230318100044426,0.3456842460997627
hvac,WOA,optimizer_warm,32,0.8291475710357472,4.551980429386556e-09,,,0.8284142988084329,4.8287953666924285e-09,-0.29181191569182996,0.10511306532968888,-0.05938960706823824,0.7467883289064396
hvac,WOA,reference_warm,32,0.8430797433547205,1.4023998634747341e-09,,,0.9585701191567371,6.5424184289946e-18,-0.29181191569182996,0.10511306532968888,-0.061039318375689294,0.7399931064870529
pendcart,GWO,cold,45,0.8811594202898549,1.4021086141308448e-15,,,0.87931488801054,1.9155485215708e-15,,,0.1939393939393939,0.2017662962813405
pendcart,GWO,optimizer_warm,45,0.8886693017127799,3.7237442726206906e-16,,,0.8877470355731225,4.4043056432136657e-16,,,-0.0383399209486166,0.8025514202643502
pendcart,GWO,reference_warm,45,0.8899868247694334,2.922287928071858e-16,,,0.8910408432147562,2.401884347373947e-16,,,-0.08656126482213437,0.5718061910041267
pendcart,PSO,cold,45,-0.11857707509881422,0.437868053529484,,,-0.10566534914361,0.48968117775025605,-0.522801096984313,0.00022931907095468578,-0.047694334650856374,0.7557115491478336
pendcart,PSO,optimizer_warm,45,0.17075098814229248,0.2620921895409051,,,0.17364953886693016,0.25395757076327263,-0.7545849063034992,2.140781038583451e-09,-0.02714097496706192,0.8595270116986586
pendcart,PSO,reference_warm,45,0.11897233201581027,0.4363315426363583,,,0.14426877470355728,0.3443987667492838,-0.6788987709504793,2.9583051835988603e-07,-0.02898550724637681,0.8500859888003413
pendcart,SGO,cold,45,0.8956521739130434,9.940229364740064e-17,-0.1857286976200906,0.2218938545722498,0.8949934123847167,1.130357418987107e-16,,,-0.05599472990777339,0.7148570243916373
pendcart,SGO,optimizer_warm,45,0.8812911725955204,1.3709345651788055e-15,,,0.8810276679841896,1.4339535204335817e-15,-0.10793927473379607,0.48033174103979165,-0.11185770750988142,0.464443592922443
pendcart,SGO,reference_warm,45,0.8926218708827404,1.7829843786633438e-16,,,0.8893280632411066,3.300025609100735e-16,-0.11326084798651961,0.4588236554682287,-0.136231884057971,0.37221879568517996
