system,regime,other,sgo_minus_other_mean,relative_diff_pct,delta_sgo_vs_other,delta_lo,delta_hi,p_holm,significant_holm,sgo_lower,evidence
cstr,A_tuned_NP,GWO,5.505401629862794e-05,0.018716082774628662,0.19999999999999996,-0.19999999999999996,0.6000000000000001,0.8559141477230641,False,False,numerically ordered but statistically uncertain
cstr,A_tuned_NP,PSO,-0.0004621575654371046,0.15683863913617135,0.1399999999999999,-0.28,0.6000000000000001,0.9139012393391281,False,True,numerically ordered but statistically uncertain
cstr,A_tuned_NP,WOA,-0.0005124349618539914,0.17387120230383984,-0.395,-0.71,-0.020000000000000018,0.1348706757474529,False,True,numerically ordered but statistically uncertain
cstr,B_common_NP,GWO,0.00027564578029964926,0.09370876784413666,0.595,0.19999999999999996,0.8999999999999999,0.004908732135985556,True,False,practically negligible under descriptive thresholds
cstr,B_common_NP,PSO,0.0002748571248791798,0.0934404053690971,0.6000000000000001,0.19999999999999996,0.8999999999999999,0.004908732135985556,True,False,practically negligible under descriptive thresholds
cstr,B_common_NP,WOA,1.6235925242025218e-05,0.005514715214161591,0.15500000000000003,-0.21999999999999997,0.5249999999999999,0.40935585574217404,False,False,numerically ordered but statistically uncertain
flight,A_tuned_NP,GWO,-3.125045994392672e-05,0.1717271684625465,-0.38,-0.7451249999999999,0.014999999999999902,0.24674156436284916,False,True,numerically ordered but statistically uncertain
flight,A_tuned_NP,PSO,-2.7850282943879534e-05,0.15307115562880877,-0.345,-0.73,0.05499999999999994,0.3194611746355802,False,True,numerically ordered but statistically uncertain
flight,A_tuned_NP,WOA,-1.934649297653454e-05,0.10638221538172882,-0.275,-0.6599999999999999,0.125,0.4212591441165038,False,True,numerically ordered but statistically uncertain
flight,B_common_NP,GWO,-1.0632216525235244e-05,0.05843473928599951,-0.32999999999999996,-0.6699999999999999,0.04499999999999993,0.38215472789770105,False,True,numerically ordered but statistically uncertain
flight,B_common_NP,PSO,-4.541948392277825e-05,0.24914946216505388,-0.45499999999999996,-0.77,-0.07999999999999996,0.08618308560681846,False,True,numerically ordered but statistically uncertain
flight,B_common_NP,WOA,-1.0604680135698624e-05,0.058283487295346416,-0.32499999999999996,-0.685,0.07000000000000006,0.38215472789770105,False,True,numerically ordered but statistically uncertain
hvac,A_tuned_NP,GWO,-7.017373956984957e-06,0.03380357218176302,-0.995,-1.0,-0.97,4.077369076904015e-07,True,True,practically negligible under descriptive thresholds
hvac,A_tuned_NP,PSO,-1.4303164253964828e-06,0.00689186880747809,-0.19999999999999996,-0.595,0.21512499999999826,0.285304715907688,False,True,numerically ordered but statistically uncertain
hvac,A_tuned_NP,WOA,-1.4626082788987693e-05,0.07042986473687544,-1.0,-1.0,-1.0,4.077369076904015e-07,True,True,practically negligible under descriptive thresholds
hvac,B_common_NP,GWO,-1.501548522315349e-06,0.007232349496023894,-0.525,-0.8,-0.19499999999999995,0.011898715920671753,True,True,practically negligible under descriptive thresholds
hvac,B_common_NP,PSO,-1.923339232750426e-06,0.00926375586906725,-0.5349999999999999,-0.83,-0.18999999999999995,0.011898715920671753,True,True,practically negligible under descriptive thresholds
hvac,B_common_NP,WOA,-6.8511464564186e-06,0.03299068976711435,-1.0,-1.0,-1.0,4.077369076904015e-07,True,True,practically negligible under descriptive thresholds
pendcart,A_tuned_NP,GWO,1.073027886516753e-06,0.0004990326076429342,0.08000000000000007,-0.345,0.5,1.0,False,False,numerically ordered but statistically uncertain
pendcart,A_tuned_NP,PSO,3.248598544539072e-05,0.01511045049270304,0.4950000000000001,0.15999999999999992,0.77,0.038559025089684826,True,False,practically negligible under descriptive thresholds
pendcart,A_tuned_NP,WOA,1.7368501095682554e-07,8.077527387201466e-05,0.10000000000000009,-0.30000000000000004,0.5,1.0,False,False,numerically ordered but statistically uncertain
pendcart,B_common_NP,GWO,-2.1692225513070262e-06,0.001008834907297668,0.08000000000000007,-0.32999999999999996,0.5,1.0,False,True,numerically ordered but statistically uncertain
pendcart,B_common_NP,PSO,6.788479562899741e-05,0.03158130128132457,0.645,0.3600000000000001,0.865,0.002036291672313828,True,False,practically negligible under descriptive thresholds
pendcart,B_common_NP,WOA,-2.1087683367837506e-06,0.0009807198926612077,0.10000000000000009,-0.30000000000000004,0.5,1.0,False,True,numerically ordered but statistically uncertain
uav,A_tuned_NP,GWO,5.811573646544014e-05,6.686279674179109,0.8,0.5,1.0,6.39889409853791e-05,True,False,clear separation
uav,A_tuned_NP,PSO,-0.00155105979290156,62.58425888873374,-0.21499999999999997,-0.595,0.19500000000000006,0.5005935950070237,False,True,numerically ordered but statistically uncertain
uav,A_tuned_NP,WOA,-0.00032411058350659977,25.899729481146284,-0.925,-1.0,-0.8,3.007398502660074e-06,True,True,clear separation
uav,B_common_NP,GWO,6.196443739678011e-05,7.092947279572767,0.75,0.45999999999999996,0.98,0.00010509908028372364,True,False,clear separation
uav,B_common_NP,PSO,-0.001699672188378865,64.49774111918698,-0.995,-1.0,-0.97,4.077369076904015e-07,True,True,clear separation
uav,B_common_NP,WOA,-0.0003327133458027351,26.23334462047585,-0.835,-1.0,-0.61,2.002095429120065e-05,True,True,clear separation
