system,alg,start,stratum,n,instances,start_gap_median,final_gap_median,final_gap_q1,final_gap_q3,final_gap_median_lo,final_gap_median_hi,conv_rate,conv_rate_lo,conv_rate_hi,trivial_start_rate,incumbent_return_rate,improvement_median,first_ctrl_err_median,time_ms_median
cstr,GWO,cold,Benign,520,26,1.3264274410646238e-11,9.898039139765876e-16,3.0623028065607135e-16,2.34072101082838e-15,8.300886976829651e-16,1.1524625145847714e-15,1.0,1.0,1.0,0.9615384615384616,0.0,0.9999257915990956,6.945265358935853e-08,14.231348497560248
cstr,GWO,cold,Moderate,80,4,0.2801878602701604,6.79108223847159e-08,1.4536279568932997e-08,2.3176846768863113e-07,4.4914638893853685e-08,1.0010524512105157e-07,1.0,1.0,1.0,0.0,0.0,0.9999993857808703,1.8919378705052614e-05,14.2955159972189
cstr,GWO,cold,High,180,9,1.0,1.2718413726076476e-07,1.079347297387445e-08,5.885303086453526e-07,8.417999460844782e-08,1.8984490749884078e-07,1.0,1.0,1.0,0.0,0.0,0.9999998728158628,3.0432624303501632e-05,14.242418998037465
cstr,GWO,cold,Severe,40,2,1.0,3.1917715155575147e-13,0.0,5.8548098286054e-08,0.0,8.416982273397598e-09,1.0,1.0,1.0,0.0,0.0,0.9999999999996808,2.2649915776273846e-07,14.036955020856112
cstr,GWO,optimizer_warm,Benign,520,26,1.3264274410646238e-11,7.766542154360016e-16,2.6593093822816693e-16,1.89640792114997e-15,6.637312679403402e-16,9.585856964938498e-16,1.0,1.0,1.0,0.9230769230769231,0.0,0.9999459172815968,6.972452116754209e-08,14.185730498866178
cstr,GWO,optimizer_warm,Moderate,80,4,0.007978088603880149,7.8955771818821e-08,1.74458204965644e-08,2.021719125950357e-07,4.457782809552669e-08,1.0566454722304996e-07,1.0,1.0,1.0,0.0,0.0,0.9999951136987977,1.6630186988764867e-05,14.315573498606682
cstr,GWO,optimizer_warm,High,180,9,0.023725355834296948,9.824435076423615e-08,2.171314028082898e-08,4.876532142555398e-07,6.94152328829382e-08,1.4599636124902154e-07,1.0,1.0,1.0,0.0,0.0,0.9999964604520417,2.565907126574757e-05,14.247267507016659
cstr,GWO,optimizer_warm,Severe,40,2,0.3561024783738303,9.983058257627161e-11,0.0,9.487480620312986e-08,0.0,1.109707776301726e-08,1.0,1.0,1.0,0.5,0.5,0.9999998604312996,4.005413444363448e-06,14.343776521855034
cstr,GWO,reference_warm,Benign,520,26,7.788132850453367e-16,1.2533619350382084e-16,2.3777208884641665e-17,5.176864393403488e-16,9.505092034843244e-17,1.3693063320243954e-16,1.0,1.0,1.0,0.9230769230769231,0.6923076923076923,0.9999995685165508,1.969684647443484e-08,14.162367500830442
cstr,GWO,reference_warm,Moderate,80,4,0.00812232067606355,4.755708806684738e-08,1.2064176810322458e-08,1.8353519531943974e-07,3.198821063024257e-08,9.349097063182654e-08,1.0,1.0,1.0,0.0,0.0,0.9999962298514644,1.549850079624049e-05,14.31291400513146
cstr,GWO,reference_warm,High,180,9,0.0237709115076089,8.451408430558316e-08,1.5301124546750433e-08,4.0334918553194953e-07,6.24394468484912e-08,1.4819881768755137e-07,1.0,1.0,1.0,0.0,0.0,0.9999966576526976,2.5348856748663023e-05,14.272285494371317
cstr,GWO,reference_warm,Severe,40,2,0.3561024783738303,2.0918065615324347e-12,0.0,6.773871112494328e-08,0.0,3.736519005087798e-09,1.0,1.0,1.0,0.5,0.5,0.999999897773969,5.797932252082916e-07,14.27605701610446
cstr,PSO,cold,Benign,520,26,1.3264274410646238e-11,1.010359697582012e-11,2.9542613933958566e-12,1.3282423508580684e-11,7.235398463114395e-12,1.2488936234677604e-11,1.0,1.0,1.0,0.9615384615384616,0.475,0.01722173433226655,1.0867759842862285e-05,4.767538499436341
cstr,PSO,cold,Moderate,80,4,0.2801878602701604,1.0186296250935811e-14,2.220446049250313e-16,6.467217039674011e-11,1.1102230246251563e-15,9.753309271331999e-14,1.0,1.0,1.0,0.0,0.0,0.9999999999999676,4.597195478461824e-09,4.81092999689281
cstr,PSO,cold,High,180,9,1.0,1.5042819396108672e-15,2.216935384626913e-16,8.71858282290555e-14,6.661338147750939e-16,4.673359794865046e-15,0.9611111111111111,0.9333333333333333,0.9833333333333333,0.0,0.0,0.9999999999999984,4.279142699903371e-09,4.762344993650913
cstr,PSO,cold,Severe,40,2,1.0,0.0,0.0,1.8546028562216822e-16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,9.002587564310714e-11,4.7499984939349815
cstr,PSO,optimizer_warm,Benign,520,26,1.7060672218561514e-11,1.0667875487668894e-11,3.095955730645228e-12,2.1715827893775313e-11,8.669117783803494e-12,1.2120091394584914e-11,0.9980769230769231,0.9942307692307693,1.0,0.9211538461538461,0.3326923076923077,0.3735049001528416,1.1551175728573344e-05,4.750802996568382
cstr,PSO,optimizer_warm,Moderate,80,4,0.00936400905281355,3.780309398848658e-14,2.0816681711721685e-16,6.241855849461325e-11,2.3314683517128287e-15,2.5895952049381776e-13,0.9875,0.9625,1.0,0.0,0.0,0.999999999993517,8.893338891702296e-09,4.7063144884305075
cstr,PSO,optimizer_warm,High,180,9,0.023770898676317202,9.931918669347263e-16,1.633600640004582e-16,9.202556011463239e-14,3.9069513538509113e-16,4.620643229557794e-15,0.9555555555555556,0.9222222222222223,0.9833333333333333,0.0,0.0,0.9999999999999787,3.1666334832092247e-09,4.790810489794239
cstr,PSO,optimizer_warm,Severe,40,2,0.3561024783738303,0.0,0.0,1.8546028562216822e-16,0.0,9.273014281108411e-17,1.0,1.0,1.0,0.5,0.5,1.0,1.4334139430971504e-10,4.778032991453074
cstr,PSO,reference_warm,Benign,520,26,7.788132850453367e-16,2.669145335526448e-16,2.4032896822025708e-17,1.4191281188256395e-14,1.3693063320243954e-16,4.1064363585772224e-16,1.0,1.0,1.0,0.9230769230769231,0.8615384615384616,0.9999887716081273,2.4326800679111987e-08,4.753604982397519
cstr,PSO,reference_warm,Moderate,80,4,0.00812232067606355,1.124100812432971e-14,1.1102230246251563e-16,2.790608618751661e-11,1.3308798507694069e-15,1.3070100557399655e-13,1.0,1.0,1.0,0.0,0.0,0.9999999999988458,4.847424184273308e-09,4.794984502950683
cstr,PSO,reference_warm,High,180,9,0.0237709115076089,1.3853765616148348e-15,1.5983172151994242e-16,2.8506331168079956e-14,3.323511240032175e-16,3.5939214080100806e-15,0.9055555555555556,0.8611111111111112,0.9444444444444444,0.0,0.0,0.9999999999999574,2.7873855203142117e-09,4.794445994775742
cstr,PSO,reference_warm,Severe,40,2,0.3561024783738303,0.0,0.0,1.8546028562216822e-16,0.0,9.273014281108411e-17,1.0,1.0,1.0,0.5,0.5,1.0,4.619382654169612e-11,4.7695749963168055
