system,k,stratum,warm_gap_norm,cold_gap_norm_drift,df_over_max,dU_shift,alg,start,trial,seed,NP,J_star,J_start,J_final,start_gap_norm,final_gap_norm,final_gap_abs,trivial_start,converged_1e4,control_error,first_control_error,returned_incumbent,improvement_fraction,time_ms,requested_fe,realized_fe,fe_exact,warm_start_provenance
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,0,11000000,20,-2.13784185082709,0.0,-2.1378370003519636,1.0,2.2688652692257496e-06,4.85047512643888e-06,False,True,0.006180767402430121,0.006180767402430121,False,0.9999977311347308,42.78237099060789,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,1,11000001,20,-2.13784185082709,0.0,-2.1378403281224863,1.0,7.122625105085115e-07,1.5227046037402658e-06,False,True,0.0034630446408812077,0.0034630446408812077,False,0.9999992877374895,41.996433021267876,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,2,11000002,20,-2.13784185082709,0.0,-2.1378414008233233,1.0,2.104944135695788e-07,4.5000376669435127e-07,False,True,0.0018826012127126646,0.0018826012127126646,False,0.9999997895055864,43.09455698239617,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,3,11000003,20,-2.13784185082709,0.0,-2.1378338880806305,1.0,3.7246658149444904e-06,7.96274645953332e-06,False,True,0.007919207147475404,0.007919207147475404,False,0.999996275334185,43.31510898191482,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,4,11000004,20,-2.13784185082709,0.0,-2.137739571951324,1.0,4.7842115040695e-05,0.00010227887576608197,False,True,0.028382015456353216,0.028382015456353216,False,0.9999521578849593,43.390331993578,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,5,11000005,20,-2.13784185082709,0.0,-2.1378402205823894,1.0,7.62565621931818e-07,1.6302447005678289e-06,False,True,0.00358324627389095,0.00358324627389095,False,0.999999237434378,42.960147984558716,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,6,11000006,20,-2.13784185082709,0.0,-2.137841764426322,1.0,4.041494829945336e-08,8.640076787358453e-08,False,True,0.0008249147346202079,0.0008249147346202079,False,0.9999999595850517,42.578530992614105,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,7,11000007,20,-2.13784185082709,0.0,-2.137839339116496,1.0,1.1748813847973354e-06,2.51171059417743e-06,False,True,0.004447695616443426,0.004447695616443426,False,0.9999988251186152,42.84417498274706,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,8,11000008,20,-2.13784185082709,0.0,-2.1378174895230218,1.0,1.1395278869116725e-05,2.4361304068243328e-05,False,True,0.013851618624029172,0.013851618624029172,False,0.9999886047211309,42.73915197700262,1000,1000,True,zero sequence
pendcart,0,High,0.0108202554765163,1.0,0.0935205359319699,0.4763856931531744,SGO,cold,9,11000009,20,-2.13784185082709,0.0,-2.137841125601434,1.0,3.392326030536493e-07,7.252256559731052e-07,False,True,0.002389939126809182,0.002389939126809182,False,0.999999660767397,42.62776201358065,1000,1000,True,zero sequence
