axis,parameter,case,parameter_value,alg,median_offline_error,mean_offline_error,rank_in_case,relative_to_baseline,spearman_param_vs_median,spearman_p
peak_number,PeakNumber,F1,5,SGO,35.85972888861828,40.60143492201969,4,1.0,0.0,1.0
peak_number,PeakNumber,F2,10,SGO,40.03559050584953,41.7557850596072,4,1.1164498937011387,0.0,1.0
peak_number,PeakNumber,F3,25,SGO,41.17923219114949,40.313789157691645,4,1.1483419832607713,0.0,1.0
peak_number,PeakNumber,F4,50,SGO,41.507579866435655,39.635594147329044,4,1.1574984293763018,0.0,1.0
peak_number,PeakNumber,F5,100,SGO,34.65888913029294,34.49931864962072,4,0.9665128600928582,0.0,1.0
peak_number,PeakNumber,F1,5,GWO,16.888874681864188,23.13989105105693,2,1.0,0.7,0.1881204043741873
peak_number,PeakNumber,F2,10,GWO,23.057498481495426,25.17138587164004,2,1.36524776906867,0.7,0.1881204043741873
peak_number,PeakNumber,F3,25,GWO,24.294831579486903,25.467602378172664,2,1.4385109746580966,0.7,0.1881204043741873
peak_number,PeakNumber,F4,50,GWO,25.30614530964778,25.05143860911364,2,1.4983914432630805,0.7,0.1881204043741873
peak_number,PeakNumber,F5,100,GWO,23.36336885320016,24.11969298663549,3,1.3833585299965836,0.7,0.1881204043741873
peak_number,PeakNumber,F1,5,PSO,13.861939706835896,28.248322015429217,1,1.0,0.3,0.623837664781073
peak_number,PeakNumber,F2,10,PSO,16.89710840652504,25.066204926380795,1,1.2189569976409849,0.3,0.623837664781073
peak_number,PeakNumber,F3,25,PSO,19.41756116788009,27.92314899784557,1,1.4007823997607267,0.3,0.623837664781073
peak_number,PeakNumber,F4,50,PSO,18.70232365071772,23.73100595444675,1,1.3491851823229926,0.3,0.623837664781073
peak_number,PeakNumber,F5,100,PSO,15.792442519930765,25.858735791087334,1,1.139266426915914,0.3,0.623837664781073
peak_number,PeakNumber,F1,5,WOA,25.195008785199715,28.48233148469259,3,1.0,-0.39999999999999997,0.5046315754686912
peak_number,PeakNumber,F2,10,WOA,31.860567757685384,32.28881991584674,3,1.2645587080089138,-0.39999999999999997,0.5046315754686912
peak_number,PeakNumber,F3,25,WOA,27.456754073997228,27.475241035830216,3,1.089769577303189,-0.39999999999999997,0.5046315754686912
peak_number,PeakNumber,F4,50,WOA,27.112438131132983,27.272720009368086,3,1.0761035394859486,-0.39999999999999997,0.5046315754686912
peak_number,PeakNumber,F5,100,WOA,22.550388502773536,23.510266359890316,2,0.8950339606954333,-0.39999999999999997,0.5046315754686912
change_frequency,ChangeFrequency,F2,5000,SGO,40.03559050584953,41.7557850596072,4,1.0,-1.0,0.0
change_frequency,ChangeFrequency,F6,2500,SGO,41.76887445430968,43.076573722144,4,1.0432935777032415,-1.0,0.0
change_frequency,ChangeFrequency,F7,1000,SGO,42.40632557617849,44.627620327018825,4,1.0592156888502138,-1.0,0.0
change_frequency,ChangeFrequency,F8,500,SGO,46.29318287484748,45.577274698309445,4,1.1563007386661044,-1.0,0.0
change_frequency,ChangeFrequency,F2,5000,GWO,23.057498481495426,25.17138587164004,2,1.0,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F6,2500,GWO,23.12921869939623,28.286347567976645,2,1.0031104943130913,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F7,1000,GWO,21.413537588211163,27.6540835597758,2,0.9287016805138855,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F8,500,GWO,27.865188757263876,34.8957432770161,2,1.208508753871406,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F2,5000,PSO,16.89710840652504,25.066204926380795,1,1.0,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F6,2500,PSO,18.43429229371593,22.464212163181678,1,1.0909731919928554,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F7,1000,PSO,18.86499483555702,22.659786189517416,1,1.1164629107943733,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F8,500,PSO,17.560819259480922,20.932362089716488,1,1.039279552275322,-0.39999999999999997,0.6
change_frequency,ChangeFrequency,F2,5000,WOA,31.860567757685384,32.28881991584674,3,1.0,-0.7999999999999999,0.2000000000000001
change_frequency,ChangeFrequency,F6,2500,WOA,30.67245283178373,31.795668773631533,3,0.9627089217324114,-0.7999999999999999,0.2000000000000001
change_frequency,ChangeFrequency,F7,1000,WOA,38.43755928113359,39.588668332229666,3,1.206430455774339,-0.7999999999999999,0.2000000000000001
change_frequency,ChangeFrequency,F8,500,WOA,45.32688015012776,44.05216004538434,3,1.422663917820298,-0.7999999999999999,0.2000000000000001
dimension,Dimension,F2,5,SGO,40.03559050584953,41.7557850596072,4,1.0,1.0,0.0
dimension,Dimension,F9,10,SGO,117.11259296545524,117.7429086297117,4,2.925212079695543,1.0,0.0
dimension,Dimension,F10,20,SGO,229.6647460119956,231.0686356108134,3,5.73651451396576,1.0,0.0
dimension,Dimension,F2,5,GWO,23.057498481495426,25.17138587164004,2,1.0,1.0,0.0
dimension,Dimension,F9,10,GWO,38.97874015851185,57.332209784024236,1,1.690501690363066,1.0,0.0
dimension,Dimension,F10,20,GWO,180.2761217612676,164.7612302698795,1,7.818546400683772,1.0,0.0
dimension,Dimension,F2,5,PSO,16.89710840652504,25.066204926380795,1,1.0,1.0,0.0
dimension,Dimension,F9,10,PSO,44.7812174857665,74.19193814668328,2,2.650229637425635,1.0,0.0
dimension,Dimension,F10,20,PSO,287.1795399896644,269.4077152581675,4,16.99578017021932,1.0,0.0
dimension,Dimension,F2,5,WOA,31.860567757685384,32.28881991584674,3,1.0,1.0,0.0
dimension,Dimension,F9,10,WOA,92.29336596450642,85.96840860396496,3,2.896789745444617,1.0,0.0
dimension,Dimension,F10,20,WOA,191.2578216443715,193.36941615069617,2,6.002963384048183,1.0,0.0
shift_severity,ShiftSeverity,F2,1,SGO,40.03559050584953,41.7557850596072,4,1.0,1.0,0.0
shift_severity,ShiftSeverity,F11,2,SGO,46.33328524940706,45.11179281183606,4,1.1573024067832194,1.0,0.0
shift_severity,ShiftSeverity,F12,5,SGO,52.18354354872675,52.733681895143526,4,1.3034288464185964,1.0,0.0
shift_severity,ShiftSeverity,F2,1,GWO,23.057498481495426,25.17138587164004,2,1.0,1.0,0.0
shift_severity,ShiftSeverity,F11,2,GWO,25.76718040479102,27.2072086068722,2,1.1175184691205866,1.0,0.0
shift_severity,ShiftSeverity,F12,5,GWO,35.893769759221406,34.615634242636936,2,1.5567070204093305,1.0,0.0
shift_severity,ShiftSeverity,F2,1,PSO,16.89710840652504,25.066204926380795,1,1.0,1.0,0.0
shift_severity,ShiftSeverity,F11,2,PSO,20.04578205440697,29.886925079687643,1,1.186343933655893,1.0,0.0
shift_severity,ShiftSeverity,F12,5,PSO,43.68848891381543,49.97270402519272,3,2.5855600770688407,1.0,0.0
shift_severity,ShiftSeverity,F2,1,WOA,31.860567757685384,32.28881991584674,3,1.0,0.5,0.6666666666666666
shift_severity,ShiftSeverity,F11,2,WOA,31.335279937647275,32.285112990509326,3,0.9835129171572469,0.5,0.6666666666666666
shift_severity,ShiftSeverity,F12,5,WOA,34.73311218165298,34.976790273975986,1,1.0901598629947415,0.5,0.6666666666666666
