case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F8,4,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,20.136327951229873,19.424657634257184,0.009968369553608084,3.0795514779892983
F8,3,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,13.42351251105548,12.130561164613983,0.024027902273127587,3.1733596909907646
F8,1,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,10.651859278742034,10.047950453803928,0.013840400523629753,3.248960241005989
F8,2,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,20.341072084159634,19.398903275299865,0.014772194388755695,3.299781712004915
F8,3,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.746216730474785,32.60701840078567,0.0016324525514550062,6.004780971998116
F8,5,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,16.252376757966296,15.372571705969143,0.02050594647391688,3.2993690190050984
F8,4,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,22.39274603145947,19.56969951837834,0.004287119649496743,8.24005509899871
F8,1,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,63.058330473273955,58.69733131912442,0.0006514992380182056,9.308357457994134
F8,2,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,64.8762356215564,61.28617004273721,0.0005019109398647708,9.600151352002285
F8,6,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,19.476609789368673,18.74190484304712,0.01082484285828785,3.0896100109966937
F8,5,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,25.201896929949395,22.650924892510602,0.002419370574422337,8.626260439006728
F8,6,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,61.04884813616235,56.61545471160554,0.0005966304244960673,7.758430514993961
F8,7,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,29.071867737393305,27.144163295885427,0.03379207116368005,3.204977159999544
F8,4,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,23.256784692662823,22.012922351438807,0.002867343379716389,17.18023351499869
F8,2,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,59.34362743683719,54.16741238975328,0.0021528551028860755,17.951811899998575
F8,1,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.93823725818112,36.764764233048936,0.004363775194669497,18.21011698700022
F8,3,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,49.430591717744356,45.39439353600798,0.0024481595678882717,18.442847263009753
F8,2,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,23.42071405142833,22.120209286177133,0.07861638260407525,19.471292141999584
F8,7,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,48.739740875791924,44.63637515784413,0.0010847102558063655,8.689561512001092
F8,3,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,31.31226364511853,29.524813060729453,0.18158635180150826,20.248840274987742
F8,8,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,23.078051372889554,21.552256898881364,0.029320763918176472,2.676195286010625
F8,1,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.930494466652654,32.76538882737029,0.10410782060661643,22.04630365500634
F8,9,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,17.507781351471774,17.039771480767353,0.011940443150096897,2.9724272119929083
F8,5,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,72.72118875673706,69.64166998753502,0.029277092826170165,20.171556409011828
F8,8,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,70.70777143634135,67.82941171515273,0.00037284859318136157,7.774760904998402
F8,4,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,30.12186394518266,28.284846149285432,0.05461588772636095,25.39448559700395
F8,5,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,28.899823161485223,26.097239538514078,0.00539085970274258,22.29363832299714
F8,10,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,15.250164933173833,14.674277351081573,0.012909100997709762,2.5366590730118332
F8,9,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,10.614382176954281,9.63714918782768,0.004228069861347841,8.729759451001883
F8,11,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,24.511490611643026,23.841058681112358,0.01207796454557369,3.121090296001057
F8,6,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,46.11895617754574,44.26317494551242,0.09549305765514281,22.806375464002485
F8,6,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,53.908731509373254,49.079585487960856,0.004492158361806273,19.869874280993827
F8,7,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,35.46069283699696,33.94276158143507,0.06854440259319931,20.346918412993546
F8,10,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,50.128952029119496,47.08305135198229,0.0005412033029034843,9.210610991998692
F8,12,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,26.24859483498223,25.067943053312764,0.012948933553140994,3.7586784199957037
F8,9,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,51.49749157378952,48.007528655280936,0.0022680589836437596,12.947424248995958
F8,11,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,27.865188757263873,26.351448483226463,0.0025634865026524173,8.316477484011557
F8,12,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,56.68448022701152,52.97934757266054,0.0004058993175645665,5.831863225001143
F8,7,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,46.02985461100809,40.77802386319308,0.004926298010908727,21.144019102997845
F8,8,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.40177675925993,35.383607339082516,0.004570716633318121,17.51603060400521
F8,13,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,15.551458704806505,14.886882328323782,0.012670578401418551,3.763504952992662
F8,8,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,64.64484695600763,61.12415818054234,0.03619344859327003,21.418379588998505
F8,10,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.06356612768875,32.80500677648222,0.003560209027174033,13.662662342001568
F8,13,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,22.471513371446637,20.352973474830023,0.002335816355793447,6.944769434994669
F8,9,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,56.14650728219155,53.22687740825517,0.0392197042829322,19.884262968000257
F8,14,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,14.878130447603986,14.06133599232332,0.014287151822142094,2.923899725996307
F8,15,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,15.814860335976176,15.162158791843678,0.01137610289430519,1.9325611270032823
F8,12,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,61.47175626709422,58.41337896099218,0.02801290909803808,11.075423978996696
F8,11,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,71.16172656962976,67.35501439277238,0.04067853369954466,14.632833348005079
F8,16,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.45518759180031,32.76805744248564,0.04697214993232216,2.1872180740028853
F8,11,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,45.326880150127764,40.29243265928449,0.006295005659674072,15.50806065100187
F8,14,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,27.868813718058625,26.15118157478996,0.002748892869783607,7.413390112007619
F8,10,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,52.985263708427475,49.859182024084014,0.06530483493083943,21.532724178003264
F8,15,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,18.62801222326756,17.301462018163075,0.0035199442153074495,6.209786501000053
F8,17,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,17.560819259480922,17.051510305853334,0.009401389883165414,1.7323549249995267
F8,18,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,16.500265951954685,15.914030244251846,0.012045462383916765,2.108529973993427
F8,13,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.84329600946579,37.54542905371167,0.09324222129723095,15.086504716993659
F8,17,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,24.050728752993997,21.989642044222848,0.0029918239530686863,4.411593163997168
F8,16,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,27.160245674141766,24.867725611575192,0.0023007636082738306,8.196797504991991
F8,12,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,47.36955031800132,42.16427234560124,0.003647740937665371,18.569146467998507
F8,13,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,63.79735876531871,58.63495713016892,0.00237533478494694,14.945214355000644
F8,14,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,30.70651008766096,28.5174616634264,0.006572940411749522,13.565871098995558
F8,19,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,16.7218169498409,16.05402615159551,0.012792002976727317,2.667540709997411
F8,18,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,61.35245886260108,57.97965788532256,0.0007053755074085109,6.832276995002758
F8,16,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,23.398899133587378,22.057555547824542,0.00485882844418862,10.971362556010718
F8,19,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,21.50043830348412,19.514585896951626,0.0028421057266541866,4.8364719429955585
F8,14,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,24.31097250086659,22.708902551439955,0.16033408799900858,16.8314558580023
F8,20,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,16.334454658947553,15.400269512737431,0.018309347811282805,2.5798432150040753
F8,21,PSO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,16.50235304962196,15.798683115100843,0.014381673107283251,2.4797998370049754
F8,15,WOA,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,45.81779314763996,40.453931465872856,0.004314004934529719,15.728786710998975
F8,20,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,19.439540170747392,17.38023704343209,0.0036910287807306913,5.532628061992
F8,21,GWO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,20.353058918279608,19.5955853422427,0.0046510457373499575,4.811439469005563
F8,16,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,49.51677605659429,46.44461512766526,0.08247127021515492,18.03250189300161
