case,alg,n,PeakNumber,ChangeFrequency,Dimension,ShiftSeverity,best,worst,mean,median,std,q1,q3,iqr,rank,ebbc_mean
F1,SGO,31,5,5000,5,1,15.86195585881153,93.81034456746482,40.60143492201969,35.85972888861828,17.860625525933955,28.98990196293998,49.490817716522706,20.500915753582724,4,39.144175839936445
F1,GWO,31,5,5000,5,1,4.749757809849728,53.83599315209757,23.13989105105693,16.888874681864188,13.926345615330012,13.707010364647982,29.9341965196361,16.227186154988118,2,21.645080897711175
F1,PSO,31,5,5000,5,1,3.649231198374778,171.95970816946834,28.248322015429217,13.861939706835896,39.02387242686244,9.807865337712897,18.106987663981066,8.299122326268169,1,27.215587895823628
F1,WOA,31,5,5000,5,1,10.355660408398824,64.2870055000183,28.48233148469259,25.195008785199715,12.111616247481853,20.72807997253603,31.30251883209933,10.574438859563301,3,27.577935932862683
F2,SGO,31,10,5000,5,1,19.085881515054812,71.66971452051249,41.7557850596072,40.03559050584953,12.58814138370929,32.504884291183785,51.6597708165511,19.154886525367317,4,40.468428335157355
F2,GWO,31,10,5000,5,1,10.624434596058626,56.5750744466611,25.17138587164004,23.057498481495426,9.940442386479592,18.272196960184267,29.368436268806178,11.09623930862191,2,23.841090814119347
F2,PSO,31,10,5000,5,1,8.281143449455458,121.88210912927072,25.066204926380795,16.89710840652504,24.822479384597443,14.674608713018284,23.677631760377743,9.00302304735946,1,24.294410239862426
F2,WOA,31,10,5000,5,1,18.28419665121506,53.61191505080348,32.28881991584674,31.860567757685384,8.48519737397963,26.49905340685602,36.779137557374696,10.280084150518675,3,31.23848879529802
F3,SGO,31,25,5000,5,1,20.32818811730661,71.91127482117774,40.313789157691645,41.17923219114949,11.595809320712005,30.98285752854624,48.48212349192585,17.499265963379607,4,39.01885314320043
F3,GWO,31,25,5000,5,1,9.04357595002681,43.62920511764805,25.467602378172664,24.294831579486903,9.46966013293073,17.767639669685444,33.15569418149771,15.388054511812264,2,24.16124621807903
F3,PSO,31,25,5000,5,1,12.395838681380656,89.84360580941129,27.92314899784557,19.41756116788009,20.19262273022162,14.543468077088221,30.923851914474472,16.38038383738625,1,26.704110652427932
F3,WOA,31,25,5000,5,1,14.407919666178593,38.88985403354247,27.475241035830216,27.456754073997228,6.442722215053893,23.278254734670057,31.694282361114787,8.41602762644473,3,26.590983466130403
F4,SGO,31,50,5000,5,1,25.64785878802121,48.00591260930096,39.635594147329044,41.507579866435655,6.008802498316196,36.07037318596472,43.988065788120736,7.917692602156016,4,38.37350801285597
F4,GWO,31,50,5000,5,1,10.7791841658132,38.13261738780576,25.05143860911364,25.30614530964778,7.571852622950836,20.276052874125725,29.704353155244128,9.428300281118403,2,23.871537419781728
F4,PSO,31,50,5000,5,1,9.88338322759322,96.38178754166655,23.73100595444675,18.70232365071772,15.476399022937283,16.28810052546458,25.689975931787764,9.401875406323185,1,22.624062029302014
F4,WOA,31,50,5000,5,1,20.09057170616572,36.0582936713971,27.272720009368086,27.112438131132983,4.144355075081938,24.44362383722403,29.783555356830757,5.339931519606726,3,26.360332515922046
F5,SGO,31,100,5000,5,1,21.322236248501063,46.311432930754975,34.49931864962072,34.65888913029294,6.071639918208563,30.803549115509167,39.08388895131195,8.280339835802781,4,33.32396293748673
F5,GWO,31,100,5000,5,1,13.085523896073484,39.45705085697185,24.11969298663549,23.36336885320016,6.868339718258642,20.041223337181282,28.79510023846592,8.753876901284638,3,22.97831890737077
F5,PSO,31,100,5000,5,1,9.724178373457413,90.30332842462506,25.858735791087334,15.792442519930765,20.517927136686946,13.400659607245094,27.18517074854642,13.784511141301325,1,24.67093542657924
F5,WOA,31,100,5000,5,1,16.80329643296299,33.38828932568767,23.510266359890316,22.550388502773536,3.68821212245638,20.77661633164343,25.864091310195,5.087474978551569,2,22.6120952193959
F6,SGO,31,10,2500,5,1,18.31989939789348,77.61149356148545,43.076573722144,41.76887445430968,13.592590967157689,34.57455422051848,50.61494645111401,16.04039223059553,4,41.328627810343555
F6,GWO,31,10,2500,5,1,9.706618583123694,63.27623022850288,28.286347567976645,23.12921869939623,14.237010402466142,17.90182796804457,36.70421773951216,18.80238977146759,2,26.72788416226469
F6,PSO,31,10,2500,5,1,6.843216036598838,88.17930013024197,22.464212163181678,18.43429229371593,17.562718606982976,15.288281278268151,23.63021338709845,8.3419321088303,1,21.601879586281417
F6,WOA,31,10,2500,5,1,18.484258108681583,64.96233065844046,31.795668773631533,30.67245283178373,10.682247109012625,23.955271240134326,38.14112803610725,14.18585679597292,3,30.4657509482146
F7,SGO,31,10,1000,5,1,18.73941709336128,87.79658295325909,44.627620327018825,42.40632557617849,17.16271064770487,32.64434611269331,54.85231456988136,22.207968457188045,4,42.29320540992311
F7,GWO,31,10,1000,5,1,13.80408514112306,63.22963751495648,27.6540835597758,21.413537588211163,15.129283897353153,16.48688740779705,30.80659317585223,14.31970576805518,2,25.888791134228846
F7,PSO,31,10,1000,5,1,10.99191616809616,51.66036679367703,22.659786189517416,18.86499483555702,10.85980569806309,15.831210117088961,25.655802727225932,9.824592610136971,1,21.604793298047156
F7,WOA,31,10,1000,5,1,22.170025471260164,63.08546074950614,39.588668332229666,38.43755928113359,10.48161686999143,32.852113015217554,47.06401343817153,14.211900422953974,3,36.96893835360259
F8,SGO,31,10,500,5,1,22.95964242503834,76.50729536788705,45.577274698309445,46.29318287484748,15.810241583048759,33.03341613910561,55.132085521487326,22.098669382381715,4,43.06804712672324
F8,GWO,31,10,500,5,1,10.61438217695428,70.70777143634135,34.8957432770161,27.865188757263876,18.382449674504574,20.926748610881866,49.434346452455706,28.50759784157384,2,32.43193020259868
F8,PSO,31,10,500,5,1,9.078639634473118,48.17874203940178,20.932362089716488,17.560819259480922,8.907607406413604,15.683159520391339,23.79477099226629,8.111611471874951,1,19.70991320597018
F8,WOA,31,10,500,5,1,22.3717298151225,75.59534668408874,44.05216004538434,45.32688015012776,13.86405080294911,32.6834592508091,54.657085550077845,21.973626299268744,3,40.20553560520598
F9,SGO,31,10,5000,10,1,75.27793174722039,150.79151849426955,117.7429086297117,117.11259296545524,17.090462861970252,105.39741744372988,131.09413134691468,25.6967139031848,4,115.32785597614628
F9,GWO,31,10,5000,10,1,19.103967584792684,122.28633943595054,57.332209784024236,38.97874015851185,35.155731831022656,27.337719190082815,93.55523267083596,66.21751348075315,1,53.744032621149614
F9,PSO,31,10,5000,10,1,10.20043158521672,234.3017029741707,74.19193814668328,44.7812174857665,67.63426642461363,33.83881397121402,88.21359021600684,54.37477624479281,2,70.1148486963802
F9,WOA,31,10,5000,10,1,34.280777679487464,115.83550330165812,85.96840860396496,92.29336596450642,18.80421948790081,78.9714214408992,95.32856829251571,16.357146851616506,3,83.40001544551002
F10,SGO,31,10,5000,20,1,204.91163005919265,257.3383650465203,231.0686356108134,229.6647460119956,13.466149989655635,222.27083343395725,241.94799100529156,19.677157571334305,3,228.30466514356092
F10,GWO,31,10,5000,20,1,29.25035357969492,210.85970614855137,164.7612302698795,180.2761217612676,40.5746286632391,142.34523221033066,191.87433254395577,49.52910033362511,1,156.99687375821568
F10,PSO,31,10,5000,20,1,62.79655657335417,481.50012672344815,269.4077152581675,287.1795399896644,113.38344762663023,182.7734523333939,352.7904849587675,170.0170326253736,4,258.8510613855743
F10,WOA,31,10,5000,20,1,161.07586177781803,216.20750426107375,193.36941615069617,191.2578216443715,13.407768402115034,186.93736926986526,202.1411829769531,15.203813707087846,2,189.22342231992837
F11,SGO,31,10,5000,5,2,19.65706021597425,68.55421221260252,45.11179281183606,46.33328524940706,10.84260685794714,36.770744980213365,53.58325275590431,16.812507775690946,4,43.57917197047117
F11,GWO,31,10,5000,5,2,12.782792597354373,52.77297039852065,27.2072086068722,25.76718040479102,10.088171686518775,19.10478414026919,31.803176498883854,12.698392358614665,2,25.45931533384534
F11,PSO,31,10,5000,5,2,7.959657820869562,113.5285542432241,29.886925079687643,20.04578205440697,26.906043374749025,16.43263758626102,28.878557532078077,12.445919945817057,1,28.402352993806844
F11,WOA,31,10,5000,5,2,18.736225646412883,54.03343073415899,32.285112990509326,31.335279937647275,8.646362794437866,26.04113072642795,38.273443698325295,12.232312971897343,3,31.21007919770686
F12,SGO,31,10,5000,5,5,35.933631281438345,74.29619029350218,52.733681895143526,52.18354354872675,9.655695957439546,46.08239389955387,59.43382565130021,13.35143175174634,4,51.12714169389674
F12,GWO,31,10,5000,5,5,14.284757248499004,53.73363235528861,34.615634242636936,35.893769759221406,9.891342362435442,27.231881770575264,41.343650340621494,14.11176857004623,2,32.88202654825163
F12,PSO,31,10,5000,5,5,10.22508320683141,135.0256758762166,49.97270402519272,43.68848891381543,32.72699512040219,19.539148032979853,73.04679197854341,53.50764394556356,3,47.262214581943674
F12,WOA,31,10,5000,5,5,23.461377300409147,50.77075724295096,34.976790273975986,34.73311218165298,6.511501593512802,30.198526835471117,38.81761259935772,8.619085763886606,1,33.817747854990195
