case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,5,SGO,population_persistence,1,113.97794799649338,19.90677773626446,23.10720939232816,94.07117026022893,0.8253453577100993,7,True,413,True
F2,5,SGO,population_persistence,2,30.12119597998261,21.39996349067045,21.54981060329232,8.721232489312158,0.2895380547010137,21,True,161,True
F2,5,SGO,population_persistence,3,160.32643316545347,22.38076182350799,23.242851041221943,137.94567134194548,0.8604050412547286,2,True,14,True
F2,5,SGO,population_persistence,4,111.59513738298716,40.74336260896503,43.412108538874655,70.85177477402213,0.6349001975853438,3,True,352,True
F2,5,SGO,population_persistence,5,66.22118512147603,22.25264903984374,23.989935919268333,43.96853608163229,0.6639648022151292,20,True,328,True
F2,5,SGO,population_persistence,6,120.94843495769979,22.98060368953238,23.75531261024012,97.9678312681674,0.809996684144201,4,True,4,True
F2,5,SGO,population_persistence,7,107.18871968278356,38.03990270201983,38.141523114829496,69.14881698076373,0.6451128177051104,10,True,10,True
F2,5,SGO,population_persistence,8,98.1104637907593,27.082235454384275,33.02806526704184,71.02822833637502,0.723961803787385,18,True,1139,True
F2,5,SGO,population_persistence,9,65.60747748185975,26.488382808253206,26.95191409686541,39.11909467360654,0.5962596974471827,2,True,41,True
F2,5,SGO,population_persistence,10,89.1547601461244,17.08708294371701,17.938958475175646,72.0676772024074,0.8083435711597303,7,True,232,True
F2,5,SGO,population_persistence,11,50.42848732088824,22.958904585404383,23.430349648459885,27.469582735483854,0.5447235123411196,82,True,82,True
F2,5,SGO,population_persistence,12,115.86530758844835,28.5800550443012,29.84065617849834,87.28525254414714,0.753333800779979,3,True,188,True
F2,5,SGO,population_persistence,13,111.72066628458288,24.304290758261182,26.382139376614404,87.4163755263217,0.7824548352016488,3,True,80,True
F2,5,SGO,population_persistence,14,91.46881464522065,36.110072235762686,38.45671375748638,55.35874240945796,0.6052198514234328,2,True,308,True
F2,5,SGO,population_persistence,15,135.1868433236985,32.50257843927043,32.87513541613897,102.68426488442807,0.7595729167116911,5,True,32,True
F2,5,SGO,population_persistence,16,98.30555350199812,48.91709305028462,49.23793896074892,49.3884604517135,0.5023974606959478,4,True,22,True
F2,5,SGO,population_persistence,17,99.69647598522445,25.79279310365866,27.808167334943917,73.9036828815658,0.7412868123093811,18,True,154,True
F2,5,SGO,population_persistence,18,102.8245873737448,27.99507437095705,28.060769792480794,74.82951300278776,0.7277394922169628,3,True,3,True
