case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F2,5,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,29.520928011165093,28.543794325718505,0.10225959351390061,64.95142530600424
F2,3,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.66231657804463,19.948654291495703,0.2777408187902094,65.86206171198864
F2,6,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.49318479862705,23.634787862652107,0.27765632914252414,66.32430297200335
F2,4,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.52082534536008,22.654768608255008,0.28084464956693395,66.53991548001068
F2,3,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,44.33317747114542,42.63857998779804,0.07350226673371847,70.68425415999081
F2,1,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,29.97411703011027,28.735382653256842,0.1030163592364208,72.41141003899975
F2,2,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,20.13393062636535,19.4856020643898,0.08358014492503861,72.52215196398902
F2,2,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.956406631659718,14.78128911850109,0.27801014788189377,72.85458579800616
F2,5,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.39916722740462,23.438063029571158,0.2812204814838542,73.08381987598841
F2,1,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.49587463633979,22.43345853928469,0.2797597364483392,74.51769065699773
F2,7,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.02670186461556,21.206887297648873,0.2800337325851905,76.12589768100588
F2,7,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.78298471907421,14.603335854741234,0.2750170807646666,76.87620583300304
F2,4,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,20.353783664645537,18.172857390821147,0.2786227732190213,77.44502904800174
F2,4,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,32.8984310529814,31.87162198776991,0.05671380846467732,78.43393443099922
F2,6,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,36.60451148717292,35.14624944509711,0.076074685041982,78.72533289100102
F2,5,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.295456699103894,17.49835777829269,0.2855688813659544,78.9950799060025
F2,3,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,18.632566853112294,16.485204013258276,0.2761963357268826,82.09622304300137
F2,6,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.813702002853518,20.771988381341334,0.27917858166179293,86.57699038699502
F2,1,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.489218166392103,23.610884623550845,0.28144035271804135,90.58094257600897
F2,2,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.376380449389092,22.406038375133093,0.27878026689956636,92.89906187800807
F2,8,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.162164207583718,21.30565534394699,0.2842641794361276,69.52496102401346
F2,9,SGO,cold_restart,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.4699683279154,20.369598612009096,0.27997573777454915,68.18223165700329
