family,case,comparison,n_pairs,median_SGO,median_other,median_diff,median_diff_ci_lo,median_diff_ci_hi,wilcoxon_stat,p_raw,cliffs_delta,delta_ci_lo,delta_ci_hi,sgo_lower_offline_error,p_holm,significant_holm
primary,F1,SGO vs GWO,31,35.85972888861828,16.888874681864188,17.385630641345784,8.747727559484387,24.058109788352077,45.0,1.5350058674812317e-05,0.6024973985431842,0.3548387096774194,0.8085327783558793,False,4.605017602443695e-05,True
primary,F1,SGO vs PSO,31,35.85972888861828,13.861939706835896,20.678890278825598,14.551691779600503,29.731854602767058,127.0,0.016678825952112675,0.6670135275754423,0.404786680541103,0.9042663891779397,False,0.016678825952112675,True
primary,F1,SGO vs WOA,31,35.85972888861828,25.195008785199715,7.750556521427981,1.8813517359693037,18.56207684923947,100.0,0.0029005883261561394,0.4797086368366285,0.22164412070759626,0.7211238293444329,False,0.005801176652312279,True
primary,F2,SGO vs GWO,31,40.03559050584953,23.057498481495426,18.49853634476909,12.278668442549481,25.569669255661125,46.0,1.7393380403518677e-05,0.7232049947970863,0.5171696149843913,0.8917793964620188,False,5.218014121055603e-05,True
primary,F2,SGO vs PSO,31,40.03559050584953,16.89710840652504,22.91532562193456,17.98060155002431,30.081604206133786,79.0,0.000541122630238533,0.7544224765868887,0.5275754422476587,0.9354838709677419,False,0.000756487250328064,True
primary,F2,SGO vs WOA,31,40.03559050584953,31.860567757685384,10.959827913186619,4.54273116656017,16.00615444915136,75.0,0.000378243625164032,0.45681581685744016,0.186264308012487,0.6982310093652445,False,0.000756487250328064,True
primary,F3,SGO vs GWO,31,41.17923219114949,24.294831579486903,15.444475138494411,10.797309704490353,19.93309530284078,45.0,1.5350058674812317e-05,0.6649323621227887,0.4547346514047867,0.8377211238293437,False,4.605017602443695e-05,True
primary,F3,SGO vs PSO,31,41.17923219114949,19.41756116788009,14.875811923630753,9.95236936166788,18.97146289527032,91.0,0.0014681089669466019,0.554630593132154,0.2736732570239334,0.8002081165452654,False,0.0014681089669466019,True
primary,F3,SGO vs WOA,31,41.17923219114949,27.456754073997228,14.428071433141099,7.478055366298939,20.887075475183803,46.0,1.7393380403518677e-05,0.6503642039542143,0.42767950052029136,0.8397502601456815,False,4.605017602443695e-05,True
primary,F4,SGO vs GWO,31,41.507579866435655,25.30614530964778,13.404346345407173,8.9141649348146,17.40863073725631,3.0,4.6566128730773926e-09,0.858480749219563,0.7232049947970863,0.9563475546305924,False,9.313225746154785e-09,True
primary,F4,SGO vs PSO,31,41.507579866435655,18.70232365071772,18.607020427165043,13.382902960112581,22.024622591140915,33.0,2.989545464515686e-06,0.8376690946930281,0.6628511966701353,0.9667013527575442,False,2.989545464515686e-06,True
primary,F4,SGO vs WOA,31,41.507579866435655,27.112438131132983,11.954294054093495,9.319321766931758,16.19567385170318,2.0,2.7939677238464355e-09,0.8688865764828304,0.7273673257023934,0.9750260145681582,False,8.381903171539307e-09,True
primary,F5,SGO vs GWO,31,34.65888913029294,23.36336885320016,8.155268553207463,5.9271929196856235,14.393123455561657,26.0,9.955838322639465e-07,0.7190426638917794,0.5192507804370448,0.8855359001040582,False,1.991167664527893e-06,True
primary,F5,SGO vs PSO,31,34.65888913029294,15.792442519930765,15.928489424218853,14.45065238972563,19.529405961906946,125.0,0.014852074906229973,0.5733610822060354,0.29859521331945893,0.8210197710718002,False,0.014852074906229973,True
primary,F5,SGO vs WOA,31,34.65888913029294,22.550388502773536,10.70242674645128,8.745620951789661,13.329131189641021,3.0,4.6566128730773926e-09,0.8668054110301769,0.7148803329864725,0.9791883454734651,False,1.3969838619232178e-08,True
primary,F6,SGO vs GWO,31,41.76887445430968,23.12921869939623,17.989757838522188,10.191516723022595,23.19102244680915,67.0,0.000177089124917984,0.5525494276795005,0.2924037460978148,0.7752341311134235,False,0.000354178249835968,True
