case,seed,temporal_mode,environments,optimizer_seed,quantity,n_compared,max_abs_diff,passed
F2,1,population_persistence,4,20261910,evaluated points,20000,0.0,True
F2,1,population_persistence,4,20261910,objective values,20000,0.0,True
F2,1,population_persistence,4,20261910,FE counter,20000,0.0,True
F2,1,population_persistence,4,20261910,environment counter,20000,0.0,True
F2,1,population_persistence,4,20261910,population after run,20000,0.0,True
F2,1,population_persistence,4,20261910,population costs,20000,0.0,True
F2,1,population_persistence,4,20261910,best solution,20000,0.0,True
F2,1,population_persistence,4,20261910,best cost,20000,0.0,True
F2,1,population_persistence,4,20261910,CurrentError trace,20000,0.0,True
F2,1,population_persistence,4,20261910,Ebbc vector,20000,0.0,True
F2,1,population_persistence,4,20261910,offline error,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,evaluated points,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,objective values,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,FE counter,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,environment counter,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,population after run,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,population costs,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,best solution,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,best cost,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,CurrentError trace,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,Ebbc vector,20000,0.0,True
F2,1,previous_best_seeded,4,20261930,offline error,20000,0.0,True
F2,2,population_persistence,4,20262910,evaluated points,20000,0.0,True
F2,2,population_persistence,4,20262910,objective values,20000,0.0,True
F2,2,population_persistence,4,20262910,FE counter,20000,0.0,True
F2,2,population_persistence,4,20262910,environment counter,20000,0.0,True
F2,2,population_persistence,4,20262910,population after run,20000,0.0,True
F2,2,population_persistence,4,20262910,population costs,20000,0.0,True
F2,2,population_persistence,4,20262910,best solution,20000,0.0,True
F2,2,population_persistence,4,20262910,best cost,20000,0.0,True
F2,2,population_persistence,4,20262910,CurrentError trace,20000,0.0,True
F2,2,population_persistence,4,20262910,Ebbc vector,20000,0.0,True
F2,2,population_persistence,4,20262910,offline error,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,evaluated points,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,objective values,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,FE counter,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,environment counter,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,population after run,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,population costs,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,best solution,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,best cost,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,CurrentError trace,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,Ebbc vector,20000,0.0,True
F2,2,previous_best_seeded,4,20262930,offline error,20000,0.0,True
F2,7,population_persistence,4,20267910,evaluated points,20000,0.0,True
F2,7,population_persistence,4,20267910,objective values,20000,0.0,True
F2,7,population_persistence,4,20267910,FE counter,20000,0.0,True
F2,7,population_persistence,4,20267910,environment counter,20000,0.0,True
F2,7,population_persistence,4,20267910,population after run,20000,0.0,True
F2,7,population_persistence,4,20267910,population costs,20000,0.0,True
F2,7,population_persistence,4,20267910,best solution,20000,0.0,True
F2,7,population_persistence,4,20267910,best cost,20000,0.0,True
F2,7,population_persistence,4,20267910,CurrentError trace,20000,0.0,True
F2,7,population_persistence,4,20267910,Ebbc vector,20000,0.0,True
F2,7,population_persistence,4,20267910,offline error,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,evaluated points,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,objective values,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,FE counter,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,environment counter,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,population after run,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,population costs,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,best solution,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,best cost,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,CurrentError trace,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,Ebbc vector,20000,0.0,True
F2,7,previous_best_seeded,4,20267930,offline error,20000,0.0,True
F8,1,population_persistence,8,20261910,evaluated points,4000,0.0,True
F8,1,population_persistence,8,20261910,objective values,4000,0.0,True
F8,1,population_persistence,8,20261910,FE counter,4000,0.0,True
F8,1,population_persistence,8,20261910,environment counter,4000,0.0,True
F8,1,population_persistence,8,20261910,population after run,4000,0.0,True
F8,1,population_persistence,8,20261910,population costs,4000,0.0,True
F8,1,population_persistence,8,20261910,best solution,4000,0.0,True
F8,1,population_persistence,8,20261910,best cost,4000,0.0,True
F8,1,population_persistence,8,20261910,CurrentError trace,4000,0.0,True
F8,1,population_persistence,8,20261910,Ebbc vector,4000,0.0,True
F8,1,population_persistence,8,20261910,offline error,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,evaluated points,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,objective values,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,FE counter,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,environment counter,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,population after run,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,population costs,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,best solution,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,best cost,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,CurrentError trace,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,Ebbc vector,4000,0.0,True
F8,1,previous_best_seeded,8,20261930,offline error,4000,0.0,True
