case,seed,grouping,mode,environment,target_fraction,actual_fe_in_env,actual_fraction,diversity
F1,9,random,population_persistence,1,0.0,20,0.004,0.2629929722282589
F1,9,random,population_persistence,1,0.05,262,0.0524,0.14866528241410237
F1,9,random,population_persistence,1,0.1,500,0.1,0.14911915795352865
F1,9,random,population_persistence,1,0.25,1268,0.2536,0.10786528801423532
F1,9,random,population_persistence,1,0.5,2508,0.5016,0.07040247409420991
F1,9,random,population_persistence,1,0.75,3760,0.752,0.0734381938322439
F1,9,random,population_persistence,1,1.0,5000,1.0,0.06963645734019545
F1,9,random,population_persistence,2,0.0,20,0.004,0.06963645734019545
F1,9,random,population_persistence,2,0.05,260,0.052,0.1343503559044531
F1,9,random,population_persistence,2,0.1,502,0.1004,0.10627878421281704
F1,9,random,population_persistence,2,0.25,1264,0.2528,0.11121138670813568
F1,9,random,population_persistence,2,0.5,2510,0.502,0.11879469644174845
F1,9,random,population_persistence,2,0.75,3770,0.754,0.07870901837626505
F1,9,random,population_persistence,2,1.0,5000,1.0,0.14007946486713885
F1,9,random,population_persistence,3,0.0,20,0.004,0.14007946486713885
F1,9,random,population_persistence,3,0.05,268,0.0536,0.12597258663807584
F1,9,random,population_persistence,3,0.1,504,0.1008,0.13690849268028127
F1,9,random,population_persistence,3,0.25,1264,0.2528,0.13544169685632046
F1,9,random,population_persistence,3,0.5,2500,0.5,0.0909760932083633
F1,9,random,population_persistence,3,0.75,3754,0.7508,0.09951998825198156
F1,9,random,population_persistence,3,1.0,5000,1.0,0.12961517046988708
F1,9,random,population_persistence,4,0.0,20,0.004,0.12961517046988708
F1,9,random,population_persistence,4,0.05,250,0.05,0.06307373752830779
F1,9,random,population_persistence,4,0.1,510,0.102,0.07519011882490227
F1,9,random,population_persistence,4,0.25,1252,0.2504,0.0796656084212014
F1,9,random,population_persistence,4,0.5,2506,0.5012,0.0952710365822826
F1,9,random,population_persistence,4,0.75,3758,0.7516,0.08166039858644984
F1,9,random,population_persistence,4,1.0,5000,1.0,0.08063678012399592
F1,9,random,population_persistence,5,0.0,20,0.004,0.08063678012399592
F1,9,random,population_persistence,5,0.05,250,0.05,0.1111670158159699
F1,9,random,population_persistence,5,0.1,504,0.1008,0.07394251247232392
F1,9,random,population_persistence,5,0.25,1266,0.2532,0.08057077863712683
F1,9,random,population_persistence,5,0.5,2506,0.5012,0.08005044792803875
F1,9,random,population_persistence,5,0.75,3768,0.7536,0.09215407550999524
F1,9,random,population_persistence,5,1.0,5000,1.0,0.07786781127754624
F1,9,random,population_persistence,6,0.0,20,0.004,0.07786781127754624
F1,9,random,population_persistence,6,0.05,262,0.0524,0.06804445871760284
F1,9,random,population_persistence,6,0.1,504,0.1008,0.06486563848435034
F1,9,random,population_persistence,6,0.25,1262,0.2524,0.09443040273557841
F1,9,random,population_persistence,6,0.5,2504,0.5008,0.15038579900107119
F1,9,random,population_persistence,6,0.75,3752,0.7504,0.12347695165999321
F1,9,random,population_persistence,6,1.0,5000,1.0,0.1567248241494148
F1,9,random,population_persistence,7,0.0,20,0.004,0.1567248241494148
F1,9,random,population_persistence,7,0.05,266,0.0532,0.16676130787920773
F1,9,random,population_persistence,7,0.1,506,0.1012,0.24288094000821578
F1,9,random,population_persistence,7,0.25,1262,0.2524,0.24041163897548729
F1,9,random,population_persistence,7,0.5,2510,0.502,0.27250370703445603
F1,9,random,population_persistence,7,0.75,3764,0.7528,0.2480163649770587
F1,9,random,population_persistence,7,1.0,5000,1.0,0.2643933134843003
F1,9,random,population_persistence,8,0.0,20,0.004,0.2643933134843003
F1,9,random,population_persistence,8,0.05,270,0.054,0.10999179024529933
