case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F1,9,random,population_persistence,1,5000,80.13079574428306,25.500470267729426,27.604995167642844,54.63032547655364,0.6817644198978423,80.13079574428306,30.22503019086143,30.22503019086143,30.22503019086143,26.092095208520142,25.500470267729426,0.5916249407907159,0.010829606736365334,43,True,0.0086,65,True,0.013
F1,9,random,population_persistence,2,5000,107.48695857062339,47.06479985568347,48.07559355894503,60.42215871493992,0.5621347884286824,107.48695857062339,53.10582591145694,53.10582591145694,47.28962475622002,47.11397058888548,47.06479985568347,0.04917073320201126,0.0008137864360985395,20,True,0.004,100,True,0.02
F1,9,random,population_persistence,3,5000,74.15245119254845,44.540222822639265,45.02160443895447,29.61222836990919,0.3993425422042543,74.15245119254845,45.50033619162241,45.50033619162241,44.71207688696344,44.71207688696344,44.71207688696344,0.17185406432417238,0.005803483013078607,3,True,0.0006,92,True,0.0184
F1,9,random,population_persistence,4,5000,161.87625044770425,33.98240767046178,35.873719139748715,127.89384277724247,0.7900716900936612,161.87625044770425,49.95457936067035,43.63739493092771,34.31796753841986,34.31796753841986,33.98240767046178,0.33555986795807513,0.002623737473761989,2,True,0.0004,484,True,0.0968
F1,9,random,population_persistence,5,5000,109.91204071867455,55.18040154875554,55.470555788927214,54.731639169919006,0.49795853859184924,109.91204071867455,57.50481994504167,55.24805992872135,55.22286010700864,55.1951059261478,55.18040154875554,0.014704377392256163,0.00026866320130857364,3,True,0.0006,66,True,0.0132
F1,9,random,population_persistence,6,5000,86.30489951336217,44.0877430769326,49.93252963540316,42.217156436429576,0.4891629174528301,86.30489951336217,58.75084074233174,58.75084074233174,54.93323690066864,44.6040687649168,44.0877430769326,0.5163256879842066,0.01223023366724587,4,True,0.0008,2337,True,0.4674
F1,9,random,population_persistence,7,5000,69.29522713281753,16.98628045812439,17.20881375915959,52.30894667469314,0.7548708452089068,69.29522713281753,17.736495473060174,17.736495473060174,16.98628045812439,16.98628045812439,16.98628045812439,0.0,0.0,4,True,0.0008,4,True,0.0008
F1,9,random,population_persistence,8,5000,192.77813088962444,23.886643460698537,27.80657836918178,168.8914874289259,0.8760925663587075,192.77813088962444,49.35970906338273,38.86779851668423,24.74653093547149,24.064498268564364,23.886643460698537,0.17785480786582752,0.00105307147549798,4,True,0.0008,464,True,0.0928
F1,9,random,population_persistence,9,5000,139.75157476811324,58.1363505941088,58.26534446596934,81.61522417400445,0.5840021789337746,139.75157476811324,58.307414552675475,58.307414552675475,58.18295751199692,58.136406129678406,58.136406129678406,5.553556960791184e-05,6.804560076868681e-07,2,True,0.0004,10,True,0.002
F1,9,random,population_persistence,10,5000,102.90381483610045,65.13308023475692,65.20108327027815,37.770734601343534,0.3670489248771067,102.90381483610045,65.15438910613918,65.15438910613918,65.14519595886068,65.13308023475692,65.13308023475692,0.0,0.0,6,True,0.0012,14,True,0.0028
F1,9,random,population_persistence,11,5000,96.5933367998856,67.09971329243345,67.15900328237056,29.493623507452156,0.30533807490836246,96.5933367998856,67.10623092283987,67.10034873902664,67.0998023155453,67.09971329243345,67.09971329243345,0.0,0.0,7,True,0.0014,7,True,0.0014
F1,9,random,population_persistence,12,5000,132.15039919940205,80.63857875115234,80.74098735724652,51.51182044824971,0.38979693410175326,132.15039919940205,80.6388502146533,80.63868725679895,80.63857875115234,80.63857875115234,80.63857875115234,0.0,0.0,2,True,0.0004,37,True,0.0074
F1,9,random,population_persistence,13,5000,107.5012904022447,105.02875843941496,105.02985368908998,2.4725319628297484,0.023000021242332178,107.5012904022447,105.02954413746242,105.02954413746242,105.02881192016605,105.02875843941496,105.02875843941496,0.0,0.0,3,True,0.0006,3,True,0.0006
F1,9,random,population_persistence,14,5000,125.04412522841713,107.7620532234458,108.71462160961828,17.282072004971326,0.13820778843789983,125.04412522841713,119.22351680758595,107.99629540518384,107.7620532234458,107.7620532234458,107.7620532234458,0.0,0.0,312,True,0.0624,381,True,0.0762
F1,9,random,population_persistence,15,5000,106.28453819476107,87.52657938784301,87.54235083007798,18.757958806918055,0.17648812447719384,106.28453819476107,87.53356249322783,87.52908101456231,87.52671817960373,87.52658196018821,87.52657938784301,2.5723451955173005e-06,1.371335347302609e-07,6,True,0.0012,6,True,0.0012
F1,9,random,population_persistence,16,5000,142.04955958828398,77.4635754812498,77.89340835973188,64.58598410703418,0.4546721883139237,142.04955958828398,77.46395585182856,77.46395585182856,77.4635754812498,77.4635754812498,77.4635754812498,0.0,0.0,40,True,0.008,60,True,0.012
F1,9,random,population_persistence,17,5000,131.40256290249806,43.256937149195096,53.00255248940256,88.14562575330297,0.6708059858673217,131.40256290249806,86.02630550767117,84.72375629852975,43.55134477578573,43.256937149195096,43.256937149195096,0.0,0.0,219,True,0.0438,1064,True,0.2128
F1,9,random,population_persistence,18,5000,94.24418886443303,49.68620585311622,49.916286360563795,44.55798301131681,0.47279289628575305,94.24418886443303,50.11694810717029,49.74030936104867,49.72811527566182,49.68620585311622,49.68620585311622,0.0,0.0,21,True,0.0042,40,True,0.008
F1,9,random,population_persistence,19,5000,97.01196858953531,91.81547887193553,91.82883636114234,5.196489717599789,0.05356544963628678,97.01196858953531,91.81547921922328,91.81547921922328,91.81547921922328,91.81547921922328,91.81547921922328,3.4728775233361375e-07,6.68312209215768e-08,9,True,0.0018,47,True,0.0094
