case,seed,grouping,mode,environment,target_fraction,actual_fe_in_env,actual_fraction,diversity
F1,5,fitness,population_persistence,1,0.0,20,0.004,0.2596973878473634
F1,5,fitness,population_persistence,1,0.05,260,0.052,0.2674982712664464
F1,5,fitness,population_persistence,1,0.1,502,0.1004,0.23973965937172043
F1,5,fitness,population_persistence,1,0.25,1256,0.2512,0.2310834617589071
F1,5,fitness,population_persistence,1,0.5,2500,0.5,0.23492576455642628
F1,5,fitness,population_persistence,1,0.75,3754,0.7508,0.23426598996962597
F1,5,fitness,population_persistence,1,1.0,5000,1.0,0.22565067916883702
F1,5,fitness,population_persistence,2,0.0,20,0.004,0.22565067916883702
F1,5,fitness,population_persistence,2,0.05,256,0.0512,0.20517920294460473
F1,5,fitness,population_persistence,2,0.1,508,0.1016,0.19204321042225395
F1,5,fitness,population_persistence,2,0.25,1256,0.2512,0.1889320737949932
F1,5,fitness,population_persistence,2,0.5,2502,0.5004,0.18638238828192738
F1,5,fitness,population_persistence,2,0.75,3756,0.7512,0.1831261668215216
F1,5,fitness,population_persistence,2,1.0,5000,1.0,0.18362776058265007
F1,5,fitness,population_persistence,3,0.0,20,0.004,0.18362776058265007
F1,5,fitness,population_persistence,3,0.05,258,0.0516,0.16727473357493294
F1,5,fitness,population_persistence,3,0.1,508,0.1016,0.16699526603229922
F1,5,fitness,population_persistence,3,0.25,1252,0.2504,0.16111718927015506
F1,5,fitness,population_persistence,3,0.5,2506,0.5012,0.15825922904550627
F1,5,fitness,population_persistence,3,0.75,3752,0.7504,0.15907498644540263
F1,5,fitness,population_persistence,3,1.0,5000,1.0,0.17223877697234521
F1,5,fitness,population_persistence,4,0.0,20,0.004,0.17223877697234521
F1,5,fitness,population_persistence,4,0.05,250,0.05,0.1799024850333887
F1,5,fitness,population_persistence,4,0.1,502,0.1004,0.17946542913077163
F1,5,fitness,population_persistence,4,0.25,1252,0.2504,0.1616637706862384
F1,5,fitness,population_persistence,4,0.5,2502,0.5004,0.16340363457474666
F1,5,fitness,population_persistence,4,0.75,3754,0.7508,0.16411077946252925
F1,5,fitness,population_persistence,4,1.0,5000,1.0,0.1606953792676684
F1,5,fitness,population_persistence,5,0.0,20,0.004,0.1606953792676684
F1,5,fitness,population_persistence,5,0.05,250,0.05,0.17101747375776363
F1,5,fitness,population_persistence,5,0.1,506,0.1012,0.1653420872987428
F1,5,fitness,population_persistence,5,0.25,1252,0.2504,0.16560866734698032
F1,5,fitness,population_persistence,5,0.5,2504,0.5008,0.1681334247962323
F1,5,fitness,population_persistence,5,0.75,3756,0.7512,0.17159662396096767
F1,5,fitness,population_persistence,5,1.0,5000,1.0,0.16225909106131758
F1,5,fitness,population_persistence,6,0.0,20,0.004,0.16225909106131758
F1,5,fitness,population_persistence,6,0.05,254,0.0508,0.15585594959478402
F1,5,fitness,population_persistence,6,0.1,506,0.1012,0.16289331401179527
F1,5,fitness,population_persistence,6,0.25,1258,0.2516,0.16565334532467674
F1,5,fitness,population_persistence,6,0.5,2502,0.5004,0.1508885643334387
F1,5,fitness,population_persistence,6,0.75,3752,0.7504,0.1489559705951648
F1,5,fitness,population_persistence,6,1.0,5000,1.0,0.14961767098806164
F1,5,fitness,population_persistence,7,0.0,20,0.004,0.14961767098806164
F1,5,fitness,population_persistence,7,0.05,250,0.05,0.14993208353485585
F1,5,fitness,population_persistence,7,0.1,500,0.1,0.15213405849829048
F1,5,fitness,population_persistence,7,0.25,1252,0.2504,0.153758521161148
F1,5,fitness,population_persistence,7,0.5,2504,0.5008,0.16738537643007453
F1,5,fitness,population_persistence,7,0.75,3750,0.75,0.1658474613170145
F1,5,fitness,population_persistence,7,1.0,5000,1.0,0.16160492947832594
F1,5,fitness,population_persistence,8,0.0,20,0.004,0.16160492947832594
F1,5,fitness,population_persistence,8,0.05,252,0.0504,0.16586581626115515
F1,5,fitness,population_persistence,8,0.1,504,0.1008,0.16806662028959657
F1,5,fitness,population_persistence,8,0.25,1258,0.2516,0.16137560061046421
F1,5,fitness,population_persistence,8,0.5,2508,0.5016,0.1643389169970419
F1,5,fitness,population_persistence,8,0.75,3758,0.7516,0.16670886852715774
F1,5,fitness,population_persistence,8,1.0,5000,1.0,0.16870373877601325
F1,5,fitness,population_persistence,9,0.0,20,0.004,0.16870373877601325
F1,5,fitness,population_persistence,9,0.05,250,0.05,0.1675609782056065
F1,5,fitness,population_persistence,9,0.1,500,0.1,0.16995839637938687
F1,5,fitness,population_persistence,9,0.25,1250,0.25,0.17733260829680975
F1,5,fitness,population_persistence,9,0.5,2504,0.5008,0.17241164932696712
F1,5,fitness,population_persistence,9,0.75,3754,0.7508,0.17628608134774065
F1,5,fitness,population_persistence,9,1.0,5000,1.0,0.1687704269000062
F1,5,fitness,population_persistence,10,0.0,20,0.004,0.1687704269000062
F1,5,fitness,population_persistence,10,0.05,252,0.0504,0.16641882998426788
F1,5,fitness,population_persistence,10,0.1,502,0.1004,0.1649305459311398
F1,5,fitness,population_persistence,10,0.25,1252,0.2504,0.17312567398771145
F1,5,fitness,population_persistence,10,0.5,2502,0.5004,0.17635565830549849
F1,5,fitness,population_persistence,10,0.75,3756,0.7512,0.1801546782438078
F1,5,fitness,population_persistence,10,1.0,5000,1.0,0.180349285363096
F1,5,fitness,population_persistence,11,0.0,20,0.004,0.180349285363096
F1,5,fitness,population_persistence,11,0.05,252,0.0504,0.175396041889116
F1,5,fitness,population_persistence,11,0.1,502,0.1004,0.16899988348040457
F1,5,fitness,population_persistence,11,0.25,1254,0.2508,0.17517694443995402
F1,5,fitness,population_persistence,11,0.5,2504,0.5008,0.17760003262151336
F1,5,fitness,population_persistence,11,0.75,3754,0.7508,0.17693574783632673
F1,5,fitness,population_persistence,11,1.0,5000,1.0,0.17735363804505333
F1,5,fitness,population_persistence,12,0.0,20,0.004,0.17735363804505333
F1,5,fitness,population_persistence,12,0.05,250,0.05,0.19310903416307973
F1,5,fitness,population_persistence,12,0.1,500,0.1,0.19364176217632503
F1,5,fitness,population_persistence,12,0.25,1252,0.2504,0.18700109906234097
F1,5,fitness,population_persistence,12,0.5,2502,0.5004,0.1802179063862019
F1,5,fitness,population_persistence,12,0.75,3752,0.7504,0.17015301320321768
F1,5,fitness,population_persistence,12,1.0,5000,1.0,0.17172648316139452
F1,5,fitness,population_persistence,13,0.0,20,0.004,0.17172648316139452
F1,5,fitness,population_persistence,13,0.05,250,0.05,0.15456286966047103
F1,5,fitness,population_persistence,13,0.1,500,0.1,0.1536011312977204
F1,5,fitness,population_persistence,13,0.25,1250,0.25,0.15182327230369466
F1,5,fitness,population_persistence,13,0.5,2500,0.5,0.15197314027841283
F1,5,fitness,population_persistence,13,0.75,3750,0.75,0.1535625957347026
F1,5,fitness,population_persistence,13,1.0,5000,1.0,0.15299301954107017
F1,5,fitness,population_persistence,14,0.0,20,0.004,0.15299301954107017
F1,5,fitness,population_persistence,14,0.05,250,0.05,0.1561354826583626
F1,5,fitness,population_persistence,14,0.1,500,0.1,0.15974724430040135
F1,5,fitness,population_persistence,14,0.25,1250,0.25,0.1673261524444963
F1,5,fitness,population_persistence,14,0.5,2502,0.5004,0.1721349815710699
F1,5,fitness,population_persistence,14,0.75,3756,0.7512,0.1594293160078308
F1,5,fitness,population_persistence,14,1.0,5000,1.0,0.16036715650073333
F1,5,fitness,population_persistence,15,0.0,20,0.004,0.16036715650073333
F1,5,fitness,population_persistence,15,0.05,256,0.0512,0.14721278885750752
F1,5,fitness,population_persistence,15,0.1,506,0.1012,0.14169217243457022
F1,5,fitness,population_persistence,15,0.25,1258,0.2516,0.1378279635583413
F1,5,fitness,population_persistence,15,0.5,2500,0.5,0.13731044258927275
F1,5,fitness,population_persistence,15,0.75,3754,0.7508,0.13664888790083257
F1,5,fitness,population_persistence,15,1.0,5000,1.0,0.13844831108038425
F1,5,fitness,population_persistence,16,0.0,20,0.004,0.13844831108038425
F1,5,fitness,population_persistence,16,0.05,254,0.0508,0.137789838899793
F1,5,fitness,population_persistence,16,0.1,506,0.1012,0.13864428222918665
F1,5,fitness,population_persistence,16,0.25,1256,0.2512,0.1366355911186369
