case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F1,5,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,17.73386990510543,17.008192222399035,0.21382248654442038,148.9185739139939
F1,20,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.576125074597767,14.673287111586465,0.215057299576063,149.21281207101129
F1,14,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.677436153284468,14.932138309012293,0.2823045785409453,151.11303347600915
F1,6,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.716080161482777,14.608949915009408,0.23520386737008364,152.10306056399713
F1,13,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,10.655432530452462,10.024712271914371,0.14571636374085517,152.10425777900673
F1,2,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,17.401710010465333,16.663530962273697,0.149278553305533,153.72744425199926
F1,9,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.31788768054113,15.761266176722588,0.23389442128425733,154.8471301739919
F1,7,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,19.232762434190537,18.426138919493923,0.0879291912317903,160.01659236999694
F1,4,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,9.025014901753657,8.11646573789777,0.0721494099473885,161.06861906099948
F1,11,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.986271589982081,12.308244388570856,0.07735323346302773,161.52066898500198
F1,18,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.637082019349737,13.169897849248724,0.17438533569027814,164.9897857939941
F1,17,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,20.918316264670626,19.887988465043453,0.19151773345056358,169.07703015799052
F1,15,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,11.465587321637953,10.644524184275816,0.08031029134259118,170.00092772398784
F1,10,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,18.292760179978654,17.29168278980184,0.23058176782843415,173.0579739639943
F1,19,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.768450094780112,12.942978490546274,0.12724570071684646,174.19598808299634
F1,3,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,6.903647870903669,6.5306301797715,0.08088055286190096,179.26072949299123
F1,16,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.521283916818362,12.784391987783998,0.18593725214688617,180.23978676999104
F1,1,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,19.802260611340433,18.49487742417586,0.2647348289592594,184.67737152599148
F1,12,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.890548289470681,12.311603801320587,0.13803868033625488,186.50435180000204
F1,8,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.80112778344505,13.095674772320558,0.22997545378470988,188.02166631500586
F1,26,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,18.03287064539648,17.38442201346197,0.29355685154371763,142.84784636000404
F1,28,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.143984046627292,13.504204546638512,0.1640823618303894,141.46337977799703
F1,21,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,10.911245846274216,10.556921828404995,0.20739949718883907,152.69223596999655
F1,27,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.090144388656498,13.763821105122485,0.21166579622509069,146.85649267600093
F1,29,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,11.036413634837922,10.138505897179762,0.13761611062142978,144.5592901619966
F1,30,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.570086711936955,13.899770328340392,0.17836531801033956,146.62542559301073
F1,25,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,17.663397169422872,16.888599952921563,0.17847145662719566,157.2848146680044
F1,31,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,11.458230391094878,10.776201135696754,0.23684025265421504,148.63542654500634
F1,23,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.05772495581044,12.277322786963385,0.10543412776377425,163.03205422199972
F1,24,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.26267970620262,15.230711668646181,0.269549922345682,169.26499095199688
F1,22,fitness,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,14.550039949630785,14.029325580753033,0.1815519835292404,172.3125293010089
F2,3,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.600190301557358,13.903533312017249,0.15179960001720724,157.37430692400085
F2,2,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.358676497626483,18.25498118211507,0.2317333021840017,166.61188944999594
F2,8,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.665758544741912,14.13526558192891,0.2146067068551655,155.6786361090053
F2,7,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.06275794972415,14.779467109948792,0.20798991522389,158.69546194499708
F2,9,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.041654023652887,13.267086685097002,0.21904989669045652,170.8316083180107
F2,1,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.675398799810264,14.792178530433164,0.16706841894184968,190.23904338601278
F2,4,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.480967184095942,13.916496803928315,0.2587694639882908,185.7146874750033
F2,5,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,18.179401180104534,17.138493596659263,0.13701522854483644,200.27989061300468
F2,6,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.197111033868723,18.575537322890497,0.1630753843059275,201.3389212149923
F2,12,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,17.853722442270765,16.878132097334866,0.18804985456659226,153.417779239011
F2,17,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,20.26667847309789,19.425693497100085,0.2557889647055097,149.5079634809954
F2,18,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,17.941176339342206,17.267219177626142,0.20024083021691094,151.07420319700032
F2,25,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.833028533027047,16.420254571481614,0.08509553628628347,106.7787291870045
F2,11,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.505767398869809,14.996460858203779,0.1749791850412938,164.33715131299687
F2,15,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.193141031327327,14.284795097316936,0.21918893976504233,164.80338372399274
F2,13,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.39015950335865,14.81087807003725,0.1658578156162172,171.43135148700094
F2,16,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,17.285437924732374,16.42948259438469,0.20899856229993533,167.372587491991
F2,20,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.15909591031215,13.467076685747568,0.1598837839996737,159.4714941830025
F2,23,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.404155288028177,14.679924841161277,0.14011707080832597,147.7637758560013
F2,10,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,19.90899749488665,19.236621975787514,0.19245465896793526,202.8372546419996
F2,14,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.603351679917084,15.030646081204077,0.19767464342375035,194.00637021000148
F2,26,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.235478852662652,14.716395977708837,0.21406679831884862,142.0871317049896
F2,24,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.804973607418898,23.958524278208145,0.2061944347268178,166.2106740399904
F2,21,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.327641225321674,21.331375977667648,0.33669253411923156,179.4612279800058
F2,27,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.87898392303267,16.030231575207157,0.16583832503021395,153.4819347599987
F2,22,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,20.534976181634377,19.450462841348134,0.2431124012207236,184.406314287
F2,19,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.652543180672977,14.961560348219148,0.12011272678409467,203.56378450299962
F3,14,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,13.837084596769992,12.980173641139602,0.19078376118913906,143.46732233000512
F2,28,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.029886489152487,14.401776337958516,0.11579343942211957,160.53060879500117
F3,4,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,17.293899757118005,16.498873299899646,0.23426867318958006,179.75142327899812
F2,29,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,9.750418241703644,9.084790762838102,0.10481574441123517,180.40322608900897
F3,3,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,18.539085402327252,16.959235818131255,0.2286394755737671,181.4815525879967
F3,11,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,16.246545237790965,15.284125346100607,0.25340813866230333,183.45570149099512
F3,5,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.685962539520766,14.801723391171295,0.26908938507798635,184.8578237699985
F3,9,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,17.781164750833707,16.64243592201216,0.2440782712575393,193.141958556007
F3,1,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.985646877030684,15.128795813756845,0.22042089250827165,193.9691877860023
F3,8,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,13.17112439077362,12.448932660562846,0.1858907479896222,193.92708178199246
F3,16,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.945206372310183,14.776283846362952,0.2087682583410429,198.4711222479964
F3,15,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.693336823870771,14.860566728065718,0.24836777694445902,201.12790903600398
F2,30,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.028095347484355,12.667875804270025,0.16376236288154442,201.59504540500348
F3,12,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,14.28253706858952,13.674596792291927,0.22152171488431724,205.3385860970011
F3,6,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.109427819538862,14.237540023570709,0.20149202477231037,206.30817499398836
F2,31,fitness,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,15.83269699762973,14.987326733890418,0.27419266601625614,207.45372739399318
F3,10,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.039611164879226,14.461730328642789,0.19424171295317552,212.61494196100102
F3,2,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,15.534706397821994,14.78765268167088,0.22256849460705452,213.66657380499237
F3,7,fitness,population_persistence,20,5,25,5000,1.0,100,500000,500000,True,100,99,1980,16.752925554521035,15.773686928552696,0.28714578283819614,217.98524450599507
