case,PeakNumber,ChangeFrequency,Dimension,ShiftSeverity,offline_error_random,offline_error_fitness,offline_error_rel_change,offline_error_significant,diversity_random,diversity_fitness,diversity_reduced,recovery_frac90_random,recovery_frac90_fitness,recovery_later,classification
F1,5,5000,5,1,35.85972888861828,14.143984046627292,-0.6197103982100075,True,0.1060176103692496,0.1815519835292404,False,0.08076363636363636,0.10116494845360825,False,performance only
F2,10,5000,5,1,40.03559050584953,15.675398799810264,-0.6328955969608638,True,0.0829108306713402,0.1924546589679352,False,0.08534949494949495,0.10010707070707071,False,performance only
F3,25,5000,5,1,41.17923219114949,15.685962539520766,-0.6192943521554362,True,0.0797024368049121,0.2222286511643387,False,0.0922060606060606,0.09989387755102042,False,performance only
F4,50,5000,5,1,41.507579866435655,14.553541402200398,-0.6629579138897945,True,0.0632669558336463,0.2324722804916858,False,0.0876969696969697,0.11215510204081632,True,partial chain
F5,100,5000,5,1,34.65888913029294,13.640865977690458,-0.6312747569665417,True,0.0766144843669661,0.2439763280828867,False,0.09542626262626264,0.11606530612244897,True,partial chain
F6,10,2500,5,1,41.76887445430968,17.357186565546364,-0.5956498490852695,True,0.0785505040902973,0.1886261770952796,False,0.11854949494949495,0.09514583333333333,False,performance only
F7,10,1000,5,1,42.40632557617849,20.96599844819811,-0.4860160619859555,True,0.0777556720566541,0.2059545142687902,False,0.15853535353535353,0.1215,False,performance only
F8,10,500,5,1,46.29318287484748,23.41241359784537,-0.44739615027588325,True,0.0786163826040752,0.2009338501178624,False,0.21490721649484537,0.1364040404040404,False,performance only
F9,10,5000,10,1,117.11259296545524,39.9113843069289,-0.6558050112593516,True,0.0420027510066153,0.1564429974590369,False,0.07915151515151515,0.13425454545454546,True,partial chain
F10,10,5000,20,1,229.6647460119956,107.66548119458676,-0.5263928622059502,True,0.0314559842367894,0.141262044471075,False,0.07216363636363636,0.24318181818181817,True,partial chain
F11,10,5000,5,2,46.33328524940706,16.984596636136565,-0.6114211121919472,True,0.0754836850948695,0.1789830478299957,False,0.08186868686868687,0.10888541666666667,True,partial chain
F12,10,5000,5,5,52.18354354872675,18.77707366013328,-0.6378930476764777,True,0.0616415508257189,0.1974200522957481,False,0.08257755102040816,0.13988484848484847,True,partial chain
