family,case,quantity,comparison,n_pairs,median_fitness,median_random,mean_fitness,mean_random,sd_fitness,sd_random,iqr_fitness,iqr_random,median_diff,median_diff_ci_lo,median_diff_ci_hi,mean_diff,mean_diff_ci_lo,mean_diff_ci_hi,relative_median_diff,wilcoxon_stat,p_raw,cliffs_delta,delta_ci_lo,delta_ci_hi,favourable,p_holm,significant_holm
primary_offline_error,F1,offline error,fitness vs random grouping,31,14.143984046627292,35.85972888861828,14.551628136778769,40.60143492201969,3.2331498508937053,17.860625525933955,3.921388905776851,20.500915753582724,-22.222646869268544,-26.239331202508374,-18.828635295024355,-26.049806785240925,-32.0492484732099,-20.533786249561587,-0.6197103982100075,0.0,9.313225746154785e-10,-0.9771071800208116,-1.0,-0.9250780437044746,True,1.1175870895385742e-08,True
primary_offline_error,F2,offline error,fitness vs random grouping,31,15.675398799810264,40.03559050584953,16.699429728421478,41.7557850596072,2.9029156039467128,12.58814138370929,2.9487749994834616,19.154886525367317,-25.33834895288033,-29.97987950005004,-18.41746386888546,-25.056355331185724,-29.234433329643487,-20.971430121962715,-0.6328955969608638,0.0,9.313225746154785e-10,-0.9771071800208116,-1.0,-0.9292403746097815,True,1.1175870895385742e-08,True
primary_offline_error,F3,offline error,fitness vs random grouping,31,15.685962539520766,41.17923219114949,15.641711382080974,40.31378915769164,1.7025495139856788,11.595809320712005,2.114516285516867,17.499265963379607,-25.502065922076202,-30.621678273103,-18.271766871441688,-24.672077775610667,-28.874294149051977,-20.548231608155376,-0.6192943521554362,0.0,9.313225746154785e-10,-0.9979188345473465,-1.0,-0.9875130072840791,True,1.1175870895385742e-08,True
primary_offline_error,F4,offline error,fitness vs random grouping,31,14.553541402200398,41.507579866435655,14.534480671129346,39.635594147329044,1.0198448863388307,6.0088024983161965,1.1959069383061696,7.917692602156016,-27.51777855886622,-28.314161593608752,-23.48454229737762,-25.101113476199686,-27.142705351581398,-22.94603457581333,-0.6629579138897945,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
primary_offline_error,F5,offline error,fitness vs random grouping,31,13.640865977690458,34.65888913029294,13.602118997608828,34.49931864962072,0.7922665480776594,6.071639918208564,0.8161061344216556,8.280339835802781,-21.87928181245599,-24.648973213668096,-18.5870841240352,-20.897199652011892,-23.00768302032663,-18.711557448501047,-0.6312747569665417,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
primary_offline_error,F6,offline error,fitness vs random grouping,31,17.357186565546364,41.76887445430968,17.919316935905982,43.076573722144,3.668417993367569,13.592590967157689,4.406778456399552,16.04039223059553,-24.879623765171132,-30.439366693359098,-19.579221740594974,-25.15725678623802,-29.35351929651824,-21.00086227438883,-0.5956498490852695,1.0,1.862645149230957e-09,-0.9375650364203955,-0.9958376690946931,-0.8459937565036421,True,1.1175870895385742e-08,True
primary_offline_error,F7,offline error,fitness vs random grouping,31,20.96599844819811,42.40632557617849,20.58315867622699,44.62762032701883,3.048556388472932,17.16271064770487,3.139090478262208,22.207968457188045,-20.610155359828575,-31.92949247257714,-15.924938550007887,-24.044461650791845,-29.748226488796686,-18.456076397253867,-0.4860160619859555,3.0,4.6566128730773926e-09,-0.850156087408949,-0.9750260145681582,-0.681529656607701,True,1.1175870895385742e-08,True
primary_offline_error,F8,offline error,fitness vs random grouping,31,23.41241359784537,46.29318287484748,23.15169601360386,45.577274698309445,3.659186795873348,15.810241583048759,3.8010338834898434,22.098669382381715,-20.71139180222421,-28.725968340629297,-14.050779003346445,-22.42557868470559,-28.175874690035506,-16.75885075017984,-0.44739615027588325,5.0,9.313225746154785e-09,-0.8834547346514048,-0.9729448491155047,-0.7565036420395421,True,1.1175870895385742e-08,True
primary_offline_error,F9,offline error,fitness vs random grouping,31,39.9113843069289,117.11259296545524,39.46264771152072,117.7429086297117,6.175126991429643,17.090462861970252,7.368829491617319,25.6967139031848,-76.80302534832224,-88.3013068626901,-70.94143261522645,-78.28026091819098,-83.97666343049214,-72.67093466279087,-0.6558050112593516,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
primary_offline_error,F10,offline error,fitness vs random grouping,31,107.66548119458676,229.6647460119956,110.78592277727996,231.0686356108134,16.22380263557662,13.466149989655635,18.943699095909977,19.677157571334305,-120.89388300105693,-126.23223952003772,-118.37102500104798,-120.28271283353341,-125.52570982037881,-114.93441298649607,-0.5263928622059502,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
primary_offline_error,F11,offline error,fitness vs random grouping,31,16.984596636136565,46.33328524940706,16.927711102025892,45.11179281183606,2.688849570860303,10.84260685794714,3.528336400319322,16.812507775690946,-28.329148798699208,-35.45090555127993,-23.860400295183425,-28.18408170981017,-31.717527254891504,-24.564126383003376,-0.6114211121919472,0.0,9.313225746154785e-10,-0.991675338189386,-1.0,-0.9667013527575442,True,1.1175870895385742e-08,True
primary_offline_error,F12,offline error,fitness vs random grouping,31,18.77707366013328,52.18354354872675,18.496922360784804,52.733681895143526,2.349613801113884,9.655695957439546,3.0673991832589493,13.35143175174634,-33.287519632855506,-40.45806145849504,-29.61451446288226,-34.23675953435873,-37.215517774441786,-31.199070799808613,-0.6378930476764777,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
