case,grouping,n,PeakNumber,ChangeFrequency,Dimension,ShiftSeverity,best,worst,mean,median,std,q1,q3
F1,random,31,5,5000,5,1,15.86195585881153,93.81034456746482,40.60143492201969,35.85972888861828,17.860625525933955,28.98990196293998,49.490817716522706
F1,fitness,31,5,5000,5,1,6.903647870903669,20.918316264670626,14.551628136778769,14.143984046627292,3.2331498508937053,12.93840993972638,16.85979884550323
F2,random,31,10,5000,5,1,19.085881515054812,71.66971452051249,41.7557850596072,40.03559050584953,12.58814138370929,32.504884291183785,51.6597708165511
F2,fitness,31,10,5000,5,1,9.750418241703644,24.804973607418894,16.699429728421478,15.675398799810264,2.9029156039467128,15.111513760239909,18.06028875972337
F3,random,31,25,5000,5,1,20.32818811730661,71.91127482117774,40.31378915769164,41.17923219114949,11.595809320712005,30.98285752854624,48.48212349192585
F3,fitness,31,25,5000,5,1,11.924200375816262,20.435955305013923,15.641711382080974,15.685962539520766,1.7025495139856788,14.55824004100759,16.672756326524457
F4,random,31,50,5000,5,1,25.64785878802121,48.00591260930096,39.635594147329044,41.507579866435655,6.0088024983161965,36.07037318596472,43.988065788120736
F4,fitness,31,50,5000,5,1,12.941247380831571,16.781052938624764,14.534480671129346,14.553541402200398,1.0198448863388307,13.815785766361913,15.011692704668082
F5,random,31,100,5000,5,1,21.322236248501063,46.311432930754975,34.49931864962072,34.65888913029294,6.071639918208564,30.803549115509167,39.08388895131195
F5,fitness,31,100,5000,5,1,11.86935457486785,15.342389812458936,13.602118997608828,13.640865977690458,0.7922665480776594,13.181141026997228,13.997247161418883
F6,random,31,10,2500,5,1,18.31989939789348,77.61149356148545,43.076573722144,41.76887445430968,13.592590967157689,34.57455422051848,50.61494645111401
F6,fitness,31,10,2500,5,1,11.460256928737904,26.646240705105445,17.919316935905982,17.357186565546364,3.668417993367569,15.413014347117533,19.819792803517085
F7,random,31,10,1000,5,1,18.73941709336128,87.79658295325909,44.62762032701883,42.40632557617849,17.16271064770487,32.64434611269331,54.85231456988136
F7,fitness,31,10,1000,5,1,12.755315678424216,27.42294799904333,20.58315867622699,20.96599844819811,3.048556388472932,18.648157100180867,21.787247578443075
F8,random,31,10,500,5,1,22.95964242503834,76.50729536788705,45.577274698309445,46.29318287484748,15.810241583048759,33.03341613910561,55.132085521487326
F8,fitness,31,10,500,5,1,17.44582368066147,33.68686004940221,23.15169601360386,23.41241359784537,3.659186795873348,20.55404334621884,24.355077229708684
F9,random,31,10,5000,10,1,75.27793174722039,150.79151849426955,117.7429086297117,117.11259296545524,17.090462861970252,105.39741744372988,131.09413134691468
F9,fitness,31,10,5000,10,1,25.83231824206399,49.3447204023672,39.46264771152072,39.9113843069289,6.175126991429643,36.93326259610377,44.30209208772109
F10,random,31,10,5000,20,1,204.91163005919265,257.3383650465203,231.0686356108134,229.6647460119956,13.466149989655635,222.27083343395725,241.94799100529156
F10,fitness,31,10,5000,20,1,79.88257660159795,149.07610696946074,110.78592277727996,107.66548119458676,16.22380263557662,100.72278928041592,119.6664883763259
F11,random,31,10,5000,5,2,19.65706021597425,68.55421221260252,45.11179281183606,46.33328524940706,10.84260685794714,36.770744980213365,53.58325275590431
F11,fitness,31,10,5000,5,2,10.930053544996175,22.825015929448,16.927711102025892,16.984596636136565,2.688849570860303,15.341322927649674,18.869659327968996
F12,random,31,10,5000,5,5,35.933631281438345,74.29619029350218,52.733681895143526,52.18354354872675,9.655695957439546,46.08239389955387,59.43382565130021
F12,fitness,31,10,5000,5,5,14.483491059901672,23.41808950486122,18.496922360784804,18.77707366013328,2.349613801113884,16.696868610063774,19.764267793322723
