case,seed,grouping,mode,environment,target_fraction,actual_fe_in_env,actual_fraction,diversity
F2,20,fitness,previous_best_seeded,1,0.0,20,0.004,0.2687290937031039
F2,20,fitness,previous_best_seeded,1,0.05,256,0.0512,0.24829794270740865
F2,20,fitness,previous_best_seeded,1,0.1,508,0.1016,0.2665108097150249
F2,20,fitness,previous_best_seeded,1,0.25,1250,0.25,0.23326827361024502
F2,20,fitness,previous_best_seeded,1,0.5,2508,0.5016,0.2403385721521769
F2,20,fitness,previous_best_seeded,1,0.75,3750,0.75,0.24103762452366229
F2,20,fitness,previous_best_seeded,1,1.0,5000,1.0,0.23646660371537478
F2,20,fitness,previous_best_seeded,2,0.0,20,0.004,0.279374136119403
F2,20,fitness,previous_best_seeded,2,0.05,254,0.0508,0.2660454778134934
F2,20,fitness,previous_best_seeded,2,0.1,504,0.1008,0.2703625939598056
F2,20,fitness,previous_best_seeded,2,0.25,1250,0.25,0.25986701741892654
F2,20,fitness,previous_best_seeded,2,0.5,2506,0.5012,0.23138310838205928
F2,20,fitness,previous_best_seeded,2,0.75,3752,0.7504,0.22290783957242527
F2,20,fitness,previous_best_seeded,2,1.0,5000,1.0,0.2220565903409288
F2,20,fitness,previous_best_seeded,3,0.0,20,0.004,0.2902877212707049
F2,20,fitness,previous_best_seeded,3,0.05,258,0.0516,0.25247172034748944
F2,20,fitness,previous_best_seeded,3,0.1,500,0.1,0.2415944315421885
F2,20,fitness,previous_best_seeded,3,0.25,1252,0.2504,0.258903641440939
F2,20,fitness,previous_best_seeded,3,0.5,2506,0.5012,0.2721676440476918
F2,20,fitness,previous_best_seeded,3,0.75,3752,0.7504,0.2701381446064051
F2,20,fitness,previous_best_seeded,3,1.0,5000,1.0,0.27239511841991443
F2,20,fitness,previous_best_seeded,4,0.0,20,0.004,0.2896219369941998
F2,20,fitness,previous_best_seeded,4,0.05,252,0.0504,0.3174618114755648
F2,20,fitness,previous_best_seeded,4,0.1,506,0.1012,0.29334334426730313
F2,20,fitness,previous_best_seeded,4,0.25,1250,0.25,0.27698629294428295
F2,20,fitness,previous_best_seeded,4,0.5,2502,0.5004,0.27598912711766765
F2,20,fitness,previous_best_seeded,4,0.75,3752,0.7504,0.28137362519362263
F2,20,fitness,previous_best_seeded,4,1.0,5000,1.0,0.27538829919627295
F2,20,fitness,previous_best_seeded,5,0.0,20,0.004,0.3113742451489535
F2,20,fitness,previous_best_seeded,5,0.05,256,0.0512,0.276337287397187
F2,20,fitness,previous_best_seeded,5,0.1,504,0.1008,0.27462437545959995
F2,20,fitness,previous_best_seeded,5,0.25,1254,0.2508,0.26382475309330733
F2,20,fitness,previous_best_seeded,5,0.5,2506,0.5012,0.2605039111460344
F2,20,fitness,previous_best_seeded,5,0.75,3752,0.7504,0.2679818926536263
F2,20,fitness,previous_best_seeded,5,1.0,5000,1.0,0.26782938427936903
F2,20,fitness,previous_best_seeded,6,0.0,20,0.004,0.27698785578961027
F2,20,fitness,previous_best_seeded,6,0.05,252,0.0504,0.24041228729554592
F2,20,fitness,previous_best_seeded,6,0.1,500,0.1,0.22791043538321407
F2,20,fitness,previous_best_seeded,6,0.25,1250,0.25,0.2326881649242609
F2,20,fitness,previous_best_seeded,6,0.5,2506,0.5012,0.23429378438513473
F2,20,fitness,previous_best_seeded,6,0.75,3756,0.7512,0.2351765662712893
F2,20,fitness,previous_best_seeded,6,1.0,5000,1.0,0.2334377881948714
F2,20,fitness,previous_best_seeded,7,0.0,20,0.004,0.29771903825578705
F2,20,fitness,previous_best_seeded,7,0.05,258,0.0516,0.26489116196434564
F2,20,fitness,previous_best_seeded,7,0.1,506,0.1012,0.2734096332625456
F2,20,fitness,previous_best_seeded,7,0.25,1258,0.2516,0.25257191055298134
F2,20,fitness,previous_best_seeded,7,0.5,2500,0.5,0.2542419885829052
F2,20,fitness,previous_best_seeded,7,0.75,3758,0.7516,0.23136655033285491
F2,20,fitness,previous_best_seeded,7,1.0,5000,1.0,0.226271239809818
F2,20,fitness,previous_best_seeded,8,0.0,20,0.004,0.2800031479725004
F2,20,fitness,previous_best_seeded,8,0.05,258,0.0516,0.26934765590166143
F2,20,fitness,previous_best_seeded,8,0.1,502,0.1004,0.2646266946285108
F2,20,fitness,previous_best_seeded,8,0.25,1250,0.25,0.24757048369289475
F2,20,fitness,previous_best_seeded,8,0.5,2500,0.5,0.23303847485263554
F2,20,fitness,previous_best_seeded,8,0.75,3754,0.7508,0.23481871995322437
F2,20,fitness,previous_best_seeded,8,1.0,5000,1.0,0.23868572211440298
F2,20,fitness,previous_best_seeded,9,0.0,20,0.004,0.28064448546298215
F2,20,fitness,previous_best_seeded,9,0.05,254,0.0508,0.2369382719967788
F2,20,fitness,previous_best_seeded,9,0.1,504,0.1008,0.23911095187481515
F2,20,fitness,previous_best_seeded,9,0.25,1254,0.2508,0.21672740665957604
F2,20,fitness,previous_best_seeded,9,0.5,2504,0.5008,0.22248468500100332
F2,20,fitness,previous_best_seeded,9,0.75,3750,0.75,0.19941832684572433
F2,20,fitness,previous_best_seeded,9,1.0,5000,1.0,0.1898942550969123
F2,20,fitness,previous_best_seeded,10,0.0,20,0.004,0.2916635397853926
F2,20,fitness,previous_best_seeded,10,0.05,252,0.0504,0.2505476149436198
F2,20,fitness,previous_best_seeded,10,0.1,500,0.1,0.2575114607499414
F2,20,fitness,previous_best_seeded,10,0.25,1250,0.25,0.24895711867312212
F2,20,fitness,previous_best_seeded,10,0.5,2500,0.5,0.24028205682640877
F2,20,fitness,previous_best_seeded,10,0.75,3750,0.75,0.23172943705853835
F2,20,fitness,previous_best_seeded,10,1.0,5000,1.0,0.22843854680078113
F2,20,fitness,previous_best_seeded,11,0.0,20,0.004,0.2621119220849433
F2,20,fitness,previous_best_seeded,11,0.05,258,0.0516,0.25889044266529704
F2,20,fitness,previous_best_seeded,11,0.1,500,0.1,0.23753793682990373
F2,20,fitness,previous_best_seeded,11,0.25,1252,0.2504,0.2386918076193014
F2,20,fitness,previous_best_seeded,11,0.5,2508,0.5016,0.22545228829153297
F2,20,fitness,previous_best_seeded,11,0.75,3752,0.7504,0.22534969320336823
F2,20,fitness,previous_best_seeded,11,1.0,5000,1.0,0.22536119124054527
F2,20,fitness,previous_best_seeded,12,0.0,20,0.004,0.24172046944839173
F2,20,fitness,previous_best_seeded,12,0.05,250,0.05,0.21697699407280585
F2,20,fitness,previous_best_seeded,12,0.1,502,0.1004,0.210057176824211
F2,20,fitness,previous_best_seeded,12,0.25,1256,0.2512,0.22176025102739952
F2,20,fitness,previous_best_seeded,12,0.5,2508,0.5016,0.22709459970766305
F2,20,fitness,previous_best_seeded,12,0.75,3752,0.7504,0.2335127101164948
F2,20,fitness,previous_best_seeded,12,1.0,5000,1.0,0.22628191772708903
F2,20,fitness,previous_best_seeded,13,0.0,20,0.004,0.274413549745491
F2,20,fitness,previous_best_seeded,13,0.05,254,0.0508,0.24399124220189655
F2,20,fitness,previous_best_seeded,13,0.1,500,0.1,0.24239772282316532
F2,20,fitness,previous_best_seeded,13,0.25,1254,0.2508,0.2081260965942781
F2,20,fitness,previous_best_seeded,13,0.5,2506,0.5012,0.1912688622449515
F2,20,fitness,previous_best_seeded,13,0.75,3756,0.7512,0.19167429130047384
F2,20,fitness,previous_best_seeded,13,1.0,5000,1.0,0.18995759638241147
F2,20,fitness,previous_best_seeded,14,0.0,20,0.004,0.29999696787798835
F2,20,fitness,previous_best_seeded,14,0.05,258,0.0516,0.26444730278544154
F2,20,fitness,previous_best_seeded,14,0.1,508,0.1016,0.247564046204825
F2,20,fitness,previous_best_seeded,14,0.25,1256,0.2512,0.23809830606677287
F2,20,fitness,previous_best_seeded,14,0.5,2500,0.5,0.21291831895990299
F2,20,fitness,previous_best_seeded,14,0.75,3752,0.7504,0.2086971660996458
F2,20,fitness,previous_best_seeded,14,1.0,5000,1.0,0.1884334405773947
F2,20,fitness,previous_best_seeded,15,0.0,20,0.004,0.28179563776543765
F2,20,fitness,previous_best_seeded,15,0.05,252,0.0504,0.26593019692640885
F2,20,fitness,previous_best_seeded,15,0.1,504,0.1008,0.2592414029846295
F2,20,fitness,previous_best_seeded,15,0.25,1258,0.2516,0.25767598028413374
F2,20,fitness,previous_best_seeded,15,0.5,2506,0.5012,0.2399788586605451
F2,20,fitness,previous_best_seeded,15,0.75,3750,0.75,0.2193381037164167
F2,20,fitness,previous_best_seeded,15,1.0,5000,1.0,0.22675342101313098
F2,20,fitness,previous_best_seeded,16,0.0,20,0.004,0.26954813639134495
F2,20,fitness,previous_best_seeded,16,0.05,256,0.0512,0.256682081856272
F2,20,fitness,previous_best_seeded,16,0.1,510,0.102,0.2261255393062303
F2,20,fitness,previous_best_seeded,16,0.25,1258,0.2516,0.20370297197955017
F2,20,fitness,previous_best_seeded,16,0.5,2504,0.5008,0.20304789280897506
F2,20,fitness,previous_best_seeded,16,0.75,3750,0.75,0.21123651875372837
F2,20,fitness,previous_best_seeded,16,1.0,5000,1.0,0.2133602138070645
F2,20,fitness,previous_best_seeded,17,0.0,20,0.004,0.2694545247308029
F2,20,fitness,previous_best_seeded,17,0.05,254,0.0508,0.26295051702145583
F2,20,fitness,previous_best_seeded,17,0.1,506,0.1012,0.25187173175604594
F2,20,fitness,previous_best_seeded,17,0.25,1254,0.2508,0.2112364206295527
F2,20,fitness,previous_best_seeded,17,0.5,2506,0.5012,0.21430325494860447
F2,20,fitness,previous_best_seeded,17,0.75,3752,0.7504,0.19900726033927316
F2,20,fitness,previous_best_seeded,17,1.0,5000,1.0,0.1992798001482682
F2,20,fitness,previous_best_seeded,18,0.0,20,0.004,0.29517788195033773
F2,20,fitness,previous_best_seeded,18,0.05,258,0.0516,0.25299534676243624
F2,20,fitness,previous_best_seeded,18,0.1,510,0.102,0.236571526658499
F2,20,fitness,previous_best_seeded,18,0.25,1256,0.2512,0.22277158581567416
F2,20,fitness,previous_best_seeded,18,0.5,2504,0.5008,0.21979247566836724
F2,20,fitness,previous_best_seeded,18,0.75,3756,0.7512,0.19385563822894195
F2,20,fitness,previous_best_seeded,18,1.0,5000,1.0,0.18966740049666245
F2,20,fitness,previous_best_seeded,19,0.0,20,0.004,0.27698674831643016
F2,20,fitness,previous_best_seeded,19,0.05,254,0.0508,0.2487154717050596
F2,20,fitness,previous_best_seeded,19,0.1,506,0.1012,0.20153305283139628
F2,20,fitness,previous_best_seeded,19,0.25,1252,0.2504,0.17115736076567362
F2,20,fitness,previous_best_seeded,19,0.5,2506,0.5012,0.13467693851084145
F2,20,fitness,previous_best_seeded,19,0.75,3754,0.7508,0.1308564546574558
F2,20,fitness,previous_best_seeded,19,1.0,5000,1.0,0.15919793017428935
F2,20,fitness,previous_best_seeded,20,0.0,20,0.004,0.27352359896581274
F2,20,fitness,previous_best_seeded,20,0.05,254,0.0508,0.26217247595414145
F2,20,fitness,previous_best_seeded,20,0.1,504,0.1008,0.2615520890523078
F2,20,fitness,previous_best_seeded,20,0.25,1256,0.2512,0.2607796628116796
F2,20,fitness,previous_best_seeded,20,0.5,2502,0.5004,0.2380187423225798
F2,20,fitness,previous_best_seeded,20,0.75,3756,0.7512,0.23670715477934487
F2,20,fitness,previous_best_seeded,20,1.0,5000,1.0,0.23719178310230835
F2,20,fitness,previous_best_seeded,21,0.0,20,0.004,0.30614350854733663
F2,20,fitness,previous_best_seeded,21,0.05,254,0.0508,0.27722877406939156
F2,20,fitness,previous_best_seeded,21,0.1,502,0.1004,0.24782898760013514
F2,20,fitness,previous_best_seeded,21,0.25,1258,0.2516,0.24223691166268424
F2,20,fitness,previous_best_seeded,21,0.5,2502,0.5004,0.23618296452167495
F2,20,fitness,previous_best_seeded,21,0.75,3752,0.7504,0.23883005919768494
F2,20,fitness,previous_best_seeded,21,1.0,5000,1.0,0.2472462080916172
F2,20,fitness,previous_best_seeded,22,0.0,20,0.004,0.29729231335807554
F2,20,fitness,previous_best_seeded,22,0.05,256,0.0512,0.2711788445220926
F2,20,fitness,previous_best_seeded,22,0.1,506,0.1012,0.24818755506784235
F2,20,fitness,previous_best_seeded,22,0.25,1252,0.2504,0.27459930533228594
F2,20,fitness,previous_best_seeded,22,0.5,2508,0.5016,0.26704140479404137
F2,20,fitness,previous_best_seeded,22,0.75,3752,0.7504,0.27216711940575306
F2,20,fitness,previous_best_seeded,22,1.0,5000,1.0,0.24102589804160132
F2,20,fitness,previous_best_seeded,23,0.0,20,0.004,0.29255789415583594
F2,20,fitness,previous_best_seeded,23,0.05,256,0.0512,0.2581155878843084
F2,20,fitness,previous_best_seeded,23,0.1,504,0.1008,0.256522148688494
F2,20,fitness,previous_best_seeded,23,0.25,1254,0.2508,0.26536925091483915
F2,20,fitness,previous_best_seeded,23,0.5,2500,0.5,0.26499010421020786
F2,20,fitness,previous_best_seeded,23,0.75,3754,0.7508,0.2554004680506274
F2,20,fitness,previous_best_seeded,23,1.0,5000,1.0,0.25167538059996614
F2,20,fitness,previous_best_seeded,24,0.0,20,0.004,0.26565255252762704
F2,20,fitness,previous_best_seeded,24,0.05,252,0.0504,0.24544100419824935
F2,20,fitness,previous_best_seeded,24,0.1,508,0.1016,0.2431815355060296
F2,20,fitness,previous_best_seeded,24,0.25,1252,0.2504,0.22461383572422608
F2,20,fitness,previous_best_seeded,24,0.5,2506,0.5012,0.22490352475018888
F2,20,fitness,previous_best_seeded,24,0.75,3750,0.75,0.22823522008386526
F2,20,fitness,previous_best_seeded,24,1.0,5000,1.0,0.22814753518736508
F2,20,fitness,previous_best_seeded,25,0.0,20,0.004,0.28264275783790277
F2,20,fitness,previous_best_seeded,25,0.05,252,0.0504,0.2594398980335951
F2,20,fitness,previous_best_seeded,25,0.1,508,0.1016,0.2426029207293059
F2,20,fitness,previous_best_seeded,25,0.25,1258,0.2516,0.24464601740181433
F2,20,fitness,previous_best_seeded,25,0.5,2504,0.5008,0.23181267114669243
F2,20,fitness,previous_best_seeded,25,0.75,3754,0.7508,0.2325377206126342
F2,20,fitness,previous_best_seeded,25,1.0,5000,1.0,0.21527857017109744
F2,20,fitness,previous_best_seeded,26,0.0,20,0.004,0.2726962993825105
F2,20,fitness,previous_best_seeded,26,0.05,252,0.0504,0.27687183156189027
F2,20,fitness,previous_best_seeded,26,0.1,500,0.1,0.25630102497971846
F2,20,fitness,previous_best_seeded,26,0.25,1258,0.2516,0.21170987284297546
F2,20,fitness,previous_best_seeded,26,0.5,2508,0.5016,0.19912821400773237
F2,20,fitness,previous_best_seeded,26,0.75,3758,0.7516,0.1933724772947058
F2,20,fitness,previous_best_seeded,26,1.0,5000,1.0,0.16164252222121672
F2,20,fitness,previous_best_seeded,27,0.0,20,0.004,0.28304778062572533
