case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F2,20,fitness,previous_best_seeded,1,5000,118.98108748113492,14.527356999123867,22.39143175227423,104.45373048201105,0.8779019648696079,118.98108748113492,38.19007108096238,38.19007108096238,35.51901013446476,14.527356999123867,14.527356999123867,0.0,0.0,17,True,0.0034,1407,True,0.2814
F2,20,fitness,previous_best_seeded,2,5000,27.425946925370482,21.908153893691562,24.48247134507071,5.51779303167892,0.20118878836503049,27.425946925370482,27.425946925370482,27.425946925370482,26.584639165911497,26.584639165911497,21.908153893691562,4.676485272219935,0.8475282137932968,2655,True,0.531,2655,True,0.531
F2,20,fitness,previous_best_seeded,3,5000,44.46710143591298,30.327907236105915,32.79705319718403,14.139194199807065,0.3179697741303152,44.46710143591298,44.46710143591298,44.46710143591298,32.888637608697046,31.507297354169566,30.327907236105915,1.179390118063651,0.08341282405469361,647,True,0.1294,1256,True,0.2512
F2,20,fitness,previous_best_seeded,4,5000,17.8377908272193,17.8377908272193,17.837790827219298,0.0,0.0,17.8377908272193,17.8377908272193,17.8377908272193,17.8377908272193,17.8377908272193,17.8377908272193,0.0,nan,-1,False,nan,-1,False,nan
F2,20,fitness,previous_best_seeded,5,5000,31.27513360939693,12.005589818069254,25.815393907428778,19.269543791327678,0.6161298631682887,31.27513360939693,31.27513360939693,31.27513360939693,31.27513360939693,31.27513360939693,25.661420797400524,19.269543791327678,1.0,3968,True,0.7936,3968,True,0.7936
F2,20,fitness,previous_best_seeded,6,5000,40.09586593182459,18.178873840186995,21.846714471588445,21.916992091637596,0.5466147589605193,40.09586593182459,35.97012957006877,22.08314747107056,22.08314747107056,19.070846191382202,19.070846191382202,0.8919723511952071,0.04069775393748206,460,True,0.092,2408,True,0.4816
F2,20,fitness,previous_best_seeded,7,5000,70.33053628803427,20.577108191409707,22.748337387308617,49.75342809662456,0.7074228453606914,70.33053628803427,51.072547517841706,20.577108191409707,20.577108191409707,20.577108191409707,20.577108191409707,0.0,0.0,290,True,0.058,356,True,0.0712
F2,20,fitness,previous_best_seeded,8,5000,78.1914623404837,17.03900978822231,27.180684722767992,61.15245255226139,0.7820860580145418,78.1914623404837,58.613907258002925,54.634513631043184,36.30049789503548,17.03900978822231,17.03900978822231,0.0,0.0,556,True,0.1112,2014,True,0.4028
F2,20,fitness,previous_best_seeded,9,5000,96.4493671202671,10.667103858857637,23.067859142397083,85.78226326140947,0.8894020336540277,96.4493671202671,40.443666937833136,40.443666937833136,30.869529412107838,18.623390720979444,10.667103858857637,7.956286862121807,0.09274978952089588,63,True,0.0126,2286,True,0.4572
F2,20,fitness,previous_best_seeded,10,5000,23.147060464303934,16.382268944803215,18.522648981573248,6.764791519500719,0.29225272599658997,23.147060464303934,23.147060464303934,23.147060464303934,23.147060464303934,16.382268944803215,16.382268944803215,0.0,0.0,1583,True,0.3166,1583,True,0.3166
F2,20,fitness,previous_best_seeded,11,5000,128.7586730887968,19.038988382589324,25.624398356408246,109.71968470620747,0.8521343228703566,128.7586730887968,38.68842060804065,38.68842060804065,31.88177378732415,19.038988382589324,19.038988382589324,0.0,0.0,7,True,0.0014,1941,True,0.3882
F2,20,fitness,previous_best_seeded,12,5000,88.25174194671969,12.026905007695603,18.40361700918184,76.22483693902409,0.8637204802715779,88.25174194671969,45.08687703546698,43.892561188073834,23.981931572622585,12.026905007695603,12.026905007695603,0.0,0.0,141,True,0.0282,1449,True,0.2898
F2,20,fitness,previous_best_seeded,13,5000,27.831056066752353,9.866440390803703,17.38626481057923,17.96461567594865,0.6454881062673583,27.831056066752353,27.831056066752353,27.831056066752353,24.455170543187705,14.6952293564675,14.6952293564675,4.828788965663797,0.2687944486409841,1518,True,0.3036,4269,True,0.8538
F2,20,fitness,previous_best_seeded,14,5000,51.675384500172036,12.358154817947458,18.838569711426455,39.31722968222458,0.7608502590260104,51.675384500172036,35.51741999182923,23.950620223824004,23.950620223824004,17.780599889141627,12.358154817947458,5.4224450711941685,0.13791523754395316,270,True,0.054,3162,True,0.6324
F2,20,fitness,previous_best_seeded,15,5000,61.33296101828085,25.21375885076702,30.239072050161973,36.119202167513826,0.5889036101933538,61.33296101828085,37.947341456586614,37.108762528739526,37.108762528739526,25.21375885076702,25.21375885076702,0.0,0.0,100,True,0.02,1904,True,0.3808
F2,20,fitness,previous_best_seeded,16,5000,51.53727833091841,27.52119711164199,33.432931447390686,24.016081219276423,0.46599436363461627,51.53727833091841,51.53727833091841,38.838334863163915,35.78022520512629,31.026201999620795,31.026201999620795,3.5050048879788065,0.14594408038416887,411,True,0.0822,4439,True,0.8878
F2,20,fitness,previous_best_seeded,17,5000,27.77691793068019,17.878755677296255,26.834018991412332,9.898162253383937,0.35634487159755074,27.77691793068019,27.77691793068019,27.77691793068019,27.77691793068019,27.77691793068019,26.616893171586838,9.898162253383937,1.0,4676,True,0.9352,4676,True,0.9352
F2,20,fitness,previous_best_seeded,18,5000,59.444816082987295,9.698534949968526,16.264001176506227,49.74628113301877,0.8368480956114156,59.444816082987295,33.699287741253436,33.699287741253436,16.51259198262325,15.54762043176035,9.698534949968526,5.849085481791825,0.11757834653311466,225,True,0.045,3092,True,0.6184
F2,20,fitness,previous_best_seeded,19,5000,22.21966565402387,12.363474965381712,16.50730632572567,9.856190688642158,0.44357961285782227,22.21966565402387,22.21966565402387,22.21966565402387,20.551358390280612,15.337128776133973,12.363474965381712,2.9736538107522605,0.3017041679377174,2132,True,0.4264,2756,True,0.5512
F2,20,fitness,previous_best_seeded,20,5000,46.384890115939285,21.01838534440929,27.151266725632166,25.366504771529996,0.5468699981422027,46.384890115939285,37.936455071878456,37.936455071878456,24.31377988982006,24.31377988982006,23.340486757421928,3.2953945454107725,0.12991125797943381,1183,True,0.2366,3324,True,0.6648
F2,20,fitness,previous_best_seeded,21,5000,43.57248356263688,28.685220774811384,30.675766669606165,14.887262787825499,0.34166661091109407,43.57248356263688,38.830895298447196,38.830895298447196,29.357980762333675,28.685220774811384,28.685220774811384,0.0,0.0,878,True,0.1756,878,True,0.1756
F2,20,fitness,previous_best_seeded,22,5000,55.034089589693295,12.518229704278554,20.819516077782566,42.51585988541474,0.7725368076839605,55.034089589693295,36.97844710995515,27.539037054389098,24.628056453750496,18.354117638023844,18.354117638023844,5.8358879337452905,0.1372637869602943,476,True,0.0952,4214,True,0.8428
F2,20,fitness,previous_best_seeded,23,5000,42.170508341005075,13.920953900477713,21.430324634609114,28.249554440527362,0.6698888761807625,42.170508341005075,41.95512516633198,22.505412689706148,22.505412689706148,22.505412689706148,13.920953900477713,8.584458789228435,0.30387944019793117,300,True,0.06,3748,True,0.7496
