case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F2,20,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.104355805370314,20.146807134488796,0.24803410029038284,143.14854317299614
F2,8,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.348092384600267,20.51186859421412,0.2637377487017183,145.0390017680038
F2,14,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,28.446826705339816,23.579152544437164,0.2649936931823289,148.3639140079904
F2,17,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.983669826406963,21.170558052903807,0.28916147860436336,149.43687501599197
F2,16,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.993704550026333,21.810835980811685,0.25233756529423956,149.55970552899817
F2,9,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,21.83708933249074,17.993108570164352,0.2701169122367176,150.71227327999077
F2,3,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.71181035354534,18.889841413837477,0.2587251486939087,154.6031366479874
F2,2,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.009914123332106,19.407480965117102,0.24689680301542946,156.80090929800645
F2,13,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.28789679880996,20.11749367874191,0.25494646299383145,158.04811679299746
F2,4,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.45168043118322,18.687680177957052,0.2751170993635035,158.1263147950085
F2,18,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.6085522560425,21.480858846354945,0.25066081565845194,159.91988830300397
F2,6,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.84823904857622,21.681834561507316,0.2520851041222628,165.4814350779925
F2,5,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,25.11273433259517,20.156755055657396,0.253489723227598,167.319611643994
F2,12,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.12189342245113,21.380576148930277,0.2506283355937424,168.05568228999618
F2,11,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,24.80332920255584,20.78707532003157,0.26205779274043195,168.23057190800318
F2,1,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,22.29132455317388,18.84985836836103,0.25299707243661446,170.59404001699295
F2,10,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,27.244008327211493,22.328136883173773,0.2536661379261598,172.67256529499718
F2,19,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.565459290556753,20.041443508125134,0.2453337303297481,176.017723965997
F8,1,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.00559872144527,28.452314874447257,0.26538541711328295,11.095510175000527
F2,7,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,23.560170316649035,19.252596023433288,0.2540024717770156,178.82844065400423
F8,2,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.779456596915786,29.375525226690662,0.2602871576407462,14.480668446994969
F8,3,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.152054013075514,32.58101209020822,0.2684513919744115,14.912072367995279
F8,4,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,37.542607692517585,30.686759624062123,0.2816473454534871,14.74067668900534
F8,5,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.21617222185258,34.19617394106263,0.2784822556812387,15.531554258996039
F2,15,fitness,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,26.865080655231147,21.903975839573494,0.27664570991761445,186.13987310399534
F8,8,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,42.06831223940487,35.09070770996303,0.27183326521446305,12.825936770997941
F8,7,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.99696295169955,33.252497013950666,0.2674558392878905,14.97261571099807
F8,6,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,44.500107143647,37.00422573300733,0.2622710401617696,18.984736205995432
F8,9,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.14468034186579,34.120598697704004,0.26818104587939906,13.161154467001325
F8,12,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.81548332097668,34.03287222533466,0.26698097858370007,13.77923753199866
F8,11,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.75664067840045,34.190521470209745,0.26931594071258447,14.270394655992277
F8,10,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.78568227017508,33.515568166696546,0.26372088666820437,16.917143332990236
F8,13,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,43.27751824356248,36.05251651867673,0.2640488268592202,13.270065379008884
F8,18,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.48584182647933,34.420062015938726,0.2642958986298791,13.34008177400392
F8,16,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.83497088556859,34.096450757347746,0.26619371682647885,13.730696968006669
F8,20,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.27300223537193,31.963583051157364,0.2690141077360347,14.251283816003706
F8,22,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.2497995759574,34.31819185595406,0.2814550030123241,14.793143369999598
F8,14,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,37.95184656682095,33.18973220627001,0.2704359866458403,16.770745036003063
F8,19,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,37.37181022751029,32.35167320263861,0.2664560783298142,17.12452877999749
F8,21,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,42.37684897685357,33.866584033800315,0.28454328868788575,18.646762532996945
F8,15,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,33.586780199947654,30.014193107902983,0.2756673073694053,19.026335932998336
F8,17,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.94190312624455,34.64096099276203,0.2870285835237462,22.973203886998817
F8,23,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,40.180364103976956,32.687495219557924,0.2586189372225735,13.235873151003034
F8,26,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.13435081528436,34.268960905814126,0.27026607402377806,14.86754739600292
F8,24,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,31.553085136157158,29.662110530118913,0.2944150358090989,16.87882326100953
F8,27,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.679888707451035,36.406500733334326,0.2655947170939132,14.750406580002164
F8,28,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,39.40251407311556,32.861778371678504,0.2744643167559719,14.576048212999012
F8,25,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,38.8640630399507,33.28291000922204,0.25857185971494145,21.83525984500011
F8,30,fitness,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.00293125572265,31.258716888421056,0.2796903758515257,22.52446984600101
