case,effect,log_ratio_SGO,log_ratio_GWO,log_ratio_PSO,log_ratio_WOA,significant_SGO,significant_GWO,significant_PSO,significant_WOA,all_same_direction,n_cross_comparisons_significant,sgo_further_from_zero_than_all,sgo_weaker_than_all,sgo_inside_comparator_range,classification
F2,E1_prevbest_minus_cold,-0.22622797500027775,-0.1598831042163014,-0.19010214295969394,-0.3343749355680267,True,True,True,True,True,3,False,False,True,GENERAL
F2,E2_persist_minus_cold,0.5110467278563415,0.47240222338920906,0.09076200167293857,0.21316666667865677,True,True,True,True,True,2,True,False,False,ALGORITHM-DEPENDENT
F2,E3_persist_minus_prevbest,0.7420009995453555,0.581385274270857,0.2884771561828929,0.5387984601847406,True,True,True,True,True,1,True,False,False,ALGORITHM-DEPENDENT
F8,E1_prevbest_minus_cold,-0.23457410446438326,-0.3365880362906092,-0.34422038299638313,-0.3571830378541345,True,True,True,True,True,3,False,True,False,ALGORITHM-DEPENDENT
F8,E2_persist_minus_cold,0.0987818129278705,-0.06604379226747763,-0.63785182106776,0.13878319238825418,False,False,True,True,False,1,False,False,True,ALGORITHM-DEPENDENT
F8,E3_persist_minus_prevbest,0.34687707342323787,0.30193509816340425,-0.25304811195265164,0.38102695911166584,True,True,True,True,False,1,False,False,True,ALGORITHM-DEPENDENT
F10,E1_prevbest_minus_cold,-0.02152861178067026,-0.8452670059388486,-0.4002924256505294,-0.044608649631551804,True,True,True,True,True,2,False,True,False,ALGORITHM-DEPENDENT
F10,E2_persist_minus_cold,0.328560743961101,0.45288727993186884,0.7409413932482142,0.06585491367948319,True,True,True,True,True,1,False,False,True,GENERAL
F10,E3_persist_minus_prevbest,0.36263269836330236,1.1801740200396469,1.0716682218681606,0.11533171482081056,True,True,True,True,True,3,False,False,True,GENERAL
F12,E1_prevbest_minus_cold,-0.0771873300867082,-0.05936352701927483,-0.06891655829685664,-0.10237950197776924,True,True,True,True,True,0,False,False,True,GENERAL
F12,E2_persist_minus_cold,0.7083382828006032,0.884383290577049,0.9771022136810283,0.2619935159255263,True,True,True,True,True,1,False,False,True,GENERAL
F12,E3_persist_minus_prevbest,0.7746560812819258,0.9805123193580567,1.0883381907954035,0.3913019349012049,True,True,True,True,True,1,False,False,True,GENERAL
