system,alg,n_steps,rho_gap_vs_eu,p_gap_vs_eu,lo_gap_vs_eu,hi_gap_vs_eu,rho_eu_vs_dtrack,p_eu_vs_dtrack,lo_eu_vs_dtrack,hi_eu_vs_dtrack,rho_drift_vs_eu,p_drift_vs_eu,mean_eu,median_eu,mean_eu_rel,run_nrmse,reference_nrmse
cstr,GWO,500,0.10249770484507509,0.02189284100042837,-0.015784030838810605,0.2110251694991677,-0.0039042632536323814,0.9306048975583846,-0.11499401918151424,0.11879522289099269,-0.012430319476669666,0.781576302867469,0.00016480149931141807,1.4705041044769846e-05,8.240074965570903e-05,0.2941550885645596,0.2941525546770811
cstr,PSO,500,0.4944776909179514,3.431846062435452e-32,0.4104379140650809,0.5754505804183696,0.18180004621423101,4.330073042008562e-05,0.06967514859516123,0.29154638898275315,-0.14304644736469613,0.0013407196371781971,0.0036876000913393693,1.4429937124093002e-05,0.0018438000456696847,0.2941532566136591,0.2941525546770811
cstr,SGO,500,0.5602870296634759,1.1478591254023687e-42,0.4888683602663241,0.625470638521118,-0.21325429825650566,1.4939819912723287e-06,-0.3102964924095475,-0.11074707747282563,0.32188747020552827,1.620896658103133e-13,0.0010626263394876436,0.00038952136240423524,0.0005313131697438218,0.29420198262924485,0.2941525546770811
cstr,WOA,500,0.5875340150503847,9.865644538841672e-48,0.5026416760229483,0.6631493733426428,-0.2517763695559854,1.1430701019861517e-08,-0.360231567882138,-0.14131719688211838,0.30387471740001964,3.8472620700990085e-12,0.007143142106871617,1.4755215027046994e-05,0.0035715710534358087,0.29455035153536707,0.2941525546770811
flight,GWO,750,0.9617134537128065,0.0,0.9526750677769209,0.9680357071613724,-0.7075202764804914,6.905262348128439e-115,-0.7585044702070962,-0.6517465100834513,0.8713136483359271,1.8726631120946317e-233,0.005374328090856392,0.0003955340446712207,0.00026871640454281966,0.018204683558237192,0.018195653502689445
flight,PSO,750,0.5931148899278326,1.877202242320023e-72,0.5373379244922362,0.6428420243861414,-0.21480657265295747,2.8086107997229716e-09,-0.29182833436214844,-0.13704137515352952,0.3425079983784086,4.548533277700542e-22,0.02009459965478033,0.015860956510467414,0.0010047299827390165,0.01818983657096898,0.018195653502689445
flight,SGO,750,0.9326682962991932,0.0,0.9123250748905817,0.9458329578126291,-0.6193361979310185,1.220647533997441e-80,-0.6870646334888825,-0.5485928163623087,0.9181149433098389,6.846852827500623e-303,0.03262479407707326,0.001029270828308529,0.0016312397038536635,0.018196624882805337,0.018195653502689445
flight,WOA,750,0.8974604399296707,4.1849696776091197e-268,0.8774383787773323,0.9133208239684564,-0.5986293735633308,4.1150730621696585e-74,-0.6649325793677281,-0.5286805816760138,0.7817356136231849,1.4668736964944984e-155,0.005183705345848351,0.0005771951900923893,0.0002591852672924175,0.018196721836618045,0.018195653502689445
hvac,GWO,7500,0.9306835316692341,0.0,0.9263774664151875,0.9347042861917855,-0.5863276927159098,0.0,-0.6133498937803672,-0.5601521314841582,0.9049499451957973,0.0,0.07502847962605584,0.009416684634408229,0.0007815466627714152,0.02075934483768884,0.020766893738445827
hvac,PSO,7500,0.5511062719414352,0.0,0.530646349729143,0.571239728875472,-0.6507825838894006,0.0,-0.6777551978773139,-0.6238842537950599,0.9622512394736952,0.0,0.041529196088616056,0.0008006557861597432,0.00043259579258975053,0.020754629267704234,0.020766893738445827
hvac,SGO,7500,0.8762823880442958,0.0,0.8696460803731041,0.8822986209830359,-0.5389739689682675,0.0,-0.5666692074007483,-0.5120234475648884,0.8695916501752098,0.0,0.13461596377885082,0.03331427116002503,0.0014022496226963627,0.020751890807048704,0.020766893738445827
