system,alg,mean_rmse,mean_nrmse,time_ms,nfe_step
pendcart,SGO,0.43776893577927295,0.21505550399084294,25.04934392006059,644.9733333333334
pendcart,GWO,0.4377480216767505,0.21504582291751148,19.177897053499084,574.2666666666667
pendcart,PSO,0.4377238223523716,0.2150332466744473,12.99625904726175,528.1333333333333
pendcart,WOA,0.4377021621846527,0.21502241838501404,20.46111325927389,676.9333333333333
pendcart,QP,0.4377023131188158,0.21502249100609086,0.5991705000633374,7.666666666666667
cstr,SGO,0.2838582136626461,0.2838582136626461,7.057053750613704,594.24
cstr,GWO,0.27039456795937883,0.27039456795937883,13.204572549439035,439.88
cstr,PSO,0.2708733096906798,0.2708733096906798,3.3078134707466234,967.5
cstr,WOA,0.2789029734885592,0.2789029734885592,5.425691940035904,719.6
cstr,QP,0.2941525546770811,0.2941525546770811,0.7538205504533835,29.52
flight,SGO,0.015072538175487881,0.015072538175487881,13.047745966371926,1114.3666666666666
flight,GWO,0.014521213163648447,0.014521213163648447,24.19963908731006,807.8666666666667
flight,PSO,0.014955172277907592,0.014955172277907592,2.4849779531359673,730.2
flight,WOA,0.01585502782446714,0.01585502782446714,4.756831680230486,630.0
flight,QP,0.018195653502689445,0.018195653502689445,0.6810101671726443,22.64
hvac,SGO,0.45539310461168325,0.020699686573258328,4.349614412455897,346.1773333333333
hvac,GWO,0.4560905601319863,0.020731389096908467,6.223443573971356,355.2133333333333
hvac,PSO,0.4556494192670522,0.020711337239411463,1.217046986654168,342.9866666666667
hvac,WOA,0.45687192718467334,0.020766905781121513,5.612881217268296,715.6933333333334
hvac,QP,0.4568716622458082,0.020766893738445827,0.4990375822526403,18.530666666666665
uav,SGO,0.013961133430232116,0.0013961133430232114,8.850862505991245,686.436
uav,GWO,0.00868168633810118,0.000868168633810118,8.128918971924577,364.42
uav,PSO,0.2906711637644706,0.02906711637644706,2.2711930995283183,610.68
uav,WOA,0.010140795949866869,0.0010140795949866869,6.634761466033524,881.56
uav,QP,0.008692986026327383,0.0008692986026327382,2.059570905927103,114.62
