part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,pendcart,SGO,0,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659723973993402,2.411717093392385e-12,2.411717093392385e-12,2.411717093392385e-12,False,4.354572696985137e-06,35.08591800346039,884.0,41.0,,,
single_step,tuned,pendcart,SGO,1,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659652062723117,7.193538745578487e-09,7.193538745578487e-09,7.193538745578487e-09,False,0.00023802074860360123,27.679029008140787,698.0,34.0,,,
single_step,tuned,pendcart,SGO,2,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017658107541883676,1.61645622689683e-07,1.61645622689683e-07,1.61645622689683e-07,False,0.0011283235551897697,47.63190099038184,1198.0,58.0,,,
single_step,tuned,pendcart,SGO,3,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.001765921934657434,5.046515362322132e-08,5.046515362322132e-08,5.046515362322132e-08,False,0.0006304470290164899,20.988139003748074,524.0,26.0,,,
single_step,tuned,pendcart,SGO,4,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659722651104087,1.3470064863865816e-10,1.3470064863865816e-10,1.3470064863865816e-10,False,3.2574992862785535e-05,41.657384994323365,1050.0,51.0,,,
single_step,tuned,pendcart,SGO,5,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659722798603534,1.1995070388348683e-10,1.1995070388348683e-10,1.1995070388348683e-10,False,3.0739997285769705e-05,49.834982011816464,1272.0,60.0,,,
single_step,tuned,pendcart,SGO,6,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659717657886626,6.340223946982998e-10,6.340223946982998e-10,6.340223946982998e-10,False,7.066101452686546e-05,28.538422004203312,722.0,34.0,,,
single_step,tuned,pendcart,SGO,7,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659707312223066,1.6685887506764918e-09,1.6685887506764918e-09,1.6685887506764918e-09,False,0.0001146333352823603,27.856690998305567,700.0,35.0,,,
single_step,tuned,pendcart,SGO,8,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659611319766695,1.1267834387762576e-08,1.1267834387762576e-08,1.1267834387762576e-08,False,0.00029790368078662366,38.17232399887871,936.0,46.0,,,
single_step,tuned,pendcart,SGO,9,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659570570871328,1.534272392445489e-08,1.534272392445489e-08,1.534272392445489e-08,False,0.0003476210820473197,25.33577400026843,618.0,31.0,,,
single_step,tuned,pendcart,SGO,10,37.0,20.0,1.0,1.0,-0.0017659723998110573,-0.0017659684532626027,3.946548454572887e-09,3.946548454572887e-09,3.946548454572887e-09,False,0.00017629901449081609,26.376754001830705,670.0,32.0,,,
