system,ic_a,ic_b,kendall_tau,p_value,mean_pairwise_tau,n_distinct_best,best_by_ic
cstr,IC1_submitted,IC2_larger_deviation,-0.3333333333333334,0.75,,,
cstr,IC1_submitted,IC3_concentration_only,-0.3333333333333334,0.75,,,
cstr,IC1_submitted,IC4_temperature_only,-0.3333333333333334,0.75,,,
cstr,IC1_submitted,IC5_small_deviation,0.6666666666666669,0.3333333333333333,,,
cstr,IC2_larger_deviation,IC3_concentration_only,0.3333333333333334,0.75,,,
cstr,IC2_larger_deviation,IC4_temperature_only,1.0,0.08333333333333333,,,
cstr,IC2_larger_deviation,IC5_small_deviation,0.0,1.0,,,
cstr,IC3_concentration_only,IC4_temperature_only,0.3333333333333334,0.75,,,
cstr,IC3_concentration_only,IC5_small_deviation,0.0,1.0,,,
cstr,IC4_temperature_only,IC5_small_deviation,0.0,1.0,,,
cstr,ALL,ALL,0.13333333333333336,,0.13333333333333336,3.0,"{""IC1_submitted"": ""SGO"", ""IC2_larger_deviation"": ""GWO"", ""IC3_concentration_only"": ""PSO"", ""IC4_temperature_only"": ""GWO"", ""IC5_small_deviation"": ""PSO""}"
flight,IC1_submitted,IC2_larger_alpha,0.0,1.0,,,
flight,IC1_submitted,IC3_pitch_rate,-0.6666666666666669,0.3333333333333333,,,
flight,IC1_submitted,IC4_theta_offset,0.0,1.0,,,
flight,IC1_submitted,IC5_small,0.3333333333333334,0.75,,,
flight,IC2_larger_alpha,IC3_pitch_rate,-0.3333333333333334,0.75,,,
flight,IC2_larger_alpha,IC4_theta_offset,-1.0,0.08333333333333333,,,
flight,IC2_larger_alpha,IC5_small,0.6666666666666669,0.3333333333333333,,,
flight,IC3_pitch_rate,IC4_theta_offset,0.3333333333333334,0.75,,,
flight,IC3_pitch_rate,IC5_small,0.0,1.0,,,
flight,IC4_theta_offset,IC5_small,-0.6666666666666669,0.3333333333333333,,,
flight,ALL,ALL,-0.13333333333333336,,-0.13333333333333336,3.0,"{""IC1_submitted"": ""SGO"", ""IC2_larger_alpha"": ""SGO"", ""IC3_pitch_rate"": ""WOA"", ""IC4_theta_offset"": ""GWO"", ""IC5_small"": ""SGO""}"
hvac,IC1_submitted,IC2_cold_building,1.0,0.08333333333333333,,,
hvac,IC1_submitted,IC3_warm_building,1.0,0.08333333333333333,,,
hvac,IC1_submitted,IC4_warm_rooms_cold_walls,1.0,0.08333333333333333,,,
hvac,IC1_submitted,IC5_at_room_setpoint,-0.6666666666666669,0.3333333333333333,,,
hvac,IC2_cold_building,IC3_warm_building,1.0,0.08333333333333333,,,
hvac,IC2_cold_building,IC4_warm_rooms_cold_walls,1.0,0.08333333333333333,,,
hvac,IC2_cold_building,IC5_at_room_setpoint,-0.6666666666666669,0.3333333333333333,,,
hvac,IC3_warm_building,IC4_warm_rooms_cold_walls,1.0,0.08333333333333333,,,
hvac,IC3_warm_building,IC5_at_room_setpoint,-0.6666666666666669,0.3333333333333333,,,
hvac,IC4_warm_rooms_cold_walls,IC5_at_room_setpoint,-0.6666666666666669,0.3333333333333333,,,
hvac,ALL,ALL,0.3333333333333332,,0.3333333333333332,2.0,"{""IC1_submitted"": ""SGO"", ""IC2_cold_building"": ""SGO"", ""IC3_warm_building"": ""SGO"", ""IC4_warm_rooms_cold_walls"": ""SGO"", ""IC5_at_room_setpoint"": ""GWO""}"
pendcart,IC1_submitted,IC2_far_cart,0.0,1.0,,,
pendcart,IC1_submitted,IC3_opposite_angle,-0.6666666666666669,0.3333333333333333,,,
pendcart,IC1_submitted,IC4_with_velocity,-0.6666666666666669,0.3333333333333333,,,
pendcart,IC1_submitted,IC5_near_reference,-0.3333333333333334,0.75,,,
pendcart,IC2_far_cart,IC3_opposite_angle,0.3333333333333334,0.75,,,
pendcart,IC2_far_cart,IC4_with_velocity,0.3333333333333334,0.75,,,
pendcart,IC2_far_cart,IC5_near_reference,0.6666666666666669,0.3333333333333333,,,
pendcart,IC3_opposite_angle,IC4_with_velocity,0.3333333333333334,0.75,,,
pendcart,IC3_opposite_angle,IC5_near_reference,0.6666666666666669,0.3333333333333333,,,
pendcart,IC4_with_velocity,IC5_near_reference,0.0,1.0,,,
pendcart,ALL,ALL,0.06666666666666668,,0.06666666666666668,2.0,"{""IC1_submitted"": ""PSO"", ""IC2_far_cart"": ""SGO"", ""IC3_opposite_angle"": ""SGO"", ""IC4_with_velocity"": ""SGO"", ""IC5_near_reference"": ""SGO""}"
uav,IC1_submitted,IC2_offset_xy,0.3333333333333334,0.75,,,
uav,IC1_submitted,IC3_altitude_offset,1.0,0.08333333333333333,,,
uav,IC1_submitted,IC4_attitude_perturbed,1.0,0.08333333333333333,,,
uav,IC1_submitted,IC5_with_velocity,0.3333333333333334,0.75,,,
uav,IC2_offset_xy,IC3_altitude_offset,0.3333333333333334,0.75,,,
uav,IC2_offset_xy,IC4_attitude_perturbed,0.3333333333333334,0.75,,,
uav,IC2_offset_xy,IC5_with_velocity,0.3333333333333334,0.75,,,
uav,IC3_altitude_offset,IC4_attitude_perturbed,1.0,0.08333333333333333,,,
uav,IC3_altitude_offset,IC5_with_velocity,0.3333333333333334,0.75,,,
uav,IC4_attitude_perturbed,IC5_with_velocity,0.3333333333333334,0.75,,,
uav,ALL,ALL,0.5333333333333334,,0.5333333333333334,2.0,"{""IC1_submitted"": ""GWO"", ""IC2_offset_xy"": ""GWO"", ""IC3_altitude_offset"": ""GWO"", ""IC4_attitude_perturbed"": ""GWO"", ""IC5_with_velocity"": ""SGO""}"
