system,ic,alg,trial,seed,NP,nrmse,deterministic_reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
pendcart,IC1_submitted,SGO,0,12000000,20,0.2150268029843692,0.21502249100609086,1000.0,True,38.77016422338784
pendcart,IC1_submitted,SGO,1,12000001,20,0.21500146344413698,0.21502249100609086,1000.0,True,39.20498586958274
pendcart,IC1_submitted,SGO,2,12000002,20,0.21504769937861223,0.21502249100609086,1000.0,True,39.887208042200655
pendcart,IC1_submitted,SGO,3,12000003,20,0.21501987989333873,0.21502249100609086,1000.0,True,39.91947830809901
pendcart,IC1_submitted,SGO,4,12000004,20,0.2150386101401906,0.21502249100609086,1000.0,True,40.17418485096035
pendcart,IC1_submitted,GWO,0,12001000,20,0.21502210686479264,0.21502249100609086,1000.0,True,34.38972300539414
pendcart,IC1_submitted,GWO,1,12001001,20,0.21501709220480247,0.21502249100609086,1000.0,True,34.919266380602494
pendcart,IC1_submitted,GWO,2,12001002,20,0.21502308890110447,0.21502249100609086,1000.0,True,35.41269316687249
pendcart,IC1_submitted,GWO,3,12001003,20,0.21502338763247023,0.21502249100609086,1000.0,True,35.39848528647175
pendcart,IC1_submitted,GWO,4,12001004,20,0.2150236786870034,0.21502249100609086,1000.0,True,35.56304670210617
pendcart,IC1_submitted,PSO,0,12002000,30,0.21494378052185428,0.21502249100609086,1000.0,True,25.798427096645657
pendcart,IC1_submitted,PSO,1,12002001,30,0.2149428370539169,0.21502249100609086,1000.0,True,25.732232137039926
pendcart,IC1_submitted,PSO,2,12002002,30,0.21489874045190574,0.21502249100609086,1000.0,True,25.139752111087244
pendcart,IC1_submitted,PSO,3,12002003,30,0.215020534294725,0.21502249100609086,1000.0,True,25.145294548322756
pendcart,IC1_submitted,PSO,4,12002004,30,0.21501837044626143,0.21502249100609086,1000.0,True,24.84795470139943
pendcart,IC1_submitted,WOA,0,12003000,8,0.2150224893863927,0.21502249100609086,1000.0,True,32.54989933571778
pendcart,IC1_submitted,WOA,1,12003001,8,0.2150224954510108,0.21502249100609086,1000.0,True,32.64118947670795
pendcart,IC1_submitted,WOA,2,12003002,8,0.21502246415370158,0.21502249100609086,1000.0,True,32.89495219942182
pendcart,IC1_submitted,WOA,3,12003003,8,0.21502251075186038,0.21502249100609086,1000.0,True,32.80901438711832
pendcart,IC1_submitted,WOA,4,12003004,8,0.21502254741880103,0.21502249100609086,1000.0,True,32.70064374936434
pendcart,IC2_far_cart,SGO,0,12010000,20,0.19924134380974848,0.19923874992587898,1000.0,True,40.979475564090535
pendcart,IC2_far_cart,SGO,1,12010001,20,0.19922924903808004,0.19923874992587898,1000.0,True,41.091066445612036
pendcart,IC2_far_cart,SGO,2,12010002,20,0.19923284736166053,0.19923874992587898,1000.0,True,41.06271116062999
pendcart,IC2_far_cart,SGO,3,12010003,20,0.19924679700583697,0.19923874992587898,1000.0,True,40.90343782794662
pendcart,IC2_far_cart,SGO,4,12010004,20,0.19923249901626397,0.19923874992587898,1000.0,True,41.314828090447314
pendcart,IC2_far_cart,GWO,0,12011000,20,0.19923851873569143,0.19923874992587898,1000.0,True,35.440162419108674
pendcart,IC2_far_cart,GWO,1,12011001,20,0.199239102088327,0.19923874992587898,1000.0,True,35.3299740589379
pendcart,IC2_far_cart,GWO,2,12011002,20,0.19923989160264746,0.19923874992587898,1000.0,True,35.467740908497944
pendcart,IC2_far_cart,GWO,3,12011003,20,0.19923751249628754,0.19923874992587898,1000.0,True,35.328230283921584
pendcart,IC2_far_cart,GWO,4,12011004,20,0.19923828290782675,0.19923874992587898,1000.0,True,35.38944126223214
pendcart,IC2_far_cart,PSO,0,12012000,30,0.1992388622964273,0.19923874992587898,1000.0,True,25.182576899727184
pendcart,IC2_far_cart,PSO,1,12012001,30,0.1992378054186978,0.19923874992587898,1000.0,True,25.20553695814063
pendcart,IC2_far_cart,PSO,2,12012002,30,0.19923863883988452,0.19923874992587898,1000.0,True,25.359465763516102
pendcart,IC2_far_cart,PSO,3,12012003,30,0.1992380545438507,0.19923874992587898,1000.0,True,25.13451229664497
pendcart,IC2_far_cart,PSO,4,12012004,30,0.1992381792918229,0.19923874992587898,1000.0,True,25.064378494086366
pendcart,IC2_far_cart,WOA,0,12013000,8,0.19923874555110985,0.19923874992587898,1000.0,True,33.25230271633094
pendcart,IC2_far_cart,WOA,1,12013001,8,0.19923873583730936,0.19923874992587898,1000.0,True,33.90920798643492
pendcart,IC2_far_cart,WOA,2,12013002,8,0.19923877793166692,0.19923874992587898,1000.0,True,33.42727642157115
pendcart,IC2_far_cart,WOA,3,12013003,8,0.19923876446379515,0.19923874992587898,1000.0,True,33.6094909083719
pendcart,IC2_far_cart,WOA,4,12013004,8,0.19923875367832666,0.19923874992587898,1000.0,True,33.587239420351885
pendcart,IC3_opposite_angle,SGO,0,12020000,20,0.2446105220588032,0.24462833486936347,1000.0,True,41.935703508012615
pendcart,IC3_opposite_angle,SGO,1,12020001,20,0.24463933391931938,0.24462833486936347,1000.0,True,41.88712735660374
pendcart,IC3_opposite_angle,SGO,2,12020002,20,0.2446256272083886,0.24462833486936347,1000.0,True,41.93870663836909
pendcart,IC3_opposite_angle,SGO,3,12020003,20,0.2446232516235064,0.24462833486936347,1000.0,True,42.155437154773004
pendcart,IC3_opposite_angle,SGO,4,12020004,20,0.24463353179626518,0.24462833486936347,1000.0,True,42.047847751528025
pendcart,IC3_opposite_angle,GWO,0,12021000,20,0.24463116308251673,0.24462833486936347,1000.0,True,36.12584348108309
pendcart,IC3_opposite_angle,GWO,1,12021001,20,0.24463084069048588,0.24462833486936347,1000.0,True,35.92334441219767
pendcart,IC3_opposite_angle,GWO,2,12021002,20,0.24462952738138508,0.24462833486936347,1000.0,True,36.07860692078248
pendcart,IC3_opposite_angle,GWO,3,12021003,20,0.2446251954437212,0.24462833486936347,1000.0,True,35.885883479301505
pendcart,IC3_opposite_angle,GWO,4,12021004,20,0.2446295276249907,0.24462833486936347,1000.0,True,35.94253464058662
pendcart,IC3_opposite_angle,PSO,0,12022000,30,0.2446308437387231,0.24462833486936347,1000.0,True,25.44931897621912
pendcart,IC3_opposite_angle,PSO,1,12022001,30,0.24463050454507154,0.24462833486936347,1000.0,True,25.394435265722375
pendcart,IC3_opposite_angle,PSO,2,12022002,30,0.24462762929987503,0.24462833486936347,1000.0,True,25.862383420268696
pendcart,IC3_opposite_angle,PSO,3,12022003,30,0.24462900151993702,0.24462833486936347,1000.0,True,25.705490484057616
pendcart,IC3_opposite_angle,PSO,4,12022004,30,0.24462800212181096,0.24462833486936347,1000.0,True,25.58453758363612
pendcart,IC3_opposite_angle,WOA,0,12023000,8,0.244628304334187,0.24462833486936347,1000.0,True,34.04500408369737
pendcart,IC3_opposite_angle,WOA,1,12023001,8,0.2446282740729337,0.24462833486936347,1000.0,True,33.90763176993156
pendcart,IC3_opposite_angle,WOA,2,12023002,8,0.2446284694250117,0.24462833486936347,1000.0,True,33.839621987038605
pendcart,IC3_opposite_angle,WOA,3,12023003,8,0.24462837648430494,0.24462833486936347,1000.0,True,34.606964646372944
pendcart,IC3_opposite_angle,WOA,4,12023004,8,0.24462826866496548,0.24462833486936347,1000.0,True,34.520847995299846
pendcart,IC4_with_velocity,SGO,0,12030000,20,0.19724636034567286,0.19726496235904012,1000.0,True,43.51033516072979
pendcart,IC4_with_velocity,SGO,1,12030001,20,0.19722106108970497,0.19726496235904012,1000.0,True,43.508201061049476
pendcart,IC4_with_velocity,SGO,2,12030002,20,0.19726610739831082,0.19726496235904012,1000.0,True,43.65258041303605
pendcart,IC4_with_velocity,SGO,3,12030003,20,0.19724238033309505,0.19726496235904012,1000.0,True,43.36177425497832
pendcart,IC4_with_velocity,SGO,4,12030004,20,0.19722779986011776,0.19726496235904012,1000.0,True,43.23278574001355
pendcart,IC4_with_velocity,GWO,0,12031000,20,0.19726253435222377,0.19726496235904012,1000.0,True,36.712243826671816
pendcart,IC4_with_velocity,GWO,1,12031001,20,0.197263862797014,0.19726496235904012,1000.0,True,36.50447019686302
pendcart,IC4_with_velocity,GWO,2,12031002,20,0.19726759953169018,0.19726496235904012,1000.0,True,36.558559220284224
pendcart,IC4_with_velocity,GWO,3,12031003,20,0.19726137120674844,0.19726496235904012,1000.0,True,36.5626748239932
pendcart,IC4_with_velocity,GWO,4,12031004,20,0.19726071702427658,0.19726496235904012,1000.0,True,36.56404906224149
pendcart,IC4_with_velocity,PSO,0,12032000,30,0.1972657465388168,0.19726496235904012,1000.0,True,25.961771783962224
pendcart,IC4_with_velocity,PSO,1,12032001,30,0.19726900632973954,0.19726496235904012,1000.0,True,25.99054657621309
pendcart,IC4_with_velocity,PSO,2,12032002,30,0.19726495227439186,0.19726496235904012,1000.0,True,26.030441457405686
pendcart,IC4_with_velocity,PSO,3,12032003,30,0.19726161986491905,0.19726496235904012,1000.0,True,25.92612178181298
pendcart,IC4_with_velocity,PSO,4,12032004,30,0.19726358086877524,0.19726496235904012,1000.0,True,25.83761360690308
pendcart,IC4_with_velocity,WOA,0,12033000,8,0.1972649233038419,0.19726496235904012,1000.0,True,33.87717721324103
pendcart,IC4_with_velocity,WOA,1,12033001,8,0.19726497580633284,0.19726496235904012,1000.0,True,33.9485393910824
pendcart,IC4_with_velocity,WOA,2,12033002,8,0.19726497994101314,0.19726496235904012,1000.0,True,33.65598907539
pendcart,IC4_with_velocity,WOA,3,12033003,8,0.1972648384504213,0.19726496235904012,1000.0,True,33.6917424822847
pendcart,IC4_with_velocity,WOA,4,12033004,8,0.19726501857015727,0.19726496235904012,1000.0,True,33.54238260498581
pendcart,IC5_near_reference,SGO,0,12040000,20,0.2642144250889851,0.26422071066851766,1000.0,True,41.65576572103115
pendcart,IC5_near_reference,SGO,1,12040001,20,0.2642012535452953,0.26422071066851766,1000.0,True,41.738301701067634
pendcart,IC5_near_reference,SGO,2,12040002,20,0.2641974548101067,0.26422071066851766,1000.0,True,42.26990920297491
pendcart,IC5_near_reference,SGO,3,12040003,20,0.2642189387867119,0.26422071066851766,1000.0,True,42.003562713119514
pendcart,IC5_near_reference,SGO,4,12040004,20,0.26422588197021507,0.26422071066851766,1000.0,True,41.96092025920128
pendcart,IC5_near_reference,GWO,0,12041000,20,0.2642217154655005,0.26422071066851766,1000.0,True,36.01922210228319
pendcart,IC5_near_reference,GWO,1,12041001,20,0.2642214035510386,0.26422071066851766,1000.0,True,36.06627549859695
pendcart,IC5_near_reference,GWO,2,12041002,20,0.2642211383647073,0.26422071066851766,1000.0,True,35.827632987638935
pendcart,IC5_near_reference,GWO,3,12041003,20,0.26421987271001085,0.26422071066851766,1000.0,True,36.067555629803486
pendcart,IC5_near_reference,GWO,4,12041004,20,0.2642196854302958,0.26422071066851766,1000.0,True,35.87332578647571
pendcart,IC5_near_reference,PSO,0,12042000,30,0.26422514501276906,0.26422071066851766,1000.0,True,25.411799022306997
pendcart,IC5_near_reference,PSO,1,12042001,30,0.2642145117745235,0.26422071066851766,1000.0,True,25.741325669611495
pendcart,IC5_near_reference,PSO,2,12042002,30,0.26421382832210427,0.26422071066851766,1000.0,True,25.68607165051314
pendcart,IC5_near_reference,PSO,3,12042003,30,0.2642129781375773,0.26422071066851766,1000.0,True,25.535944271444652
pendcart,IC5_near_reference,PSO,4,12042004,30,0.26421801485609664,0.26422071066851766,1000.0,True,25.66227629237498
pendcart,IC5_near_reference,WOA,0,12043000,8,0.26422067804216137,0.26422071066851766,1000.0,True,33.59925713390112
pendcart,IC5_near_reference,WOA,1,12043001,8,0.26422068981791685,0.26422071066851766,1000.0,True,33.3375746011734
pendcart,IC5_near_reference,WOA,2,12043002,8,0.2642207258821844,0.26422071066851766,1000.0,True,33.32825542155964
pendcart,IC5_near_reference,WOA,3,12043003,8,0.26422069281830574,0.26422071066851766,1000.0,True,33.28522869385779
