system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
pendcart,SGO,8,255,1000,8000000,0,0.2960863652799583,1000.0,38.90196359173084,20,1,1.0,tune
pendcart,SGO,8,255,1000,8000001,1,0.2960658292999855,1000.0,39.264837872663826,20,1,1.0,tune
pendcart,SGO,8,255,1000,8000002,2,0.29606164976816024,1000.0,39.37751010836413,20,1,1.0,tune
pendcart,SGO,10,205,1000,8010000,0,0.2960215445299718,1000.0,38.944094418742075,20,1,1.0,tune
pendcart,SGO,10,205,1000,8010001,1,0.2960542325112536,1000.0,39.040515771484934,20,1,1.0,tune
pendcart,SGO,10,205,1000,8010002,2,0.2961061771767186,1000.0,39.08756507890454,20,1,1.0,tune
pendcart,SGO,14,148,1000,8020000,0,0.29605378022965523,1000.0,38.22067717982767,20,1,1.0,tune
pendcart,SGO,14,148,1000,8020001,1,0.29605351437555766,1000.0,38.17271430569235,20,1,1.0,tune
pendcart,SGO,14,148,1000,8020002,2,0.29609037053095405,1000.0,38.41387989368135,20,1,1.0,tune
pendcart,SGO,20,105,1000,8030000,0,0.2960376547306451,1000.0,39.07467138080392,20,1,1.0,tune
pendcart,SGO,20,105,1000,8030001,1,0.2960224636289582,1000.0,39.09244239310889,20,1,1.0,tune
pendcart,SGO,20,105,1000,8030002,2,0.29606069242066924,1000.0,39.6119202595825,20,1,1.0,tune
pendcart,SGO,30,72,1000,8040000,0,0.29604025282629814,1000.0,38.91259636632943,20,1,1.0,tune
pendcart,SGO,30,72,1000,8040001,1,0.2960496903858172,1000.0,38.89779517698722,20,1,1.0,tune
pendcart,SGO,30,72,1000,8040002,2,0.2960716861677787,1000.0,37.68437326672332,20,1,1.0,tune
pendcart,GWO,8,130,1000,8001000,0,0.29605359923977487,1000.0,33.37756633913765,20,1,1.0,tune
pendcart,GWO,8,130,1000,8001001,1,0.29605823533658987,1000.0,33.49180857282287,20,1,1.0,tune
pendcart,GWO,8,130,1000,8001002,2,0.2960586212570735,1000.0,34.342482447585404,20,1,1.0,tune
pendcart,GWO,10,105,1000,8011000,0,0.29605599776004227,1000.0,34.1560880667142,20,1,1.0,tune
pendcart,GWO,10,105,1000,8011001,1,0.2960558101656852,1000.0,33.685368455480784,20,1,1.0,tune
pendcart,GWO,10,105,1000,8011002,2,0.296056089340877,1000.0,33.93972271354869,20,1,1.0,tune
pendcart,GWO,14,77,1000,8021000,0,0.2960573410701188,1000.0,33.225450467240684,20,1,1.0,tune
pendcart,GWO,14,77,1000,8021001,1,0.2960535227865393,1000.0,33.3524924472052,20,1,1.0,tune
pendcart,GWO,14,77,1000,8021002,2,0.2960625937957026,1000.0,33.72798997287949,20,1,1.0,tune
pendcart,GWO,20,55,1000,8031000,0,0.2960541369690366,1000.0,33.75599985360168,20,1,1.0,tune
pendcart,GWO,20,55,1000,8031001,1,0.2960530027812169,1000.0,33.219597820425406,20,1,1.0,tune
pendcart,GWO,20,55,1000,8031002,2,0.29605524293698365,1000.0,33.66677866666578,20,1,1.0,tune
pendcart,GWO,30,39,1000,8041000,0,0.29605484955332056,1000.0,33.46207303848738,20,1,1.0,tune
