system,alg,regime,seed,trial,ic,NP,fe_budget,maxIter_derived,realized_nfe_total,realized_nfe_per_step_mean,realized_nfe_per_step_min,realized_nfe_per_step_max,nfe_exactly_on_budget,nrmse,deterministic_reference_nrmse,nrmse_minus_reference,mean_first_input_error_vs_reference,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_time_over_dt,max_time_over_dt,Nsim,P,Nc,Q_scale,termination
pendcart,SGO,A_tuned_NP,9000000,0,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.2150378980825946,0.21502249100609086,1.5407076503742845e-05,0.0011444030604766617,37.95460038624393,37.8755660058232,39.04701690480579,39.84775498975068,0.1,0.39047016904805787,0.39847754989750683,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000001,1,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21505855066788132,0.21502249100609086,3.605966179046072e-05,0.000996565568428999,38.2948312726027,38.3177459880244,39.56184109556489,40.13693900196813,0.1,0.39561841095564887,0.4013693900196813,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000002,2,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.2150241502453461,0.21502249100609086,1.6592392552416957e-06,0.001257805953409029,37.874895653221756,37.73661650484428,39.053177743335254,39.95627598487772,0.1,0.39053177743335254,0.3995627598487772,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000003,3,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21504197460401028,0.21502249100609086,1.9483597919423e-05,0.0012240848918394242,37.85527196654584,37.77490049833432,38.92938550125109,39.79284400702454,0.1,0.3892938550125109,0.3979284400702454,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000004,4,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21500672193625017,0.21502249100609086,-1.57690698406876e-05,0.0007455333297600003,37.865147239450984,37.786720000440255,39.03677794878604,39.74702599225566,0.1,0.3903677794878604,0.3974702599225566,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000005,5,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21505279454683077,0.21502249100609086,3.0303540739906598e-05,0.0011936645607987257,37.74793584016152,37.71293749741744,38.81566866475623,39.701920992229134,0.1,0.3881566866475623,0.39701920992229134,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000006,6,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21507000412873153,0.21502249100609086,4.751312264067442e-05,0.0013532156522253487,37.77654670663954,37.70192099909764,38.95735465484904,39.71974700107239,0.1,0.3895735465484904,0.3971974700107239,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000007,7,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21500507221526385,0.21502249100609086,-1.741879082700626e-05,0.0008805174955065788,38.329407746593155,38.27253050985746,39.3954393977765,42.75195801164955,0.1,0.393954393977765,0.4275195801164955,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000008,8,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.2150570238901999,0.21502249100609086,3.453288410903976e-05,0.0012155686536712707,38.20881766752185,38.22134500660468,39.3011760461377,39.741265994962305,0.1,0.393011760461377,0.39741265994962305,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000009,9,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.2150169507560976,0.21502249100609086,-5.540249993246649e-06,0.00074946484327267,37.96723277987136,37.952009501168504,38.94699160300661,39.79511500801891,0.1,0.3894699160300661,0.3979511500801891,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000010,10,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21499173787751005,0.21502249100609086,-3.075312858080714e-05,0.0009953603104360697,37.80261053470895,37.71367800072767,38.73546359973261,39.43374799564481,0.1,0.3873546359973261,0.3943374799564481,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000011,11,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21500027614537695,0.21502249100609086,-2.2214860713909435e-05,0.001402145200675377,38.07046741965072,38.01572950033005,39.345426713407505,39.85560001456179,0.1,0.39345426713407505,0.3985560001456179,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000012,12,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21496484290020437,0.21502249100609086,-5.76481058864875e-05,0.0013092173633511492,38.015890706252925,37.97371451219078,39.331913346541114,39.815689000533894,0.1,0.39331913346541114,0.39815689000533894,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000013,13,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21504713281443302,0.21502249100609086,2.4641808342162896e-05,0.0012347524719141384,37.85713434083542,37.78392748790793,38.8746447963058,39.113670005463064,0.1,0.388746447963058,0.39113670005463064,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000014,14,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21499506713559394,0.21502249100609086,-2.7423870496923186e-05,0.001171787937840648,37.90742796593501,37.854382491786964,39.25897635781439,39.92211300646886,0.1,0.3925897635781439,0.3992211300646886,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000015,15,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.2150386665740261,0.21502249100609086,1.617556793523378e-05,0.0008300881537302557,37.8168095725899,37.778531506774016,38.99930703337304,39.451624994399026,0.1,0.38999307033373043,0.39451624994399026,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000016,16,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21505434277958604,0.21502249100609086,3.185177349518398e-05,0.0012931191737135597,37.76040905931344,37.748318500234745,39.03824355365941,40.17374099930748,0.1,0.39038243553659413,0.40173740999307483,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000017,17,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21502862647384316,0.21502249100609086,6.1354677522995615e-06,0.0009808081587224593,37.78657202647688,37.632546489476226,38.747121099731885,55.80168098094873,0.1,0.38747121099731885,0.5580168098094873,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000018,18,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21497461695084222,0.21502249100609086,-4.78740552486423e-05,0.0015926981536696202,37.54150307077604,37.40800349623896,38.72028221085202,39.38519101939164,0.1,0.3872028221085202,0.3938519101939164,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,SGO,A_tuned_NP,9000019,19,eval,20,1000,105,150000.0,1000.0,1000.0,1000.0,True,0.21498696591290758,0.21502249100609086,-3.5525093183275125e-05,0.0015741176146111886,38.001105641014874,37.70744349458255,39.414701104396954,54.25298499176279,0.1,0.39414701104396954,0.5425298499176279,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,GWO,A_tuned_NP,9001000,0,eval,20,1000,55,150000.0,1000.0,1000.0,1000.0,True,0.2150230833075346,0.21502249100609086,5.92301443752552e-07,9.472281688403105e-05,31.950153357853804,31.85958950780332,32.94634325575316,33.26831798767671,0.1,0.32946343255753163,0.3326831798767671,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,GWO,A_tuned_NP,9001001,1,eval,20,1000,55,150000.0,1000.0,1000.0,1000.0,True,0.21502522890012782,0.21502249100609086,2.7378940369582327e-06,0.00010709727119808293,31.875199577771127,31.75626849406399,33.37748806079617,34.154615976149216,0.1,0.3337748806079617,0.34154615976149216,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,GWO,A_tuned_NP,9001002,2,eval,20,1000,55,150000.0,1000.0,1000.0,1000.0,True,0.21502225369057568,0.21502249100609086,-2.3731551518357819e-07,0.0001429568657313358,31.74142630052908,31.59430950472597,32.99056903924793,33.921472990186885,0.1,0.3299056903924793,0.33921472990186885,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
pendcart,GWO,A_tuned_NP,9001003,3,eval,20,1000,55,150000.0,1000.0,1000.0,1000.0,True,0.2150195517501911,0.21502249100609086,-2.9392558997531903e-06,0.00010628828052513868,31.974185166958097,32.002967011067085,32.93522880994715,33.669199008727446,0.1,0.3293522880994715,0.33669199008727446,150,20,1,1.0,exact FE budget; early stopping and stagnation disabled
