lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,Nc,P,dim,step,role
0.253939042026306,0.253939042026306,1.0,-2.1378418508270904,2.220446049250313e-14,True,solved,-2.13784185082709,25,,,4.440892098500626e-16,2.077278118950908e-16,6.673079866459375e-10,4.440892098500626e-16,1.694555606945869e-10,5.653952779608849e-20,1,0,2.6447011398066894e-20,L-BFGS-B,-2.1378418508270904,pendcart,1,20,1,0,k0
0.253939042026306,0.253939042026306,1.0,-2.1826130819069216,9.325873406851315e-15,True,solved,-2.1826130819069216,25,,,0.0,0.0,4.6792472119250306e-08,0.0,0.0,0.0,1,0,0.0,OSQP,-2.1826130819069216,pendcart,1,20,1,7,early_transient
0.253939042026306,0.253939042026306,1.0,-3.15970471722486e-05,3.178067618098135e-18,True,solved,-3.1597047172248606e-05,50,,,6.776263578034403e-21,6.776263578034403e-21,2.0525091001810658e-10,-6.776263578034403e-21,8.673617379884035e-19,1.4812932633815524e-36,1,0,1.4812932633815524e-36,OSQP,-3.1597047172248606e-05,pendcart,1,20,1,75,mid_trajectory
0.253939042026306,0.253939042026306,1.0,-0.07440895513206784,2.7755575615628914e-17,True,solved,-0.07440895513206786,50,,,1.3877787807814457e-17,1.3877787807814457e-17,2.0940338352204435e-10,-1.3877787807814457e-17,2.7755575615628914e-17,1.5168443017027097e-33,1,0,1.5168443017027097e-33,OSQP,-0.07440895513206786,pendcart,1,20,1,12,high_drift_phase1
0.253939042026306,0.253939042026306,1.0,-6.5537275197727635e-09,2.652900573355568e-19,True,solved,-6.553727522805044e-09,25,,,3.032280343858114e-18,3.032280343858114e-18,4.886917108286835e-09,-3.032280343858114e-18,0.0,0.0,1,0,0.0,OSQP,-6.553727522805044e-09,pendcart,1,20,1,135,near_settled
0.20097742880377573,0.30110470053880206,1.4982015758236493,-23.072779250990717,5.506706202140776e-13,True,solved,-23.072779250990717,75,,,0.0,0.0,7.536631319027265e-09,0.0,2.220446049250313e-16,1.2266005906675967e-31,1,1,5.316223838161708e-33,OSQP,-23.072779250990717,pendcart,2,20,2,0,k0
0.20097742880377573,0.30110470053880206,1.4982015758236493,-22.464782888087935,1.8474111129762605e-13,True,solved,-22.46478288808793,75,,,3.552713678800501e-15,1.58145916499569e-16,5.1199706696536396e-09,3.552713678800501e-15,1.3001604237672382e-09,4.205489983606674e-18,1,1,1.8720367806611014e-19,L-BFGS-B,-22.464782888087935,pendcart,2,20,2,7,early_transient
0.20097742880377573,0.30110470053880206,1.4982015758236493,-16.354578210040533,2.0961010704922955e-13,True,solved,-16.354578210040533,75,,,0.0,0.0,3.900642564502732e-08,0.0,8.673617379884035e-19,1.8716439676934765e-36,1,1,1.144415920518465e-37,OSQP,-16.354578210040533,pendcart,2,20,2,75,mid_trajectory
0.20097742880377573,0.30110470053880206,1.4982015758236493,-16.757463140142576,2.8066438062523957e-13,True,solved,-16.757463140142576,75,,,0.0,0.0,4.173192941214765e-08,0.0,5.551115123125783e-17,7.66625369167248e-33,1,1,4.574829511817893e-34,OSQP,-16.757463140142576,pendcart,2,20,2,12,high_drift_phase1
0.20097742880377573,0.30110470053880206,1.4982015758236493,-16.377246228132353,1.5276668818842154e-13,True,solved,-16.377246228132357,75,,,3.552713678800501e-15,2.169298567849431e-16,1.1738831173779829e-07,-3.552713678800501e-15,2.0935266324337287e-16,1.0903845737295472e-31,1,1,6.657923795860847e-33,OSQP,-16.377246228132357,pendcart,2,20,2,135,near_settled
0.2003501482014924,0.3417236377300703,1.705632068644134,-60.11183890090685,6.110667527536862e-13,True,solved,-60.11183890090684,75,,,7.105427357601002e-15,1.1820346020879772e-16,1.0666098670952806e-07,7.105427357601002e-15,2.7085388820680123e-08,1.8308403915669254e-15,1,2,3.045723479837356e-17,L-BFGS-B,-60.11183890090685,pendcart,3,20,3,0,k0
0.2003501482014924,0.3417236377300703,1.705632068644134,-58.154577334795746,6.252776074688882e-13,True,solved,-58.15457733479575,75,,,7.105427357601002e-15,1.2218173845018383e-16,2.34941806009914e-07,-7.105427357601002e-15,0.0,0.0,1,2,0.0,OSQP,-58.15457733479575,pendcart,3,20,3,7,early_transient
0.2003501482014924,0.3417236377300703,1.705632068644134,-48.46460583572542,4.263256414560601e-13,True,solved,-48.46460583572542,75,,,0.0,0.0,1.130494484691269e-07,0.0,6.245004513516506e-17,9.732980415522102e-33,1,2,2.0082656709337124e-34,OSQP,-48.46460583572542,pendcart,3,20,3,75,mid_trajectory
0.2003501482014924,0.3417236377300703,1.705632068644134,-48.747570290468445,6.608047442568932e-13,True,solved,-48.747570290468445,75,,,0.0,0.0,7.391846135185176e-08,0.0,2.7755575615628914e-17,1.922564032695724e-33,1,2,3.94391765833638e-35,OSQP,-48.747570290468445,pendcart,3,20,3,12,high_drift_phase1
0.2003501482014924,0.3417236377300703,1.705632068644134,-48.51580515177473,1.4139800441625994e-12,True,solved,-48.51580515177472,75,,,7.105427357601002e-15,1.4645592988455396e-16,1.0609709288900149e-07,7.105427357601002e-15,2.694219337212589e-08,1.8115329342581867e-15,1,2,3.733902650056133e-17,L-BFGS-B,-48.51580515177473,pendcart,3,20,3,135,near_settled
0.20028676612631413,0.4045958473666307,2.020082780264502,-168.5301233548296,3.1519675758318044e-11,True,solved,-168.5301233548296,100,,,0.0,0.0,6.388449336203195e-08,0.0,0.0,0.0,1,4,0.0,OSQP,-168.5301233548296,pendcart,5,20,5,0,k0
0.20028676612631413,0.4045958473666307,2.020082780264502,-162.0358591149117,8.668621376273222e-12,True,solved,-162.0358591149117,75,,,0.0,0.0,2.7765568311188815e-07,0.0,0.0,0.0,1,4,0.0,OSQP,-162.0358591149117,pendcart,5,20,5,7,early_transient
0.20028676612631413,0.4045958473666307,2.020082780264502,-146.5702652759782,1.1567635738174431e-11,True,solved,-146.5702652759782,75,,,0.0,0.0,3.1467601901979947e-07,0.0,5.551115123125783e-17,7.692689763327115e-33,1,4,5.248465470702735e-35,OSQP,-146.5702652759782,pendcart,5,20,5,75,mid_trajectory
0.20028676612631413,0.4045958473666307,2.020082780264502,-145.4037796236861,5.229594535194337e-12,True,solved,-145.40377962368612,75,,,2.842170943040401e-14,1.9546747343130375e-16,9.507188547530632e-08,-2.842170943040401e-14,5.551115123125783e-17,7.692689763327115e-33,1,4,5.290570701281814e-35,OSQP,-145.40377962368612,pendcart,5,20,5,12,high_drift_phase1
