system,Nc,dim,instants,C1_osqp_solved,C2_subopt_bound,C3_agreement,C4_pos_def,max_subopt_bound_norm,max_solver_rel_disagreement,max_solution_inf_diff,max_lbfgsb_multistart_spread,lambda_min,cond_H,margin_vs_conv_criterion,certified
cstr,1,2,5,True,True,True,True,2.3371944481267252e-25,6.99613078530021e-14,9.853460339967089e-07,1.289528123401018e-11,0.11920134987966657,8007.522777441203,4.278634158152762e+20,True
cstr,2,4,5,True,True,True,True,1.1196404552596234e-12,4.729307416733121e-13,5.798530566678902e-06,9.058239668305966,0.021445503460923172,88127.96413002364,89314386.176598,True
cstr,3,6,5,True,True,True,True,1.6869454615205584e-12,5.527956794769533e-13,5.022504214841047e-06,16.49056578812464,0.02135629115282952,130866.55959760725,59278739.16555857,True
cstr,5,10,5,True,True,True,True,1.6065890315341373e-12,2.6142724980327857e-12,2.0648483218518865e-05,0.21061433759042814,0.021307568140349623,209860.10342288556,62243671.553334124,True
cstr,8,16,5,True,True,True,True,3.7520466477211966e-20,7.421561472546766e-12,0.00031955964616882165,0.002534269287934876,0.021291488205300357,306579.7752409894,2665212066612630.0,True
flight,1,2,4,True,True,True,True,4.038752031122564e-31,3.963898465065709e-16,8.912016902229425e-08,3.68594044175552e-14,0.03596684187208898,7.241079690887331,2.476012372866704e+26,True
flight,2,4,4,True,True,True,True,1.933076099327789e-30,1.2775512584807555e-15,5.201006096910987e-07,2.541658024750833e-12,0.020047519281786483,23.480048514772996,5.17310208505367e+25,True
flight,3,6,4,True,True,True,True,3.235877638577602e-29,1.94579689571373e-14,2.845892661973437e-06,7.761613574075454e-11,0.02002775445071596,32.657845221092394,3.090351711937943e+24,True
flight,5,10,4,True,True,True,True,2.843399821966826e-26,2.1757947027470113e-13,9.377999854898178e-06,4.012079557469406e-11,0.020022959327572417,47.49269841387982,3.5169165879326943e+21,True
flight,8,16,4,True,True,True,True,5.958713553192201e-26,4.925657974329672e-13,1.733132130787851e-05,1.5759127336423262e-10,0.02002156762322977,62.750618383560585,1.6782145862075886e+21,True
hvac,1,3,5,True,True,True,True,2.3104301842088186e-18,1.788046577547383e-14,6.784788901370575e-06,6.860290113763767e-11,0.02015975703252567,1.0000000025254252,43281983019211.59,True
hvac,2,6,5,True,True,True,True,2.6614721320839597e-31,5.149802323459888e-13,3.61546408811364e-05,1.1671943411784014e-09,0.020003947617365566,1.0151791644297803,3.757319071445583e+26,True
hvac,3,9,5,True,True,True,True,1.1467778411296055e-31,5.887265070623857e-13,7.918717333410541e-05,2.8260274120839313e-09,0.02000265849588253,1.0221092883013188,8.72008478132935e+26,True
hvac,5,15,5,True,True,True,True,1.480477239352556e-31,4.162559016980182e-12,0.00018432703377158077,1.1703264135576319e-08,0.02000220982308542,1.03429955735392,6.754578681920981e+26,True
hvac,8,24,5,True,True,True,True,1.122007066228745e-31,9.09197745345244e-12,0.00024749692545356083,2.2745098249288276e-08,0.02000207888848934,1.0487318514720991,8.912599840936553e+26,True
pendcart,1,1,5,True,True,True,True,2.6447011398066894e-20,2.077278118950908e-16,4.6792472119250306e-08,2.220446049250313e-14,0.253939042026306,1.0,3781145570471125.5,True
pendcart,2,2,5,True,True,True,True,1.8720367806611014e-19,2.169298567849431e-16,1.1738831173779829e-07,5.506706202140776e-13,0.20097742880377573,1.4982015758236493,534177538780437.06,True
pendcart,3,3,5,True,True,True,True,3.733902650056133e-17,1.4645592988455396e-16,2.34941806009914e-07,1.4139800441625994e-12,0.2003501482014924,1.705632068644134,2678163020626.6,True
pendcart,5,5,5,True,True,True,True,5.290570701281814e-35,1.9546747343130375e-16,3.1467601901979947e-07,3.1519675758318044e-11,0.20028676612631413,2.020082780264502,1.8901552525471727e+30,True
pendcart,8,8,5,True,True,True,True,2.483029834884416e-18,9.921732141747287e-16,1.6646468865566533e-06,2.9393731892923824e-10,0.20026829155587844,2.3019115311490537,40273378352159.414,True
uav,1,4,4,True,True,True,True,5.639592433367758e-26,2.2527732326663356e-10,1.018506371274321e-07,9.040377335622907e-10,953.3798842949244,11140.278763586146,1.7731777815774476e+21,True
uav,2,8,4,True,True,True,True,1.7057403816480678e-23,2.687877491761026e-09,1.1126222052855461e-05,9.047652159921427e-06,3.9353295535705115,3801439.8662667572,5.862556874181585e+18,True
uav,3,12,4,True,True,False,True,8.72341392701365e-21,2.0968881708096626e-05,0.009896784419768576,11.029598052306483,0.7176458188604807,22988726.10454935,1.1463401924598772e+16,False
uav,5,20,4,True,True,False,True,6.320276911188658e-21,0.00061097852692322,0.7108853819558222,43.87003487153015,0.4868531361110302,35003372.92614785,1.5822091564211692e+16,False
uav,8,32,4,True,True,False,True,3.227532990120933e-20,0.0007926253893690369,0.7461701649210014,99.8789566251071,0.4444066398406714,38378164.82793376,3098341684069140.5,False
