case,dim,NP,max_iter,warm,max_evals,frozen_best,ablatable_best,solution_identical,objective_identical,history_identical,iters_identical,identical
0,5,10,15,True,,-2.04883180088546,-2.04883180088546,True,True,True,True,True
1,5,20,5,False,,-1.664343687081665,-1.664343687081665,True,True,True,True,True
2,3,8,5,True,,-0.07379105080386938,-0.07379105080386938,True,True,True,True,True
3,3,20,40,False,500.0,-0.2004691043779132,-0.2004691043779132,True,True,True,True,True
4,4,8,40,True,200.0,0.09495527673075888,0.09495527673075888,True,True,True,True,True
5,2,10,15,False,200.0,-0.4119806298249388,-0.4119806298249388,True,True,True,True,True
6,4,8,40,True,500.0,-1.2380250137399231,-1.2380250137399231,True,True,True,True,True
7,4,8,5,False,500.0,-0.21611603957113346,-0.21611603957113346,True,True,True,True,True
8,2,8,5,True,200.0,-0.0990856394134934,-0.0990856394134934,True,True,True,True,True
9,1,10,5,False,500.0,-0.7038283595759196,-0.7038283595759196,True,True,True,True,True
10,2,20,5,True,,-2.421698041978835,-2.421698041978835,True,True,True,True,True
11,3,8,5,False,500.0,-0.15385520058931562,-0.15385520058931562,True,True,True,True,True
12,5,8,5,True,500.0,0.6730641551501493,0.6730641551501493,True,True,True,True,True
13,2,20,5,False,500.0,-1.4604252686178774,-1.4604252686178774,True,True,True,True,True
14,4,10,15,True,,-1.6898042921982626,-1.6898042921982626,True,True,True,True,True
15,2,20,15,False,500.0,-0.29435320144705646,-0.29435320144705646,True,True,True,True,True
16,4,10,15,True,200.0,-1.0502153614991505,-1.0502153614991505,True,True,True,True,True
17,1,20,5,False,500.0,-0.003674984465371988,-0.003674984465371988,True,True,True,True,True
18,4,20,40,True,200.0,-0.549755146209368,-0.549755146209368,True,True,True,True,True
19,1,8,40,False,200.0,-0.0020780892938235167,-0.0020780892938235167,True,True,True,True,True
20,3,10,5,True,500.0,-0.25833314245217875,-0.25833314245217875,True,True,True,True,True
21,5,20,5,False,200.0,-0.45547491027514087,-0.45547491027514087,True,True,True,True,True
22,5,10,5,True,200.0,0.2794135449641779,0.2794135449641779,True,True,True,True,True
23,2,8,15,False,200.0,-0.21743998569989653,-0.21743998569989653,True,True,True,True,True
24,4,20,15,True,,-0.5160059987867327,-0.5160059987867327,True,True,True,True,True
25,4,8,5,False,,0.08405983668903894,0.08405983668903894,True,True,True,True,True
26,2,20,5,True,,-0.6793291705939413,-0.6793291705939413,True,True,True,True,True
27,1,8,5,False,200.0,-0.5611915954391171,-0.5611915954391171,True,True,True,True,True
28,2,8,40,True,,-1.2584916835093294,-1.2584916835093294,True,True,True,True,True
29,2,20,40,False,200.0,-1.125446163056202,-1.125446163056202,True,True,True,True,True
30,5,8,15,True,,-0.3941585321149716,-0.3941585321149716,True,True,True,True,True
31,3,20,5,False,,-0.6652482645294795,-0.6652482645294795,True,True,True,True,True
32,1,10,40,True,,-0.5266311363954458,-0.5266311363954458,True,True,True,True,True
33,4,20,5,False,500.0,-0.7345709462539496,-0.7345709462539496,True,True,True,True,True
34,4,8,15,True,,-0.2728327990178082,-0.2728327990178082,True,True,True,True,True
35,5,8,40,False,,-0.6944307193459929,-0.6944307193459929,True,True,True,True,True
36,3,10,40,True,200.0,-0.38895416023037455,-0.38895416023037455,True,True,True,True,True
37,2,20,15,False,500.0,-0.32539370292722586,-0.32539370292722586,True,True,True,True,True
38,2,20,40,True,,-1.083534246139683,-1.083534246139683,True,True,True,True,True
39,1,20,40,False,200.0,-0.004171025365513109,-0.004171025365513109,True,True,True,True,True
40,5,10,15,True,,-1.5675960547435035,-1.5675960547435035,True,True,True,True,True
41,3,8,40,False,,-1.19447631064734,-1.19447631064734,True,True,True,True,True
42,2,10,15,True,500.0,-0.029198201498548883,-0.029198201498548883,True,True,True,True,True
43,2,10,15,False,200.0,-1.5216886917702828,-1.5216886917702828,True,True,True,True,True
44,2,8,40,True,500.0,-0.26670043968143825,-0.26670043968143825,True,True,True,True,True
45,1,8,15,False,200.0,-0.08014544973305394,-0.08014544973305394,True,True,True,True,True
46,1,10,5,True,,-0.06629948085234591,-0.06629948085234591,True,True,True,True,True
47,2,10,40,False,,-1.153015367810207,-1.153015367810207,True,True,True,True,True
48,2,10,40,True,200.0,-0.17006253704487895,-0.17006253704487895,True,True,True,True,True
49,5,8,5,False,200.0,1.2418131299156956,1.2418131299156956,True,True,True,True,True
50,5,8,40,True,,-0.6459586320498707,-0.6459586320498707,True,True,True,True,True
51,3,20,40,False,200.0,-0.27158537449217895,-0.27158537449217895,True,True,True,True,True
52,5,10,40,True,200.0,-0.9633316202220197,-0.9633316202220197,True,True,True,True,True
53,2,8,15,False,,-0.8559816389471935,-0.8559816389471935,True,True,True,True,True
54,5,10,15,True,200.0,-0.7389332631994354,-0.7389332631994354,True,True,True,True,True
55,4,20,40,False,200.0,-1.1165236306937487,-1.1165236306937487,True,True,True,True,True
56,4,20,15,True,500.0,-0.9987295274223535,-0.9987295274223535,True,True,True,True,True
57,5,8,5,False,500.0,-0.5662804559975906,-0.5662804559975906,True,True,True,True,True
58,3,20,15,True,200.0,-0.435201103819281,-0.435201103819281,True,True,True,True,True
59,2,8,40,False,200.0,-0.9032631480841624,-0.9032631480841624,True,True,True,True,True
