system,alg,NP,requested_FE,realized_FE,trial,difference,overshoot,shortfall,J,interrupted,termination
pendcart,SGO,8,200,200,0,0,0,0,-2.1316887104658577,False,optimizer loop ended at budget
pendcart,SGO,8,200,200,1,0,0,0,-2.136940727894173,False,optimizer loop ended at budget
pendcart,SGO,8,200,200,2,0,0,0,-2.1373623666479684,False,optimizer loop ended at budget
pendcart,SGO,8,200,200,3,0,0,0,-2.13767927788429,False,optimizer loop ended at budget
pendcart,SGO,8,200,200,4,0,0,0,-2.1378008472065666,False,optimizer loop ended at budget
pendcart,GWO,8,200,200,0,0,0,0,-2.137836075811973,False,optimizer loop ended at budget
pendcart,GWO,8,200,200,1,0,0,0,-2.1378410842238256,False,optimizer loop ended at budget
pendcart,GWO,8,200,200,2,0,0,0,-2.1378399087089317,False,optimizer loop ended at budget
pendcart,GWO,8,200,200,3,0,0,0,-2.1378417551052196,False,optimizer loop ended at budget
pendcart,GWO,8,200,200,4,0,0,0,-2.1378410165396167,False,optimizer loop ended at budget
pendcart,PSO,8,200,200,0,0,0,0,-2.137841644536528,False,optimizer loop ended at budget
pendcart,PSO,8,200,200,1,0,0,0,-2.1378414235094736,False,optimizer loop ended at budget
pendcart,PSO,8,200,200,2,0,0,0,-2.1378380174648504,False,optimizer loop ended at budget
pendcart,PSO,8,200,200,3,0,0,0,-2.137841137289028,False,optimizer loop ended at budget
pendcart,PSO,8,200,200,4,0,0,0,-2.1378417849367146,False,optimizer loop ended at budget
pendcart,WOA,8,200,200,0,0,0,0,-2.1378408017333475,False,optimizer loop ended at budget
pendcart,WOA,8,200,200,1,0,0,0,-2.1378418236905827,False,optimizer loop ended at budget
pendcart,WOA,8,200,200,2,0,0,0,-2.1378418495552713,False,optimizer loop ended at budget
pendcart,WOA,8,200,200,3,0,0,0,-2.137841779513354,False,optimizer loop ended at budget
pendcart,WOA,8,200,200,4,0,0,0,-2.137832032641573,False,optimizer loop ended at budget
pendcart,SGO,8,500,500,0,0,0,0,-2.137835477385673,False,optimizer loop ended at budget
pendcart,SGO,8,500,500,1,0,0,0,-2.137734117754755,False,optimizer loop ended at budget
