alg,requested_FE,n,realized_min,realized_max,max_overshoot,max_shortfall,exact_fraction
GWO,200,125,200,200,0,0,1.0
GWO,500,125,500,500,0,0,1.0
GWO,1000,125,1000,1000,0,0,1.0
GWO,2000,125,2000,2000,0,0,1.0
PSO,200,125,200,200,0,0,1.0
PSO,500,125,500,500,0,0,1.0
PSO,1000,125,1000,1000,0,0,1.0
PSO,2000,125,2000,2000,0,0,1.0
SGO,200,125,200,200,0,0,1.0
SGO,500,125,500,500,0,0,1.0
SGO,1000,125,1000,1000,0,0,1.0
SGO,2000,125,2000,2000,0,0,1.0
WOA,200,125,200,200,0,0,1.0
WOA,500,125,500,500,0,0,1.0
WOA,1000,125,1000,1000,0,0,1.0
WOA,2000,125,2000,2000,0,0,1.0
