system,regime,submitted_ranking,revised_ranking,ranking_changed,submitted_best,revised_best,sgo_rank_submitted,sgo_rank_revised,sgo_rank_delta,sgo_relative,sgo_nrmse_submitted,sgo_nrmse_revised,spread_submitted,spread_revised
pendcart,A_tuned_NP,"PSO,SGO,GWO,WOA","PSO,GWO,WOA,SGO",True,PSO,PSO,2,4,2,worsened,0.21502003276363485,0.2150226708318764,0.00027036114563738176,0.00015110450492664308
pendcart,B_common_NP,"PSO,SGO,GWO,WOA","PSO,SGO,WOA,GWO",True,PSO,PSO,2,2,0,unchanged,0.21502003276363485,0.2150203816046845,0.00027036114563738176,0.0003259046497260932
cstr,A_tuned_NP,"PSO,GWO,SGO,WOA","GWO,SGO,PSO,WOA",True,PSO,GWO,3,2,-1,improved,0.27614797021653553,0.2942085740747727,0.02061836304652874,0.0019292272213501855
cstr,B_common_NP,"PSO,GWO,SGO,WOA","GWO,PSO,WOA,SGO",True,PSO,GWO,3,4,1,worsened,0.27614797021653553,0.2944271821211933,0.02061836304652874,0.0009370876784415554
flight,A_tuned_NP,"GWO,PSO,SGO,WOA","SGO,WOA,PSO,GWO",True,GWO,SGO,3,1,-2,improved,0.015004142554241377,0.0181664873958121,0.07101229523909922,0.001720225779646488
flight,B_common_NP,"GWO,PSO,SGO,WOA","SGO,WOA,GWO,PSO",True,GWO,SGO,3,1,-2,improved,0.015004142554241377,0.0181843946718426,0.07101229523909922,0.0024977176717975538
hvac,A_tuned_NP,"SGO,PSO,GWO,WOA","SGO,PSO,GWO,WOA",False,SGO,SGO,1,1,0,unchanged,0.020702258573409547,0.020752250076395,0.0031233762794017766,0.0007047950335580616
hvac,B_common_NP,"SGO,PSO,GWO,WOA","SGO,GWO,PSO,WOA",True,SGO,SGO,1,1,0,unchanged,0.020702258573409547,0.0207600576535164,0.0031233762794017766,0.00033001577214988056
uav,A_tuned_NP,"GWO,WOA,SGO,PSO","GWO,SGO,WOA,PSO",True,GWO,GWO,3,2,-1,improved,0.0015296637514410204,0.0009272947014117,27.691960943660852,1.851374221264782
uav,B_common_NP,"GWO,WOA,SGO,PSO","GWO,SGO,WOA,PSO",True,GWO,GWO,3,2,-1,improved,0.0015296637514410204,0.0009355707811974,27.691960943660852,2.016510798343965
