system,k,Nc,P,J_zero,J_hold,J_abs_diff,J_rel_diff,U_inf_diff,U_norm_diff,first_control_diff,first_control_diff_rel_range,osqp_status_zero,osqp_status_hold,lbfgsb_rel_zero,lbfgsb_rel_hold,spread_zero,spread_hold,worst_cart_zero,worst_cart_hold,n_active_zero,n_active_hold
pendcart,0,1,20,-2.13784185082709,-629.2967247269758,627.1588828761487,293.3607472571056,0.8966548704999644,0.8966548704999644,0.8966548704999644,0.08966548704999644,solved,solved,2.0772781189509086e-16,1.8065696714207398e-16,2.220446049250313e-14,0.0,1.5697602982579666,2.5451501024331415,0,1
pendcart,6,1,20,-2.700759950826642,-603.3806799823974,600.6799200315708,222.41144380407303,0.3879580185939622,0.3879580185939622,0.3879580185939622,0.03879580185939622,solved,solved,1.6443120378548893e-16,1.884164367426094e-16,2.0872192862952943e-14,0.0,1.8872891970234849,2.6711320552964466,0,1
pendcart,12,1,20,-0.07440895576363651,-554.1179941895158,554.0435852337522,554.0435852337522,4.234468855038265,4.234468855038265,4.234468855038265,0.4234468855038265,solved,solved,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,2.5105928806235145,3.350496470441897,0,1
pendcart,18,1,20,-0.6108038953801935,-535.7749904018636,535.1641865064835,535.1641865064835,7.193315755874833,7.193315755874833,7.193315755874833,0.7193315755874833,solved,solved,2.220446049250313e-16,2.1219138585835077e-16,1.6653345369377348e-15,0.0,2.91584493980303,3.7683457271949115,0,1
pendcart,24,1,20,-0.5177386455201606,-549.3076669600556,548.7899283145355,548.7899283145355,7.019321879808559,7.019321879808559,7.019321879808559,0.7019321879808559,solved,solved,1.1102230246251565e-16,2.0696386480599236e-16,4.440892098500626e-16,0.0,2.9439072379200653,3.778836392572153,0,1
pendcart,31,1,20,-0.015392265646689066,-566.7164507500823,566.7010584844356,566.7010584844356,5.348178166836195,5.348178166836195,5.348178166836195,0.5348178166836195,solved,solved,0.0,2.006062071625852e-16,5.204170427930421e-18,0.0,2.844009066935072,3.642313291850958,0,1
pendcart,37,1,20,-0.0017659727165493424,-567.5155591873796,567.5137932146631,567.5137932146631,4.882065124148399,4.882065124148399,4.882065124148399,0.4882065124148399,solved,solved,2.168404344971009e-19,2.0032373717542332e-16,3.686287386450715e-18,0.0,2.8456611289504754,3.6332617377030654,0,1
pendcart,43,1,20,-0.006675831055391706,-563.3779899389085,563.3713141078531,563.3713141078531,5.229299405175931,5.229299405175931,5.229299405175931,0.5229299405175931,solved,solved,0.0,2.017949578291903e-16,5.204170427930421e-18,0.0,2.8978974240125632,3.689061054688323,0,1
pendcart,49,1,20,-0.028153072354039972,-563.1796468938385,563.1514938214845,563.1514938214845,5.470883158256906,5.470883158256906,5.470883158256906,0.5470883158256906,solved,solved,3.469446951953614e-18,2.018660268506586e-16,1.0408340855860843e-17,0.0,2.9208751255209653,3.7114479910038582,0,1
pendcart,55,1,20,-0.011209937575496843,-566.618753421078,566.6075434835026,566.6075434835026,5.297133662715668,5.297133662715668,5.297133662715668,0.5297133662715667,solved,solved,0.0,2.006407960117949e-16,6.938893903907228e-18,0.0,2.9008858264604056,3.6845397291631494,0,1
