system,k,Phi_max_diff,Gamma_max_diff,objective_max_rel_diff,optimum_obj_rel_diff,solution_inf_diff,first_control_diff,osqp_status_standalone,osqp_status_production
pendcart,0,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
pendcart,11,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
pendcart,23,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
pendcart,35,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
pendcart,47,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
pendcart,59,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,0,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,11,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,23,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,35,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,47,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
cstr,59,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,0,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,11,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,23,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,35,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,47,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
flight,59,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,0,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,11,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,23,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,35,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,47,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
hvac,59,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,0,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,11,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,23,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,35,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,47,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
uav,59,0.0,0.0,0.0,0.0,0.0,0.0,solved,solved
