system,alg,start,n,start_gap_median,start_gap_p90,frac_start_within_1e4,incumbent_return_rate,improvement_median,final_gap_median,conv_rate
cstr,GWO,cold,820,1.3386882572821674e-11,1.0,0.6097560975609756,0.0,0.999969370563532,2.3551271485273393e-15,1.0
cstr,GWO,optimizer_warm,820,1.3377290490504887e-11,0.03460517318571561,0.6097560975609756,0.024390243902439025,0.9999723031208659,1.8971475288534484e-15,1.0
cstr,GWO,reference_warm,820,7.300070989313809e-14,0.0339083980068528,0.6097560975609756,0.4634146341463415,0.9999980021632322,5.206889257545095e-16,1.0
cstr,PSO,cold,820,1.3386882572821674e-11,1.0,0.6097560975609756,0.30121951219512194,0.8245988273553173,3.870966688421964e-12,0.9914634146341463
cstr,PSO,optimizer_warm,820,6.223203314680316e-11,0.0413670665777291,0.6085365853658536,0.23536585365853657,0.9164531396157873,4.4397871130911174e-12,0.9878048780487805
cstr,PSO,reference_warm,820,7.300070989313809e-14,0.0339083980068528,0.6097560975609756,0.5707317073170731,0.9999999999999083,3.6032118772690533e-16,0.9792682926829268
cstr,SGO,cold,820,1.3386882572821674e-11,1.0,0.6097560975609756,0.5853658536585366,0.0,1.3361885758619552e-11,0.8378048780487805
cstr,SGO,optimizer_warm,820,8.982940629150516e-08,0.04424923994808147,0.6134146341463415,0.37317073170731707,0.7953222047400516,3.1724385540180334e-08,0.8878048780487805
cstr,SGO,reference_warm,820,7.300070989313809e-14,0.0339083980068528,0.6097560975609756,0.6109756097560975,0.9982070742537799,1.4191281188256395e-14,0.8560975609756097
cstr,WOA,cold,820,1.3386882572821674e-11,1.0,0.6097560975609756,0.018292682926829267,0.03506883308149335,1.296251513757213e-11,0.8280487804878048
cstr,WOA,optimizer_warm,820,1.0425774849635945e-09,0.04628174876010391,0.5975609756097561,0.024390243902439025,0.6548009196271252,1.2974800960425619e-11,0.9292682926829269
cstr,WOA,reference_warm,820,7.300070989313809e-14,0.0339083980068528,0.6097560975609756,0.4634146341463415,0.999999995901284,1.1074457863842926e-15,0.9317073170731708
